"author","author_date","committer","committer_date","sha","additions","deletions","total"
"yuit","2017-03-15 04:14:02","web-flow","2017-03-15 04:14:02","1f6914b8608e8afe6f1a91d0c95746e4b5c5f7ad","0","5","5"
"yuit","2017-03-15 04:07:24","web-flow","2017-03-15 04:07:24","1f5f0590f376012e4fc32a88345fb7afc8d848f1","0","3","3"
"yuit","2017-03-15 03:57:11","web-flow","2017-03-15 03:57:11","d9f7b2fef5faf900f68910be8e3d454571398f11","1","2","3"
"mhegazy","2017-03-15 01:21:24","web-flow","2017-03-15 01:21:24","295246936681b56d5a9555b25dfbe275bf0da851","3194","3775","6969"
"winksaville","2017-03-15 01:15:52","mhegazy","2017-03-15 01:15:52","643304a0f407b25c50560665b45635ff7076df34","0","37","37"
"andy-ms","2017-03-14 22:04:44","mhegazy","2017-03-14 22:04:44","9a57ca6254125457328aa2cd0e4ebf59bd7389e4","158","30","188"
"andy-ms","2017-03-14 19:12:30","mhegazy","2017-03-14 19:12:30","21a11ab7d96f315cbbcf8e3e7bdfbdd3c91cfe36","280","250","530"
"andy-ms","2017-03-14 19:12:20","mhegazy","2017-03-14 19:12:20","28924690db8c6e9845ca8eb9855abc2ec3a4933b","24","17","41"
"mhegazy","2017-03-14 18:43:53","web-flow","2017-03-14 18:43:53","3c2d2dd01970440b2b6e268183214c7a75b2c76b","6","17","23"
"minestarks","2017-03-14 17:41:25","web-flow","2017-03-14 17:41:25","9b3bf641b66d24fec531e2fbfa658240bf5a7ccf","44","73","117"
"minestarks","2017-03-14 17:10:51","web-flow","2017-03-14 17:10:51","bfc752fe39a393d832ad01dc3c809b5b5c91c002","0","2539","2539"
"use-strict","2017-03-14 15:15:43","web-flow","2017-03-14 15:15:43","5141daceb0a11f126a035ccc6e7044530bb2c3c1","0","1","1"
"webbiesdk","2017-03-14 14:49:01","webbiesdk","2017-03-14 14:49:01","be1e40d1ee562f693ac99b39f3c8d2f7ab51d20f","33455","63081","96536"
