"author","author_date","committer","committer_date","sha","additions","deletions","total"
"alvarotrigo","2017-03-10 16:32:52","web-flow","2017-03-10 16:32:52","c2d3fb5793790ed2af173e0915803dc967158777","101","423","524"
"alvarotrigo","2017-03-10 16:29:43","alvarotrigo","2017-03-10 16:29:43","37bfeb711357059d335c8605207201fda4c671b2","2","2","4"
"alvarotrigo","2017-03-10 16:27:48","alvarotrigo","2017-03-10 16:27:48","31430c3e73ce6c3504d3bcaa4303ae4946cac43c","45","80","125"
"alvarotrigo","2017-03-10 16:26:35","alvarotrigo","2017-03-10 16:26:35","99e439df69215f1d2e76d3127cd25c8522353921","1","17","18"
"alvarotrigo","2017-03-10 15:48:41","alvarotrigo","2017-03-10 15:48:41","fb4ba897b7b99ddea926995ffc5a5a5c61f872e9","15","88","103"
"alvarotrigo","2017-03-10 15:41:06","alvarotrigo","2017-03-10 15:41:06","55702d7786448928053f1a3c470b325fedb2d995","0","163","163"
"alvarotrigo","2017-03-10 15:39:55","alvarotrigo","2017-03-10 15:39:55","8483a872cac1dd57ae1fe3718f2b624cf125eeb3","2","2","4"
"alvarotrigo","2017-03-10 15:37:10","alvarotrigo","2017-03-10 15:37:10","354e290db67d35a2a2249f53a13df2d2df5ac6f0","6","24","30"
"alvarotrigo","2017-03-10 13:05:15","alvarotrigo","2017-03-10 13:05:15","6e09dbc3649fad6266abe320381aa344e72fd556","3","3","6"
"alvarotrigo","2017-03-10 13:03:13","alvarotrigo","2017-03-10 13:03:13","584808563ea24d61037330c27bd9a53856cad061","2","7","9"
"alvarotrigo","2017-03-10 12:47:07","alvarotrigo","2017-03-10 12:47:07","74cd65d3c8db92bbb1cb8152348619ff87bc7a44","10","16","26"
"alvarotrigo","2017-03-10 12:27:49","alvarotrigo","2017-03-10 12:27:49","e8be9c7840b5a70bd1b7b290224a58f6b9e56197","2","2","4"
"alvarotrigo","2017-03-10 11:51:12","alvarotrigo","2017-03-10 11:51:12","c1e7060776086abd8982ee9663236fe586e84862","2","5","7"
"alvarotrigo","2017-03-10 11:03:54","alvarotrigo","2017-03-10 11:03:54","87098ee342b7b46433cae72150439940d8fec161","14","17","31"
"alvarotrigo","2017-03-10 09:22:52","web-flow","2017-03-10 09:22:52","83997c2062b52013f97c5af1a1bb7a679c730b95","3","3","6"
