"author","author_date","committer","committer_date","sha","additions","deletions","total"
"reezer","2017-03-10 14:22:37","junegunn","2017-03-10 14:22:37","505dc0491b727657569359b3318fe76278530265","2","2","4"
"junegunn","2017-03-07 14:03:14","junegunn","2017-03-07 14:03:14","54a4ab0f26042c912a2e5524813eb9cbe2a3f814","4","12","16"
"junegunn","2017-03-04 18:05:06","junegunn","2017-03-04 18:05:06","e03e91477b768ff5f798708f70e7236be3ff8e26","4","9","13"
"junegunn","2017-03-04 05:26:47","junegunn","2017-03-04 05:26:47","88ac3971587ed93060df4c9e5eb06206519e0aad","0","8","8"
"junegunn","2017-03-04 05:09:36","junegunn","2017-03-04 05:09:36","6fd4be580b65913299f2306998fc3f133c259fb2","21","14","35"
"junegunn","2017-03-04 02:29:31","junegunn","2017-03-04 02:29:31","53348feb8959754497453232ffacd4bd3f1154ea","10","30","40"
"junegunn","2017-03-03 10:09:29","junegunn","2017-03-03 10:09:29","337cdbb37c1efc49b09b4cacc6e9ee1369c7d76d","2","2","4"
"junegunn","2017-03-03 09:57:22","junegunn","2017-03-03 09:57:22","05fdf91fc5645018b2100917fa0be8d486e2ce39","7","4","11"
"junegunn","2017-03-03 03:20:01","junegunn","2017-03-03 03:20:01","c387689d1cd45f0d8eb122fe95ee72ccc61d3bff","5","6","11"
"junegunn","2017-03-02 17:26:30","junegunn","2017-03-02 17:26:30","cb9238dc4ee6ee8c9d25fa0c1f6d731b379de9b1","4","4","8"
"junegunn","2017-03-02 05:17:59","junegunn","2017-03-02 05:17:59","a484811f78c9462b2480e33b9f44ad2fae2f4955","3","3","6"
"junegunn","2017-03-02 05:14:57","junegunn","2017-03-02 05:14:57","111d1934c49ac22cf84abf0ada9c24f091fc38cd","1","11","12"
"junegunn","2017-03-02 03:49:51","junegunn","2017-03-02 03:49:51","972fb1a29ddd484c97342cf0e7399bd904ded58d","1","1","2"
"junegunn","2017-03-01 07:07:04","junegunn","2017-03-01 07:07:04","3a6af27586c65bb9243c5af7c43a40619503db52","4","7","11"
"junegunn","2017-03-01 07:00:08","junegunn","2017-03-01 07:00:08","c89ac341e4d9199ff0ca6ca7af29d9b14a1b7fbd","1","1","2"
"junegunn","2017-02-25 14:52:56","junegunn","2017-02-25 14:52:56","cd59e5d07b3a69a75f7c0d02efd66b6f04bb13a1","0","4","4"
"junegunn","2017-02-23 17:30:11","junegunn","2017-02-23 17:30:11","0b940e4b2ba2eb2b00541a870f9b1a23c15c9bce","1","4","5"
"junegunn","2017-02-19 11:53:12","junegunn","2017-02-19 11:53:12","b29375c844744fb45183bdbbb6d1ff854cf23b7a","2","2","4"
"junegunn","2017-02-19 11:47:44","junegunn","2017-02-19 11:47:44","76d3f6d2489951929b06fcab81b961c7e92425bb","1","1","2"
"junegunn","2017-02-18 16:40:25","junegunn","2017-02-18 16:40:25","e87a85a1791877b6850298d7def7a253540a891c","4","5","9"
"junegunn","2017-02-18 16:33:13","junegunn","2017-02-18 16:33:13","11407bf65650ef5bd97453e16ab3424b90ef750e","7","7","14"
"junegunn","2017-02-18 14:49:00","junegunn","2017-02-18 14:49:00","c82fb3c9b907043a515dae7fdcc0e30b4c8b7cd1","1","15","16"
"junegunn","2017-02-18 14:17:29","junegunn","2017-02-18 14:17:29","309e1d8619f5a31eec797ab93c89702bb2c71f78","11","22","33"
"junegunn","2017-02-18 12:58:03","junegunn","2017-02-18 12:58:03","c2db67c1c086f0bbebf4802abb3fb9335ee46662","1","1","2"
"junegunn","2017-02-18 09:16:34","junegunn","2017-02-18 09:17:37","9526594905916310299bd50f6d910eecf85cede5","2","2","4"
"junegunn","2017-02-17 04:07:45","junegunn","2017-02-17 04:07:45","3d74d277aa0446264240308e52df6f223cc2a8ed","1","1","2"
"junegunn","2017-02-17 01:20:39","junegunn","2017-02-17 01:20:39","fc274c2ba4682198aca68d0334a5445f269aba92","1","1","2"
"Ambrevar","2017-02-16 08:18:01","junegunn","2017-02-16 08:18:01","ce43ea9f4273ef2b4c67cb02dc55ed883f6c0fd9","9","8","17"
"junegunn","2017-02-14 13:30:09","junegunn","2017-02-14 13:30:09","21da02fac2a6f8fd04052165efa52f8c11399bb7","3","3","6"
"junegunn","2017-02-14 13:28:04","junegunn","2017-02-14 13:28:04","19569bd5c5e189d9fbc87ab3655f005baf73e4d7","0","3","3"
"DanielFGray","2017-02-09 05:05:02","junegunn","2017-02-09 05:05:02","afa25d8c57f8ffc1ba54623360456baa9321abd7","1","6","7"
"junegunn","2017-02-08 05:55:17","junegunn","2017-02-08 05:55:51","1ba7acf4bd4314f299b57cea73cbd376bde5aba3","0","1","1"
"prabirshrestha","2017-02-07 05:42:08","junegunn","2017-02-07 05:42:08","a847fe875413ac0d35815d67fea3e03a6c0cb2ff","1","1","2"
"junegunn","2017-02-06 12:15:29","junegunn","2017-02-06 12:15:29","5bb18b644178c4075d81eb6b85af2ecc5104d55a","164","3","167"
