"author","author_date","committer","committer_date","sha","additions","deletions","total"
"jwagner","2017-02-19 16:20:48","web-flow","2017-02-19 16:20:48","623d271ad8faf24d78f9364fcc86b5132a368576","0","2","2"
"jwagner","2016-09-17 08:49:00","web-flow","2016-09-17 08:49:00","50e3352eedbf97c123a703bccf93764cb5d82dd6","2","3","5"
"bfred-it","2016-09-17 04:47:56","web-flow","2016-09-17 04:47:56","3e62f61e4798f2ec5caccce2f14c949d795c439e","0","3","3"
"bfred-it","2016-09-17 04:44:59","web-flow","2016-09-17 04:44:59","84a1dbe49c273040d77f795f42bac7b810c3e669","2","0","2"
"jwagner","2016-09-16 19:33:55","jwagner","2016-09-16 19:34:11","1e8dc22b7114b67f6355b1ca64de59a8e55afe9b","9","2","11"
"jwagner","2016-08-21 11:07:04","web-flow","2016-08-21 11:07:04","07f03edf373dcd5ae18a127912df17f7cc4c0642","1","1","2"
"jwagner","2016-07-11 20:56:42","jwagner","2016-07-11 20:56:42","c379d982c1727ebdfe8a99f893d00cef431b4def","1","0","1"
"jwagner","2016-07-11 20:53:43","jwagner","2016-07-11 20:53:43","cd11dce5b6a668520def74197975b832eb9ef4e6","0","33","33"
"jwagner","2016-07-11 20:52:05","jwagner","2016-07-11 20:52:05","1e56ca62a70dc58039d6b027fbd98d807a415f20","0","3","3"
"jwagner","2016-07-11 20:46:59","jwagner","2016-07-11 20:46:59","2b90cab794d61be3e2a08f3c0573de0df01d5bcd","1","4","5"
"jwagner","2016-07-11 20:34:21","jwagner","2016-07-11 20:34:21","94e5cc3f17111e855fb956c577d047fc0c8bf64a","0","8","8"
"jwagner","2016-07-07 20:52:36","jwagner","2016-07-07 20:52:36","1376a54b3262188020b44359a5ff4b78b262281e","2","26","28"
"jwagner","2016-06-27 17:31:09","jwagner","2016-06-27 17:31:09","7faea8b8423b51b09367b1b54e7bae721336f19d","0","2","2"
"jwagner","2016-06-27 17:26:36","jwagner","2016-06-27 17:26:36","1d7df124bbb522230bae10b0a17421c3badca3e6","2","28","30"
"jwagner","2016-06-27 17:13:17","jwagner","2016-06-27 17:13:17","9cc9e628c15a8884e1f4512de721805d092c2692","17","113","130"
"jwagner","2016-06-25 14:56:29","web-flow","2016-06-25 14:56:29","7b894244ec93dee6d03acec2a50eb7ff7679cb36","695","1264","1959"
"jwagner","2016-06-25 14:56:02","jwagner","2016-06-25 14:56:02","d9bb043b7311ff14e65191cfb1bed4df0fc8745c","3","5","8"
"jwagner","2016-06-25 11:18:24","jwagner","2016-06-25 11:18:24","c13e616d99e011337327f23a8944068e45b648f6","7","15","22"
"jwagner","2016-06-25 10:26:17","jwagner","2016-06-25 10:26:17","afc15fd5831a890ce7c97fd7a21f4a5df71cfadb","77","357","434"
"jwagner","2016-06-17 22:49:06","jwagner","2016-06-17 22:49:06","513ddf098e94ef1334bbecbb107a093ae9230262","1","1","2"
"jwagner","2016-06-17 22:44:50","jwagner","2016-06-17 22:44:50","4e753bb107d877f7159fba88380b6503d943ffbd","1","1","2"
"jwagner","2016-06-17 22:44:08","jwagner","2016-06-17 22:44:08","d461a63485e5e427090a939eebdb924c3ec86389","6","8","14"
"jwagner","2016-06-03 12:53:23","jwagner","2016-06-03 12:53:23","483becb2f9c1d00319c33ef794764604912dac7d","1","1","2"
"jwagner","2016-05-03 18:00:37","jwagner","2016-05-03 18:00:37","cd6364f2d1b5adcbb88f6e90d698563d4595e85e","1","1","2"
"acrogenesis","2016-05-02 18:42:06","acrogenesis","2016-05-02 18:42:06","c7cc5e4d57f2e6f6725c344401b0cc34a37bce78","1","1","2"
"jwagner","2016-02-27 13:06:56","jwagner","2016-02-27 13:06:56","8803098164a0a161f568c5f97265917413abd3db","141","181","322"
"jwagner","2016-02-27 10:29:31","jwagner","2016-02-27 10:29:31","0f23d7b1b9ad2d83538c42fc1000c0b7ce3a263c","2","3","5"
"jwagner","2016-02-27 02:06:01","jwagner","2016-02-27 02:06:01","9a987986f267e9bb91281b10504f65c238fc26dc","653","717","1370"
"jwagner","2016-02-27 00:11:52","jwagner","2016-02-27 00:11:52","f981d163b325e331a9a0aaf67cda4113d5cb6252","17","17","34"
"jwagner","2015-11-13 19:26:50","jwagner","2015-11-13 19:26:50","d1cf4b8330ca1a04ffc823523d09277280c2c7a8","1","1","2"
"curtisgibby","2015-11-11 22:13:23","curtisgibby","2015-11-11 22:13:23","a40e5c7bfff454588d4d7331af391e4f1194bce6","1","1","2"
"jwagner","2015-11-10 21:18:43","jwagner","2015-11-10 21:18:43","ee36ea37a74329d261c910190bf62fef95a3e1ce","1","1","2"
"jwagner","2015-11-10 21:16:12","jwagner","2015-11-10 21:16:12","90f2ff57c5a767cb0a86ec47893f7f9c246732dc","0","1","1"
"dimitrovskif","2015-10-31 12:01:06","dimitrovskif","2015-10-31 12:01:06","917ab8236ab5e11274fa57a47bef4536fb7425c8","1","1","2"
"jwagner","2015-10-30 21:38:30","jwagner","2015-10-30 21:38:30","6340ee55e47db971b358a1db460687d29c3f961b","14","25","39"
"jwagner","2015-10-30 19:56:19","jwagner","2015-10-30 19:56:19","dd50a628a59eafab2caaef65bdcb40d5063ebf11","8","20","28"
"jwagner","2015-10-30 18:35:25","jwagner","2015-10-30 18:35:25","ac6a0ea1af430544e61fe19b9e749d24f7f361dc","106","246","352"
"jwagner","2015-10-30 13:22:15","jwagner","2015-10-30 13:22:15","29a94671679b2c51c02140c16cbf8cb6e9a04eae","210","220","430"
"jwagner","2015-10-20 17:36:26","jwagner","2015-10-20 17:36:26","c83145b55478fba4f465fe47505077eae5e513f8","1","1","2"
"jwagner","2015-10-20 17:35:23","jwagner","2015-10-20 17:35:23","67ab591538d7ba02bca054db1d66d7664929c780","0","1","1"
"jwagner","2015-10-20 17:28:18","jwagner","2015-10-20 17:28:18","38161f32a77a80dbd829b11cb92721e973ac5fc8","1","1","2"
"IonicaBizau","2015-10-20 11:01:20","IonicaBizau","2015-10-20 11:01:20","cefc43a62dc0b0b61f5557689a54323ca3b12a1c","1","1","2"
"jwagner","2015-10-15 07:50:23","jwagner","2015-10-15 07:50:23","7c1ba66561339aacb970d015e08aea87e4407701","1","1","2"
"adambarber","2015-10-14 18:18:13","adambarber","2015-10-14 18:18:13","651996765b8579b6267771e4a8499f4bf22d570f","1","1","2"
"jwagner","2015-10-04 19:00:30","jwagner","2015-10-04 19:00:30","2ca503e62336cf1cc29db61518f40560ae45393e","8","8","16"
"jwagner","2014-12-22 12:49:07","jwagner","2014-12-22 12:49:07","1be7ace211f105c5d8c84711966e109d9fb9abd0","22","14","36"
"pjackowski","2014-10-31 13:32:50","pjackowski","2014-10-31 13:32:50","8c9aa2a2087a61d0fc771a66da6ae5c496aaac36","22","14","36"
"jwagner","2014-09-29 22:15:55","jwagner","2014-09-29 22:15:55","08a577a338e57873818c03585df3855057096c4a","0","1","1"
"jwagner","2014-07-25 13:54:59","jwagner","2014-07-25 13:54:59","7171e9d490fc537547267a71204845422a247c4e","1","1","2"
"jwagner","2014-06-20 15:47:22","jwagner","2014-06-20 15:47:22","796ecdf049986996c2695b151185dc793acf3788","2","2","4"
"muesli","2014-06-16 23:30:00","muesli","2014-06-16 23:30:00","ccf9beac055f40d0d7a23e6656afb92b5ffb4d60","2","2","4"
"jwagner","2014-05-10 01:16:47","jwagner","2014-05-10 01:16:47","5a2fd4ec5e4bbb9141129a893cd02f65aface14f","18","1946","1964"
"jwagner","2014-05-08 20:30:21","jwagner","2014-05-08 20:30:21","34eb57cf16f2de2f9f7b99a931959bd0e472b911","0","3","3"
"jwagner","2014-05-08 19:37:36","jwagner","2014-05-08 19:37:36","15209892653fab1905b306b4b54ed6b76fac9b8d","3","17","20"
"jwagner","2014-05-08 19:14:50","jwagner","2014-05-08 19:14:50","cd891062d3018b142e393d551971d1ffd18e8593","0","161","161"
"jwagner","2014-04-16 18:30:46","jwagner","2014-04-16 18:30:46","c0318d4b74801227065f0c0affcc46c34b470724","1","1","2"
"jwagner","2014-04-16 18:23:27","jwagner","2014-04-16 18:23:27","2e526ce5879e9814750c8946e431d3f0659ceff8","11","22","33"
"jwagner","2014-04-16 18:23:10","jwagner","2014-04-16 18:23:10","8aa8c46ba2742f98cee24df81c57544851ec30e2","2","2","4"
"jwagner","2014-04-16 17:27:17","jwagner","2014-04-16 17:27:17","194661af0057a6e52f4c2a094d130c1302161cac","2","1","3"
"jwagner","2014-04-16 17:25:22","jwagner","2014-04-16 17:25:22","65e0036a3bc3c958a59e523e67937b3a0a509868","1","39","40"
"jwagner","2014-04-16 17:05:11","jwagner","2014-04-16 17:05:11","084ff3a622cb5dd08d3d82f35a45b5da80c9506b","1","40","41"
"jwagner","2014-04-16 17:03:35","jwagner","2014-04-16 17:03:35","b4d89e782f520431179955f45a7ad5269055451d","2","8","10"
"jwagner","2014-04-10 14:24:06","jwagner","2014-04-10 14:24:06","84474c6ea0f34be388475117ac87d861311edfc2","0","9","9"
"jwagner","2014-04-10 14:17:51","jwagner","2014-04-10 14:17:51","5e9bd9eb34d6daa6bf6494c27b94f3fc1a4c47f6","40","0","40"
"jwagner","2014-04-10 14:10:45","jwagner","2014-04-10 14:10:45","2ca07e48416217d79c95c6203ab9239b268b9956","4","5","9"
"jwagner","2014-04-09 17:57:28","jwagner","2014-04-09 17:57:28","6d40992f6b80cf8d1a8ec943c3ce7d599ed61df6","30","33","63"
