"author","author_date","committer","committer_date","sha","additions","deletions","total"
"karpathy","2016-11-25 00:57:14","web-flow","2016-11-25 00:57:14","4c3358a315b4d71f31a0d532eb5d1700e9e592ee","1","1","2"
"Larry850806","2016-11-23 02:38:09","web-flow","2016-11-23 02:38:09","b9db2ffa44584f99aeec918154fefdce52add7c6","1","1","2"
"karpathy","2016-03-13 23:21:56","karpathy","2016-03-13 23:21:56","5c653cb15a53c3361a6cf21c7277de941ff05352","2","2","4"
"karpathy","2015-08-25 11:11:30","karpathy","2015-08-25 11:11:30","9d94611d4a34e44a06f4ffd72cb50273c9ce8d8a","0","9","9"
"vallettea","2015-08-24 15:41:34","vallettea","2015-08-24 15:41:34","31f2fa383347801a1e3b5ffdabf170cb61d050d4","1","1","2"
"vallettea","2015-08-24 12:55:01","vallettea","2015-08-24 12:55:01","3c2291edcc30a581990a37c3521cddd14f391dda","0","9","9"
"karpathy","2015-08-01 11:45:27","karpathy","2015-08-01 11:45:27","9ed62a916e377bda28d89eb146bd31277def3189","9","5","14"
"kashif","2015-07-28 21:45:30","kashif","2015-07-28 21:45:30","08cda91824fa8e2522fa42497100881146a4437e","9","5","14"
"karpathy","2015-07-26 12:57:02","karpathy","2015-07-26 12:57:02","b1c7c7f06df6f18428ae564555b50545bd6a1062","1","1","2"
"riantsoa","2015-07-19 19:46:21","riantsoa","2015-07-19 19:46:21","f8cb44f81c33d029cb1d647627550756292b9c28","1","1","2"
"karpathy","2015-07-09 10:42:28","karpathy","2015-07-09 10:42:28","f30ddb073fb1cd3a7e0f0e69e1ee87fc1ddc0622","1","0","1"
"korczis","2015-07-09 10:05:06","korczis","2015-07-09 10:05:06","020283f78256f6538b5c01b642f1fda19e43d955","1","0","1"
"karpathy","2015-06-21 13:21:44","karpathy","2015-06-21 13:21:44","7b71356d9e62f11c67825022ff1536910af1cc70","9","23","32"
"Kaixhin","2015-06-20 19:50:33","Kaixhin","2015-06-20 19:50:33","e14012e613ba36b12970b09a363dc22e5151693b","1","1","2"
"Kaixhin","2015-06-20 19:42:10","Kaixhin","2015-06-20 19:42:10","a9ba9785baa19a30a8745dbc8cd8e8872159bc2d","9","23","32"
"karpathy","2015-06-02 04:05:40","karpathy","2015-06-02 04:05:40","9b8a20abea7cb096eaa23f03cc71fe61d20c7e33","3","3","6"
"cbovar","2015-06-01 02:02:35","cbovar","2015-06-01 02:02:35","9c9f8863e16cbd45aa501bad875cd028b8684a41","3","3","6"
"karpathy","2015-05-07 21:08:48","karpathy","2015-05-07 21:08:48","72b4719f6b7bf1ce460549a9b2c2070a7e653bc6","3840","4013","7853"
"pavelpep","2015-05-07 09:16:18","pavelpep","2015-05-07 09:16:18","a31bc0864cab3f27f9ccc076859f16c2a553258e","34","34","68"
"pavelpep","2015-05-07 08:50:00","pavelpep","2015-05-07 08:50:00","e1575a802f4c92b94d8f510fa2d7719ee1fc1413","6","842","848"
"pavelpep","2015-05-07 08:09:37","pavelpep","2015-05-07 08:09:37","3ddd64fc6876257add0cb9f3a451981ac44d122b","1","1","2"
"pavelpep","2015-05-07 08:05:34","pavelpep","2015-05-07 08:05:34","2d71be544f30b49db46d876697b0e0c9f925081f","1","2","3"
"pavelpep","2015-05-07 07:45:58","pavelpep","2015-05-07 07:45:58","cc0b2c22982da7bf80439a434a776a97b4799156","682","70","752"
"pavelpep","2015-05-07 07:40:32","pavelpep","2015-05-07 07:40:32","292de185dcd385922aae53226f07adc5d6bec10a","88","274","362"
"pavelpep","2015-05-07 04:44:01","pavelpep","2015-05-07 04:44:01","a029115dc83b6f112f7407401119aa112c8ed916","3423","3403","6826"
"pavelpep","2015-05-07 04:00:45","pavelpep","2015-05-07 04:00:45","2ec6cf0d744841ab0de5f72861a6197522b1f1fd","404","186","590"
"karpathy","2015-02-09 02:41:51","karpathy","2015-02-09 02:41:51","6bd4060397f12fc24be4b34eb746a0483c0fc6a9","5","5","10"
"jasonly","2015-02-09 02:25:20","jasonly","2015-02-09 02:25:20","cc39679fd466ae7d06fbe8df848d0c12353d666e","5","5","10"
"karpathy","2014-12-02 19:24:24","karpathy","2014-12-02 19:24:24","a0e1ea454eb23cd4073aaca9cbb9ec2d2c9c5519","1","1","2"
"torrmal","2014-11-30 22:14:45","torrmal","2014-11-30 22:14:45","cbc86e47e5084c39aac48cafa7187d58369a3832","1","1","2"
"karpathy","2014-11-07 21:28:54","karpathy","2014-11-07 21:28:54","516002dbcc712f88577bdf9176162daf79bac1c5","1","1","2"
"hartca","2014-11-07 16:50:38","hartca","2014-11-07 16:50:38","3de6e28ec894e53da65169b48ee5bc4a84bb2ce1","1","1","2"
"karpathy","2014-10-29 18:10:09","karpathy","2014-10-29 18:10:09","a530c06fdf07c39398b8b6d8581cb54ac5ad4b6c","3","9","12"
"mkroutikov","2014-10-29 13:41:02","mkroutikov","2014-10-29 13:41:02","2facd4229f744c1c73e972572b7514922b36d327","3","3","6"
"mkroutikov","2014-10-28 01:48:09","mkroutikov","2014-10-28 01:48:09","d763882eb5c5f2293de40a2f9b78c52bf94f3544","1","7","8"
"karpathy","2014-09-24 17:43:09","karpathy","2014-09-24 17:43:09","3eba1b93ca22e793dbd2e4eaf85e9a975f3201e6","1","1","2"
"rylans","2014-09-24 17:36:42","rylans","2014-09-24 17:36:42","566e5844c14c9354c05436055636abe3f2b05f8d","1","1","2"
"karpathy","2014-09-16 23:04:30","karpathy","2014-09-16 23:04:30","ba84e46c9931739d8c8b740aa852015d1d4ead66","11","17","28"
"karpathy","2014-09-16 21:18:57","karpathy","2014-09-16 21:18:57","62c0a0466f4b6bb10799c42104221af913647690","148","98","246"
"karpathy","2014-09-16 20:46:43","karpathy","2014-09-16 20:46:43","7786e7c30fbdd83b30a2beea8191e18efefb2b07","9","18","27"
"karpathy","2014-09-16 20:26:27","karpathy","2014-09-16 20:26:27","ec183b1fdecdf1d5a3d5400a4ab3b2cda561fbde","22","18","40"
"karpathy","2014-09-16 19:10:14","karpathy","2014-09-16 19:10:14","ea9d6a97b51693ee6b09fce4cc07fc821ce0068e","7","36","43"
"karpathy","2014-09-16 18:03:41","karpathy","2014-09-16 18:03:41","fcf0621d01dd298e1e320562d88030367765dee3","224","0","224"
"karpathy","2014-09-01 00:29:50","karpathy","2014-09-01 00:29:50","1e32d9709eb04b551cda8ee0f539f4bcfe553e9a","10","14","24"
"karpathy","2014-09-01 00:15:07","karpathy","2014-09-01 00:15:07","735db5d5c4595521eda2be7423ac225127944bdd","0","55","55"
"karpathy","2014-09-01 00:13:40","karpathy","2014-09-01 00:13:40","f8c8d4f769452b93042cab471eb8dbe4945f69b8","37","41","78"
"karpathy","2014-09-01 00:11:48","karpathy","2014-09-01 00:11:48","aa7fdba0713d551b481933999153a5bbb98061eb","37","79","116"
"karpathy","2014-08-31 23:26:17","karpathy","2014-08-31 23:26:17","f2e7e29ef79f3ab74e6e5b4183448c21713f6c38","0","31","31"
"karpathy","2014-08-31 23:24:29","karpathy","2014-08-31 23:24:29","a5d0fd4c9647d1ff9b2eaaf74e655d0123775f0f","4","24","28"
"karpathy","2014-08-31 23:21:44","karpathy","2014-08-31 23:21:44","c366cbedd0fb01374f7ff12518eb94e5879d94d3","2206","0","2206"
"karpathy","2014-06-30 16:16:13","karpathy","2014-06-30 16:16:13","34eef1021899f4e4937a699afd1c370fcb2c393a","0","31","31"
"levicc00123","2014-06-28 19:47:59","levicc00123","2014-06-28 19:47:59","f2cb00e0e8f302418027b05278b8e88b63078fcf","0","31","31"
"karpathy","2014-05-16 03:47:11","karpathy","2014-05-16 03:47:11","f1addd3a0b4c245a1e5ad84a85a048d48a975400","12","3304","3316"
"karpathy","2014-04-26 20:38:21","karpathy","2014-04-26 20:38:21","5284e9b8146702e9a718957400b85656de551669","34","65","99"
"karpathy","2014-04-26 19:26:19","karpathy","2014-04-26 19:26:19","a75797f349c21293e54f1f4c8215c997aaa27347","2","632","634"
"karpathy","2014-04-26 19:21:02","karpathy","2014-04-26 19:21:02","74d2e3fd187c224b85367d2005ebeed7fd465e24","0","308","308"
"karpathy","2014-04-26 19:17:58","karpathy","2014-04-26 19:17:58","3495bca9195fac8c7f6a3a4f652a2afffcb23a5e","4","432","436"
