"author","author_date","committer","committer_date","sha","additions","deletions","total"
"zenopopovici","2017-03-14 17:48:25","web-flow","2017-03-14 17:48:25","f1d418dd07bbbdd0ecb3c17f805d6ba9f82307bf","2","2","4"
"helfi92","2017-03-14 17:46:43","helfi92","2017-03-14 17:46:43","ac915982f2bd628d1a328f371eb090e95bbaa566","2","2","4"
"zenopopovici","2017-03-14 13:02:01","web-flow","2017-03-14 13:02:01","cd4880fb867a3f3746c7d6d1317cc5149141e2c3","3","3","6"
"helfi92","2017-03-14 00:18:18","helfi92","2017-03-14 00:18:18","7cd146359c367b3ec120f4aea3f4cc109ee437fb","3","3","6"
"loverajoel","2017-03-13 15:51:46","loverajoel","2017-03-13 15:51:46","dcfdebb13b433f8759bbbf1fb951d25744a2055d","3","0","3"
"loverajoel","2017-03-13 15:51:13","web-flow","2017-03-13 15:51:13","3faedb5d985e4a839c8027b8ece0df797af46e1e","0","75","75"
"helfi92","2017-03-13 12:48:18","helfi92","2017-03-13 12:48:18","3fdaf960fd5e6e56cea5401b642025482c7c48c0","4","4","8"
"helfi92","2017-03-13 02:42:59","helfi92","2017-03-13 02:51:14","d93d36c9ca797ed023188ba9b18f0d68698b9725","0","75","75"
"loverajoel","2017-03-09 12:42:27","loverajoel","2017-03-09 12:42:27","e631c47c2056bac6c02ce3c8534808c609087276","0","36","36"
"neighborhood999","2017-03-09 08:04:36","web-flow","2017-03-09 08:04:36","26e21b79ff903e711a0678e1627f617b06c0cc4e","0","1","1"
"neighborhood999","2017-03-09 07:59:11","web-flow","2017-03-09 07:59:11","c53ebcd0cac70078147deb90f2b7a3c1e73776b3","2","2","4"
"hingsir","2017-03-09 07:50:55","web-flow","2017-03-09 07:50:55","1ba0729954933b2791fd8c45086e64014945769c","2","2","4"
"loverajoel","2017-03-07 17:43:50","loverajoel","2017-03-07 17:43:50","b6003af30f57d922d76b9b98a87d9889b323a6a9","0","0","0"
"loverajoel","2017-03-07 17:32:19","loverajoel","2017-03-07 17:32:19","a23168420a07309ac53ffd93c3b26927caeeb547","0","53","53"
"sjfkai","2017-03-03 06:34:41","sjfkai","2017-03-03 06:34:41","055414aedadbf0e6a60ad4e42fa7528649ebdfd2","0","69","69"
"neighborhood999","2017-02-28 14:21:47","neighborhood999","2017-02-28 14:21:47","fa5fa51a331a3687fd2176096b0114819228dfd6","0","69","69"
"loverajoel","2017-02-28 03:39:25","loverajoel","2017-02-28 03:39:25","1c312931540bba72d7705dca63a640576e4c13de","55","55","110"
"loverajoel","2017-02-28 03:31:38","loverajoel","2017-02-28 03:31:38","04b3a32261b64065bef391de51a8df2d60c9a94e","65","65","130"
"loverajoel","2017-02-28 02:56:42","loverajoel","2017-02-28 02:56:42","64d21ebb67a72da997d5e40f3d667883341f0735","62","62","124"
"loverajoel","2017-02-28 02:52:11","loverajoel","2017-02-28 02:52:11","7306cedd4450b1252eb9574262e3bf5451222a36","65","65","130"
"loverajoel","2017-02-28 02:38:54","loverajoel","2017-02-28 02:38:54","f879fa24d9cd4f8aa7979540326bda6ed0165287","0","906","906"
"loverajoel","2017-02-28 02:35:29","loverajoel","2017-02-28 02:35:29","7423c2d3cc11bd2c5821c50a67584632ac247537","1","1","2"
"loverajoel","2017-02-28 02:32:59","loverajoel","2017-02-28 02:32:59","9577dc9c3ba6491b9786175426a3ed45b49b0b43","1","1","2"
"loverajoel","2017-02-28 02:26:03","loverajoel","2017-02-28 02:26:03","e4a8d205e232b3bc3501734ebb4481326d9eda8a","0","0","0"
"loverajoel","2017-02-28 02:25:09","loverajoel","2017-02-28 02:25:09","7781075be8d2c9c1fdecdac8b0f641a16490f2b1","2330","0","2330"
"loverajoel","2017-02-28 02:15:30","loverajoel","2017-02-28 02:15:30","3f4e4c610b6da1cd9839b743e693c6322b4e91cb","4","2","6"
"loverajoel","2017-02-28 02:03:26","loverajoel","2017-02-28 02:03:26","272971788c800a04d7a472e0a0d94e5708876e0d","2033","19207","21240"
"sjfkai","2016-01-24 02:30:50","sjfkai","2016-01-24 02:30:50","9c23bbdb9a32debf9a90b6e93da9a1e292191f8c","0","20","20"
"sjfkai","2016-01-24 02:24:05","sjfkai","2016-01-24 02:24:05","1c52eaf3bcdf547fbcc5993b37e2e7368ca7487b","6","24","30"
"loverajoel","2016-01-23 15:12:33","loverajoel","2016-01-23 15:12:33","d5840b8e0bbd664aa60726ae506cd0f2d26bf9e1","2","2","4"
"loverajoel","2016-01-23 15:11:57","loverajoel","2016-01-23 15:11:57","af66598756a38285c9bc5759ce52c7678a325198","6","24","30"
"sjfkai","2016-01-23 02:07:31","sjfkai","2016-01-23 02:07:31","5dc3c347f050064526d333192371414b9891103d","2","2","4"
