"author","author_date","committer","committer_date","sha","additions","deletions","total"
"bajtos","2017-03-06 15:46:04","bajtos","2017-03-06 15:46:04","4919f44204f9aa2c3a73e5ad63552cacb88a66fb","2","2","4"
"bajtos","2017-03-06 15:45:24","bajtos","2017-03-06 15:45:24","359f48e2f799aae7f86c133d51d40518ff96b16f","0","9","9"
"Kreozot","2017-01-19 10:39:41","bajtos","2017-01-19 10:39:41","2e5309f75099753740c4567e17fd79ee27885d71","1","1","2"
"3y3","2016-04-08 22:54:00","3y3","2016-04-08 23:00:49","0faa1356d66fe25027ff12a9e5c7da0fd8ed9276","3","3","6"
"3y3","2016-04-08 21:59:08","3y3","2016-04-08 21:59:08","0e966e99e4dd3cd1812eb3fd90df48ea4b26bd52","7","2","9"
"3y3","2016-04-06 23:31:30","3y3","2016-04-06 23:31:30","c2dd1eb0129d3d27528a09a8c1d0997f9485ed3c","1","16","17"
"3y3","2016-04-06 23:16:07","3y3","2016-04-06 23:20:54","257f34b476ff0b79d3dc3689cf99a75e50248eb4","24","7","31"
"Y--","2016-03-08 19:49:31","3y3","2016-04-06 23:05:07","9de0b021dcb4412bb7ce2a24d76f11810494f4cd","8","57","65"
"asselin","2016-03-29 13:37:00","3y3","2016-04-06 23:02:24","c769ae92bfec5dc8fcb4d291abf94271b17dabfa","1","1","2"
"apomortsev","2016-03-30 02:41:28","apomortsev","2016-03-30 02:41:28","220b6848e7a381c9322b82589ed607f1cf6e15e0","3","55","58"
"3y3","2016-03-12 02:28:17","3y3","2016-03-12 02:28:17","784320bbfc6ab7ab7bdc2e0d1172be3fe1aa696f","4","9","13"
"gfpacheco","2015-09-01 18:54:37","3y3","2016-02-26 15:37:19","b5c638a8c553ffb3483ac555d792b3498ac5898e","2","2","4"
"3y3","2016-02-25 16:39:14","3y3","2016-02-25 16:39:14","2037ec50fe6f748e4c4ef979c89669140ef8b3e8","1","14","15"
"3y3","2016-02-25 15:57:44","3y3","2016-02-25 15:57:44","b7c2d24f02cf9a3191515f81fa5682bc7145d378","0","2","2"
