"author","author_date","committer","committer_date","sha","additions","deletions","total"
"eladb","2017-01-11 20:53:05","jcrugzz","2017-01-11 20:53:05","c979ba9f2cbb6988a210ca42bf59698545496723","1","1","2"
"jcrugzz","2016-12-24 22:03:33","web-flow","2016-12-24 22:03:33","e6f24ba6173c4fdd26089b3c729de5dbdd71ad74","1","0","1"
"ivannieto","2016-12-24 22:02:41","jcrugzz","2016-12-24 22:02:41","d73f1ee8735aaa3f06329b64d2eace755f4a2b3b","0","2","2"
"ivannieto","2016-12-24 18:27:54","jcrugzz","2016-12-24 18:27:54","a539f3cbc10f44e2424a30e2d8aa4442df25bab8","0","74","74"
"lpinca","2016-12-16 17:28:52","jcrugzz","2016-12-16 17:28:52","d4d85ac5c4bc812a03b02ade2b4d089e6558ac36","1","1","2"
"jcrugzz","2016-12-06 15:49:02","jcrugzz","2016-12-06 15:49:02","c1fb596b856df971d291585ccf105233f7deca51","1","1","2"
"pachirel","2016-12-06 14:51:01","jcrugzz","2016-12-06 14:51:01","961f457622b931935d0af096c728fd8635606b80","20","32","52"
"jcrugzz","2016-12-04 15:59:46","jcrugzz","2016-12-04 15:59:46","ac1a01b1f3caa3a2a9433341bf5e7a95072d6612","1","1","2"
"kriswill","2016-12-04 02:48:18","jcrugzz","2016-12-04 15:58:49","8cb451f20cff0a19fc9576fc2558307fb17a5710","21","72","93"
"jcrugzz","2016-12-02 14:13:10","jcrugzz","2016-12-02 14:13:10","c252b32f6c7f832f157cc4647ceaff33dd265d82","1","1","2"
"maartenth","2016-12-02 14:09:11","jcrugzz","2016-12-02 14:09:11","927357bedc42f2e3067c44c10ab9563be7d8b032","16","21","37"
"pachirel","2016-12-02 01:03:13","jcrugzz","2016-12-02 01:03:13","4edbb62cc5881b20e7dae5e6240e693b03fd3609","13","46","59"
"maartenth","2016-12-01 14:39:46","jcrugzz","2016-12-01 14:39:46","69cf892519b0fecf084c0cb0b5edac781ca696fe","1","34","35"
"purificant","2016-11-27 01:14:38","jcrugzz","2016-11-29 14:01:06","2f7f03778cfb94396acf0d778061ea197212fbb5","0","1","1"
"jcrugzz","2016-10-22 15:47:23","jcrugzz","2016-10-22 15:47:23","d8223884f61a05fabf788a0bd921c7a6197a96ee","1","1","2"
"jcrugzz","2016-10-22 15:44:35","jcrugzz","2016-10-22 15:45:16","d0f1dfeb8277d46a057017cd888b50e85f6725d6","9","9","18"
"131","2016-10-22 15:18:51","jcrugzz","2016-10-22 15:45:16","220f5fb795d2977c5a68ae59d7db65089efed50c","12","12","24"
"131","2016-09-20 13:32:14","jcrugzz","2016-10-22 15:45:16","d48f67eb90d8af66211093e91efdd6638859e0bf","23","14","37"
"131","2016-09-20 13:26:34","jcrugzz","2016-10-22 15:45:16","61c28891093b256bbc0dae78e45e2c5f0acf2101","25","28","53"
"131","2016-09-17 20:47:41","jcrugzz","2016-10-22 15:45:16","fbc266809c289fbdb59d7944345816a858303c96","1","1","2"
"131","2016-07-20 10:23:19","jcrugzz","2016-10-22 15:45:16","8eddf45f2a043e4e1b3f6e33c304e68fe7e1c406","1","1","2"
"","2016-10-06 07:02:30","jcrugzz","2016-10-06 20:24:44","f5217d6c20c164ed412a3b20f660786b6f88b35b","0","22","22"
"","2016-10-05 14:17:22","jcrugzz","2016-10-06 20:24:44","2d01edc5a5ace591784022b85860a3bbc48c5e12","1","1","2"
"ashishdahiya","2016-10-04 13:54:52","jcrugzz","2016-10-04 13:54:52","d0a15886399a175fc7aab448fbdf2537b5cb0839","0","1","1"
"jcrugzz","2016-09-14 21:12:30","jcrugzz","2016-09-14 21:12:30","912cd3acaef484f7ea08affc9339250082e04058","1","1","2"
"briman0094","2016-09-14 21:08:26","jcrugzz","2016-09-14 21:08:26","84087208ddc04a5f8133d1a1348d8db49afc1981","2","4","6"
"jcrugzz","2016-09-14 17:05:56","jcrugzz","2016-09-14 17:05:56","b98c75b1ff3ebdf7f78224eb0d9aa857af2db1d9","1","1","2"
"alexindigo","2016-09-14 11:03:48","jcrugzz","2016-09-14 11:03:48","b781af641ade623b7a1537e32cf9f8fffd3e551e","11","54","65"
"mkrufky","2016-09-14 11:02:30","jcrugzz","2016-09-14 11:02:30","cbd577706019a62181414c29b97fdba07e46a649","1","1","2"
"cchamberlain","2016-09-13 22:19:33","jcrugzz","2016-09-13 22:19:33","d8fb34471594f8899013718e77d99c2acbf2c6c9","1","4","5"
"Volune","2016-08-12 17:42:18","jcrugzz","2016-08-12 17:42:18","1e52f660f0246690e065c8b0e5e86e2b9cc40dfd","30","146","176"
"wuchangming","2016-08-11 16:37:57","jcrugzz","2016-08-11 16:37:57","9d06ca99d37495ffcdeafc63e1d19c78c93663e7","2","2","4"
"matibek","2016-08-11 16:37:32","jcrugzz","2016-08-11 16:37:32","d0e000e1f91a969f1711eb3be7d1acb16c4538df","17","22","39"
"gabrielboucher","2016-08-11 16:36:17","jcrugzz","2016-08-11 16:36:17","183b5bb4fc0a8cf0c08b2e949319dd3a2f134c5e","8","7","15"
