"author","author_date","committer","committer_date","sha","additions","deletions","total"
"jpsim","2017-03-13 20:28:29","jpsim","2017-03-13 20:28:29","1d739978d70d3153ebae2590fbc502dc578374dd","0","15","15"
"jpsim","2017-03-13 19:38:30","jpsim","2017-03-13 19:38:30","0f920ef71c3db3112c734e27baa605e77d55a18b","4","4","8"
"austinzheng","2017-03-13 18:20:21","web-flow","2017-03-13 18:20:21","66351388f1b0c703a958501af082fcab774fd032","1","11","12"
"bdash","2017-03-10 21:51:37","web-flow","2017-03-10 21:51:37","e07e9ffb4c17fc58dcef75d92356e82b8da36a80","2","7","9"
"bdash","2017-03-10 17:53:48","bdash","2017-03-10 17:53:48","77ad87b78b5fb1f51868cde7b04c3bd79237f739","2","7","9"
"bdash","2017-03-09 22:51:13","web-flow","2017-03-09 22:51:13","ae2f34bdbb8319319e202a4f4d54fcebd3f9fa9f","7","2","9"
"bdash","2017-03-09 21:44:36","web-flow","2017-03-09 21:44:36","ac3d872606c219449a55cf0b7f480b9a2c3c3ddb","7","2","9"
"jpsim","2017-03-09 00:53:34","web-flow","2017-03-09 00:53:34","5abf19957519e5314b758c7c761add3aea812268","1","1","2"
"bdash","2017-03-08 23:16:17","web-flow","2017-03-08 23:16:17","2bd23c3030baec47704fdae8737989bc92a9c1fc","2","7","9"
"bdash","2017-03-08 21:52:36","bdash","2017-03-08 21:52:36","8be4be7859c3b1961cc13272090ffdd1029f67e6","2","7","9"
"jpsim","2017-03-08 00:00:14","web-flow","2017-03-08 00:00:14","25cdc6b9b4fcef8f322e4a463c8bd50a0c98a416","20","310","330"
"jpsim","2017-03-07 23:12:21","jpsim","2017-03-07 23:18:00","ad8fc562a74835a970aad694cd4d104741177b39","5","5","10"
"jpsim","2017-03-07 22:59:02","jpsim","2017-03-07 23:18:00","302f37fa39d1dae3ab62e6d256be2e659d17795d","1","2","3"
"jpsim","2017-03-07 22:53:37","jpsim","2017-03-07 22:53:37","05744ecd315d22b6f0176c10f704f364fec3e27d","1","1","2"
"kishikawakatsumi","2017-03-07 15:07:49","kishikawakatsumi","2017-03-07 15:29:58","8942097712b1dbfb0081a74819aa14e3ebc77dd0","1","1","2"
"kishikawakatsumi","2017-02-03 14:56:58","kishikawakatsumi","2017-03-07 15:29:58","9eb886ad576decddaece101706a5ed628e42acea","1","7","8"
"kishikawakatsumi","2017-02-03 14:52:19","kishikawakatsumi","2017-03-07 15:29:57","7811686c041af887132a8d2b19a413f62dfa1aed","1","1","2"
"kishikawakatsumi","2017-02-02 19:54:54","kishikawakatsumi","2017-03-07 15:29:47","ff52d7ee882a85d9c78f17ba8a9c8bc56a346d87","2","63","65"
"kishikawakatsumi","2017-01-26 13:15:52","kishikawakatsumi","2017-03-07 14:11:32","e7217fdf843b7da1d876786f506dabb602f897e6","0","1","1"
