"author","author_date","committer","committer_date","sha","additions","deletions","total"
"BubuAnabelas","2017-03-15 04:14:35","sindresorhus","2017-03-15 04:14:35","d97c22994f10e33f76c2549cb004cd89957efe92","0","3","3"
"podo","2017-03-14 19:34:53","sindresorhus","2017-03-14 19:34:53","3c5251600923fb88d37b42bd65980f96ee50cfee","0","1","1"
"terryum","2017-03-14 19:18:37","sindresorhus","2017-03-14 19:18:37","e1ca450744ca3c9b686a93525966e23bfc353fb3","0","1","1"
"sindresorhus","2017-03-14 18:11:10","web-flow","2017-03-14 18:11:10","45dc054f7c48ad4e553537a0f0ad387f27606c60","2","2","4"
"LucasBassetti","2017-03-14 18:05:52","sindresorhus","2017-03-14 18:05:52","0b27cc65fe340fdc15dfb2e8fd192d2b877cfdee","0","1","1"
"johnjago","2017-03-07 11:54:30","sindresorhus","2017-03-07 11:54:30","0c05ffea5a709532be1638bf8c9ab44d9cf561c2","0","1","1"
"TheJambo","2017-03-07 11:43:03","sindresorhus","2017-03-07 11:43:03","22484bc98f72927bcf575d85fa1e995e1b29f3a6","0","1","1"
"dar5hak","2017-03-07 11:38:05","sindresorhus","2017-03-07 11:38:05","1dae836572da299416864840ec0db86f21ec08c9","1","1","2"
"aviaryan","2017-02-20 09:39:05","sindresorhus","2017-02-20 09:39:05","b29efd88b44527d4fe13c36b1313c4c280cc129b","0","1","1"
"davisonio","2017-02-18 20:30:02","sindresorhus","2017-02-18 20:30:02","430d9c015f88e0d835dc5604cceddbbe40cb841b","14","29","43"
"petk","2017-01-29 10:41:11","davisonio","2017-01-29 10:41:11","95a2b1581f8877e1b4d0a341d9e4cc9cf3effc59","2","2","4"
"d3viant0ne","2017-01-27 17:21:19","davisonio","2017-01-27 17:21:19","aafa59b8da97eecc0d3cc41976c7ed4e1102bf09","1","1","2"
"terkelg","2017-01-23 08:38:29","sindresorhus","2017-01-23 08:38:29","14159929b69be47e3d2c1d80c0bb55da609b34a9","0","1","1"
"davisonio","2017-01-22 20:19:44","web-flow","2017-01-22 20:19:44","8617b899d8254963cdbe537a6f4c60cb6b7f57de","1","1","2"
"mischah","2017-01-20 14:50:52","sindresorhus","2017-01-20 14:50:52","8a2fd3aa06542121cedbd9c5c6311f9709979921","0","1","1"
"kasbah","2017-01-19 18:01:47","sindresorhus","2017-01-19 18:02:11","754019d8a83e32934cb676dd63a8bd6824c41fdb","5","10","15"
"kasbah","2017-01-19 17:57:44","sindresorhus","2017-01-19 17:57:44","dc28ef7bb0e109d99a7a44def16b59c044a15ff9","0","1","1"
"JesseTG","2017-01-18 16:04:48","sindresorhus","2017-01-18 16:04:48","3541511c2044d6d8c07a2a4748ae0a10f0273b70","0","1","1"
"sindresorhus","2017-01-17 11:36:19","sindresorhus","2017-01-17 11:36:19","83a577e7cb46c66907eadaa8bf6cf9f10b65015e","30","30","60"
"sger","2017-01-16 14:28:50","sindresorhus","2017-01-16 14:28:50","39604052e28c91d94c2901a4626d4f07073d9bfd","0","1","1"
"timofurrer","2017-01-10 12:17:45","sindresorhus","2017-01-10 12:17:45","3f1f6881a74c28f533e1c943cf603df5f29a78d9","0","1","1"
"harpribot","2017-01-10 08:59:50","sindresorhus","2017-01-10 08:59:50","f4039abe29ee95849ffe95da948272e3c3774140","0","1","1"
"aliesbelik","2017-01-09 17:23:00","sindresorhus","2017-01-09 17:23:00","367d9d3f8b7b430a1b0667aa76e58c85fa17d5d3","1","2","3"
"arbox","2016-12-17 10:56:01","sindresorhus","2016-12-17 10:56:01","50eedafa774fe7107e69dd9bd46befb19bf09416","0","1","1"
"hbokh","2016-12-17 10:43:17","sindresorhus","2016-12-17 10:43:17","764f004768ae1766e143a49ef2f3493a969c6ee6","0","1","1"
"websemantics","2016-12-17 10:41:52","sindresorhus","2016-12-17 10:41:52","f53e97e1ff7cb32bef1552fd6c2f118fa7f3608a","0","1","1"
"mischah","2016-11-28 13:04:10","aleksandar-todorovic","2016-11-28 13:04:10","c7c991b1ac4cd29489fd47c76aa82150f89e1a17","1","1","2"
"vors","2016-11-26 06:00:30","sindresorhus","2016-11-26 06:00:30","f5d4728ba261aa114919443a3b4db5ce9f38d33e","0","1","1"
"nicolesaidy","2016-11-24 19:17:18","sindresorhus","2016-11-24 19:17:18","22417fe185a01a439201ed470bba3155520c6c65","0","1","1"
"tandavas","2016-11-20 06:43:26","sindresorhus","2016-11-20 06:43:26","24be162acf6e7eedd353764477ec382a4015c2b6","0","1","1"
"nirgn975","2016-11-20 06:42:53","sindresorhus","2016-11-20 06:42:53","63e5a1012bd96780df054aacdd4bf414069d00f6","0","1","1"
"sindresorhus","2016-11-18 12:50:14","sindresorhus","2016-11-18 12:50:23","b7e11cddfae11e1eee1b117b2100e93e3dde1331","16","26","42"
"vinkla","2016-11-09 11:56:19","sindresorhus","2016-11-09 11:56:19","4f7d4f67bdd0a9bb5da3272257a4b8f43d8950e4","0","1","1"
