"author","author_date","committer","committer_date","sha","additions","deletions","total"
"sitaramc","2017-01-16 15:06:30","sitaramc","2017-01-16 15:06:30","7c8f0abb0eadfd768e8996fd0ed04172401b3116","4","1","5"
"sitaramc","2017-01-16 13:06:09","sitaramc","2017-01-16 13:06:09","5a752721e523996f135916df14e5e704e2ebe59d","1","1","2"
"sitaramc","2017-01-14 06:28:46","sitaramc","2017-01-14 06:28:46","996d11865f8b2dc1f84787753610c77428e75643","0","8","8"
"sitaramc","2016-11-25 12:46:33","sitaramc","2016-11-25 12:46:33","72c02387f6e1a9d2791dd78533d0c3e909400715","1","1","2"
"sitaramc","2016-09-30 00:15:25","sitaramc","2016-09-30 00:23:01","8620d5f848d69830167227731fcec9462f497ba4","3","19","22"
"","2016-09-08 16:35:51","sitaramc","2016-09-09 00:43:56","5c2fe87019dadbecb1883bedd075cd07b07b2078","1","1","2"
"sitaramc","2016-09-08 16:11:40","sitaramc","2016-09-08 16:12:09","908f8c6f3b8ef5b95829be7155be2557e71f4579","0","10","10"
"sitaramc","2016-09-08 15:11:44","sitaramc","2016-09-08 16:12:08","eb3f12f4d024937084ef52aecff82c390a4fa9c1","1","2","3"
"sitaramc","2016-09-08 14:43:40","sitaramc","2016-09-08 16:12:08","b79494923b6f7780a8409472da5ce01897846518","3","25","28"
"sitaramc","2016-09-05 08:21:19","sitaramc","2016-09-05 08:26:12","37ac03da882a617d2b14532bc308972c82724b6f","3","3","6"
"sitaramc","2016-09-05 02:01:51","sitaramc","2016-09-05 02:01:55","35e0b2a9c967005fd7ecb6708388a88ccb85844e","1","1","2"
"fanf2","2016-08-31 11:10:12","sitaramc","2016-08-31 12:41:47","264c26b57daa1891f9cd9cebc71c727b47515234","1","3","4"
"","2016-06-16 20:16:17","","2016-06-16 20:16:17","490b54023ae16c46496977649c9de821898974e0","1","3","4"
"sitaramc","2016-06-07 03:46:17","sitaramc","2016-06-07 04:55:53","753099620aa35434fffada66d9e862d0a8468d63","22","23","45"
"skoslowski","2016-04-12 08:32:20","sitaramc","2016-05-19 08:58:01","d4980d1e56c145df43acfa971ad77a8d485432d0","18","30","48"
"","2016-05-06 04:35:21","sitaramc","2016-05-07 04:44:55","34da7085f119d177ac4afcb5e47b9f3d8c043a7f","0","1","1"
"rmedaer","2016-04-08 13:14:20","sitaramc","2016-05-07 04:44:55","b921a192ea8baada0839529e33592385bd7cd116","10","16","26"
"sitaramc","2016-03-25 04:40:10","sitaramc","2016-03-25 04:40:10","6ed0156bd6e1fa6b0c31d7a2dfa4ae55203c617f","1","1","2"
"sitaramc","2016-03-25 04:38:11","sitaramc","2016-03-25 04:38:11","31214b4aac14430812a0ff18d739c8f1934261a8","0","2","2"
"sitaramc","2016-03-21 04:20:20","sitaramc","2016-03-21 05:08:51","98c167be486d3e175ebf61f9ffb86f5a11296670","0","2","2"
"sitaramc","2016-02-22 23:02:59","sitaramc","2016-02-22 23:03:49","ed20d02e7fa20bcf2200d88a65c139921a633088","1","0","1"
"sitaramc","2016-02-20 12:48:57","sitaramc","2016-02-20 12:48:57","0d12bd6ef5113635dbc17eaf7038a591859ef9a3","0","19","19"
"EugeneKay","2016-02-18 01:08:35","sitaramc","2016-02-18 09:33:10","2494a4010634e4ec004dd227743d85e5b8d0f800","0","2","2"
"pfalcon","2016-02-13 18:48:38","sitaramc","2016-02-14 01:29:41","731d5521bb9d5294cf75aa6b8e4e18b135a49f3f","0","1","1"
"sitaramc","2016-02-06 03:24:37","sitaramc","2016-02-06 04:52:24","6c59f2a53bca782ac606ca78526235da74f1fe33","2","6","8"
"fanf2","2016-01-21 10:59:05","sitaramc","2016-01-21 12:55:34","8de9b8d37eb7a0ad9915f49da9c699d8216a1fb0","2","3","5"
"skoslowski","2016-01-21 09:05:04","sitaramc","2016-01-21 12:55:29","17f42078169bc49aa24805c1db6f4e6f43199222","1","1","2"
"sitaramc","2016-01-20 04:27:40","sitaramc","2016-01-20 04:27:40","bd5f64b8953f70b6e4c7f1683c1b0d8302ba861b","12","2","14"
"robbat2","2016-01-13 07:43:24","sitaramc","2016-01-19 15:01:27","766fd7d46ebb82f9d0134886a3fc5228b4df3936","4","4","8"
"robbat2","2016-01-13 07:43:23","sitaramc","2016-01-19 15:01:27","2be6b7fdc3e0f028f36f2b01e7cb7baff9d275e3","3","4","7"
"robbat2","2016-01-13 07:43:22","sitaramc","2016-01-19 15:01:27","285c4b5f3986d1a7bbcecc5dee976ce2b78746b7","20","12","32"
"robbat2","2016-01-13 07:43:21","sitaramc","2016-01-19 15:01:27","72a3289e7f242a871e94164c9594751de34f0906","10","5","15"
"robbat2","2016-01-13 07:43:20","sitaramc","2016-01-19 15:01:27","37d14c18be60bc0b460fd10994d61d7db81451d6","0","42","42"
"sitaramc","2016-01-13 16:11:14","sitaramc","2016-01-13 16:11:14","f480dbf9275b7a82ccbff208f2925a25864432b9","2","2","4"
"fanf2","2016-01-07 17:03:08","sitaramc","2016-01-12 06:59:22","9c4fc86ae873bd29c00087ee7eb6935b99b95f27","5","9","14"
"sitaramc","2015-12-15 05:49:12","sitaramc","2015-12-15 06:07:57","54ca8f2b8d2d67710cc3583eebff824b45415141","4","4","8"
"","2015-12-11 06:43:51","sitaramc","2015-12-11 06:55:45","ab38ba0a86c13113ad1a9954a11cb497f95318dd","2","45","47"
"milki","2014-07-25 18:07:02","sitaramc","2015-11-26 14:55:21","e430ba6249ba32824a7155928c6cc4b019e75985","0","89","89"
"sitaramc","2015-11-24 23:27:47","sitaramc","2015-11-24 23:27:50","d893743aeaf1ca00f76a2007a3f94b367e7cc2a5","5","22","27"
"sitaramc","2015-11-23 23:25:58","sitaramc","2015-11-23 23:25:58","6f62ca0deef500d9714d0bae81244923f80dbd39","2","3","5"
"sitaramc","2015-11-23 22:41:34","sitaramc","2015-11-23 22:41:34","064febd6bd0264b930434e67b408bf774c033a18","0","3","3"
"sitaramc","2015-11-15 12:47:11","sitaramc","2015-11-15 12:47:11","99bedc89d81fca7362cec70eae93246d2cba11f0","0","1","1"
"sitaramc","2015-11-15 12:21:16","sitaramc","2015-11-15 12:22:42","283af66fa0412b400014f1d663b5ae35093e415d","28","58","86"
"sitaramc","2015-11-11 01:05:50","sitaramc","2015-11-11 01:05:50","319d8461f7fc7976b232d6b80e8adae9370a4113","1","8","9"
"sitaramc","2015-11-01 12:01:20","sitaramc","2015-11-01 12:01:20","93e652485ea97da4e000c9ac0b193fdd81ba08b9","0","15","15"
"sitaramc","2015-10-18 01:17:18","sitaramc","2015-11-01 11:18:37","e235299adaa2aec4bc6ad2d5f874b2c4102f631c","2","5","7"
