"author","author_date","committer","committer_date","sha","additions","deletions","total"
"twalpole","2017-03-08 22:19:35","twalpole","2017-03-09 00:04:47","5859253b6462f6c37e48fa15f5c4b4886ab10fc4","2","2","4"
"twalpole","2017-03-08 17:33:09","twalpole","2017-03-08 17:33:09","c14cd5b7e3cc1632f1c74e40b6f989441a701821","1","0","1"
"twalpole","2017-03-08 17:31:22","twalpole","2017-03-08 17:31:22","3e36e602af8ac20a80aaa68f9e420a767bd67678","2","3","5"
"twalpole","2017-03-08 00:32:02","twalpole","2017-03-08 01:27:20","7ce662e09147a2ba2bc30d8852b344d7f01d579d","5","4","9"
"twalpole","2017-03-07 23:53:25","twalpole","2017-03-08 01:22:18","43cc72d3e63ee3555c670948eb22f0aa326f1615","9","16","25"
"twalpole","2017-03-07 21:19:03","twalpole","2017-03-08 01:22:18","7e5a1f77a6f5d81438b18f9338bb80ca138ab166","2","4","6"
"twalpole","2017-03-07 21:21:50","twalpole","2017-03-07 21:21:50","1d55776b0d7807d70c75a854b66c12ec664c5626","1","2","3"
"twalpole","2017-03-07 17:32:55","web-flow","2017-03-07 17:32:55","276475f1d76d86eab71cce8832f82024cc7e6f34","11","31","42"
"lucasmazza","2017-03-07 13:46:05","lucasmazza","2017-03-07 16:47:37","20a2d272e8d4f354e9f91ffca27254efa6f91e87","11","31","42"
"twalpole","2017-03-06 23:57:26","web-flow","2017-03-06 23:57:26","49774bd7e73948b6a36b1fb210237b2eb03141d9","6","749","755"
"twalpole","2017-03-06 21:54:03","twalpole","2017-03-06 21:54:11","902a58911d787dcafefc04657e0bfc74dc65f427","4","288","292"
"twalpole","2017-03-03 21:06:07","twalpole","2017-03-06 20:18:47","b7e4f8dfc9b8a511b874d8b689c750ae356774a2","6","465","471"
"twalpole","2017-03-01 17:45:47","twalpole","2017-03-01 17:45:47","2a0d50cb579644e70cfe8d0550f5b58cee9a04e3","2","2","4"
"twalpole","2017-02-27 19:06:48","twalpole","2017-02-27 21:05:42","866c975076f92b5d064ee8998be638dd213f0724","4","6","10"
"twalpole","2017-02-20 18:54:50","twalpole","2017-02-20 18:54:50","41542d5617f638608cff301b5b454b011ae41f53","1","1","2"
"twalpole","2017-02-20 07:11:52","web-flow","2017-02-20 07:11:52","00e706de5c4038bc874954935a1f8723b2df2e7e","0","6","6"
"y-yagi","2017-02-19 01:26:02","y-yagi","2017-02-19 01:26:02","943172641209d5bf68a652197638a8211e1ba314","0","6","6"
"twalpole","2017-02-16 20:31:33","twalpole","2017-02-16 21:34:45","047098ad3fe85226c8ebe1f9a2bd9f9f5ae44024","9","9","18"
"twalpole","2017-02-13 17:59:51","twalpole","2017-02-13 17:59:51","2c357e35cef885480bde9a271fd96107e646c175","19","23","42"
"twalpole","2017-02-08 21:49:46","twalpole","2017-02-09 04:07:31","bb6bd004dafcde4d086c9eb2d263297ece6d7f96","1","3","4"
"twalpole","2017-02-07 00:01:39","twalpole","2017-02-07 00:01:39","365f26ec5745d4dd33aee0d41ccd728fb9607cd3","1","1","2"
"twalpole","2017-02-06 21:44:44","twalpole","2017-02-06 21:44:44","9b9b3424b33758232e7ba13f8adc3f3cc0560438","3","0","3"
"twalpole","2017-02-02 17:40:54","web-flow","2017-02-02 17:40:54","35dac129679cde50cb2bdc61e9bc1a33034d49d6","5","56","61"
"twalpole","2017-01-28 22:34:44","twalpole","2017-02-01 21:36:51","fa75398921f827e19dfd496112cd80bf79f71ab3","5","56","61"
"twalpole","2017-02-01 21:21:18","twalpole","2017-02-01 21:21:18","30ed04d8416a7376f45dd8210d4421fc08c9f2fd","2","2","4"
"twalpole","2017-01-31 21:13:07","twalpole","2017-01-31 21:13:07","056c0dbe04d161c703fc2ad41870eb4709539e1e","1","1","2"
"twalpole","2017-01-27 22:06:05","twalpole","2017-01-27 22:06:05","12ff809a75159eedcbc19744085801c7a86dd4ac","0","8","8"
"twalpole","2017-01-27 21:57:05","web-flow","2017-01-27 21:57:05","99a0372aeeb0f3cc2b8962e1753371de58b288c7","6","34","40"
"twalpole","2017-01-27 21:56:28","web-flow","2017-01-27 21:56:28","26be0e3fdd0f7b3c8088cc7f7355ab5b3092f044","2","14","16"
"twalpole","2017-01-27 19:11:13","twalpole","2017-01-27 19:11:13","11d99b84c832c7e63b2856fac6623eb1a116323d","2","14","16"
"twalpole","2017-01-27 00:10:51","twalpole","2017-01-27 00:10:51","dbeec59726a983b801e56838670d8dd86b6e4f8f","38","38","76"
"twalpole","2017-01-26 21:53:03","twalpole","2017-01-26 21:53:03","b2af3d45c4c20765c75b799b2798c88c7316d323","6","34","40"
"twalpole","2017-01-22 21:31:20","twalpole","2017-01-22 21:31:20","ea68ce79a2c717a16a8685d478e3f929f49b29c0","1","1","2"
"twalpole","2017-01-22 20:54:56","twalpole","2017-01-22 20:54:56","b55862ccb50f48a252867208536515f48714150a","1","1","2"
"twalpole","2017-01-22 20:45:01","twalpole","2017-01-22 20:45:01","14a22e313466620711d15311c953c5d539d2d3de","2","2","4"
"twalpole","2017-01-22 20:43:19","twalpole","2017-01-22 20:43:19","3f8f926b48cbf66679c1edcc60a496ea0da692e8","0","1","1"
"twalpole","2017-01-21 20:59:54","twalpole","2017-01-21 20:59:59","70daf3071277d0300f3002652da7c13984b4443f","1","1","2"
"twalpole","2017-01-19 03:33:52","twalpole","2017-01-19 03:33:52","92098f44b0b371ded2e87ed2843b1f85b849c99d","1","0","1"
"twalpole","2017-01-19 02:14:19","twalpole","2017-01-19 02:14:19","1a21567b9ac69c2da20153c72a4242be3ff07c23","4","9","13"
"twalpole","2017-01-18 16:47:48","twalpole","2017-01-18 16:51:53","a65e51a7c7ad5dd94633609af4403fcaf471e5c2","4","13","17"
"twalpole","2017-01-18 16:43:38","web-flow","2017-01-18 16:43:38","b88f59049c65bbd281232b322925454db26552eb","4","15","19"
