issue_num,datetime,body,login,close_date
1647,2017-03-28 05:26:43,"
* **Do you want to request a *feature* or report a *bug*?**
bug


* **What is the current behavior?**
I cant load sass files both for component style and the global style.
the component's style:
<S_CODE_TOKEN>
global style: (imported inside app.component.ts)
`import '../assets/sass/styles.scss';`

i have found this rule for loading component sass styles and it works, but only for component's style:
<S_CODE_TOKEN>
also i've found this rule which can load the global sass file (the import statement), but doesn't load the component style:
<S_CODE_TOKEN>

also, when i put both of them inside the rules array, i get this error:
<S_CODE_TOKEN>

ofcourse i can work around it by specifying the regex parts inside rules like this, and it works:

<S_CODE_TOKEN>

but it's not a good way at all.(considering the fixed file names)

so, what should i do?



* **Please tell us about your environment:**

- Angular version: 2.4.5
- npm version: 3.10.10
- node version: 6.9.5
",ghbakhtiari,
1646,2017-03-27 17:10:53,"* **What kind of change does this PR introduce?** (Bug fix, feature, docs update, ...)



* **What is the current behavior?** (You can also link to an open issue here)



* **What is the new behavior (if this is a feature change)?**



* **Other information**:
",somethiiing,2017-03-27 17:11:29
1646,2017-03-27 17:11:18,needs moar work,gdi2290,2017-03-27 17:11:29
1645,2017-03-27 16:09:20,"Existing module can't find from webpack:

`{ test: /\.ts$/, include: /ClientApp/, use: ['awesome-typescript-loader?silent=true', 'ng-router-loader'] },`

package.json:

{
  ""name"": ""asp.net"",
  ""version"": ""1.0.0"",
  ""description"": """",
  ""author"": """",
  ""license"": """",
  ""dependencies"": {
    ""@angular/common"": ""2.4.10"",
    ""@angular/compiler"": ""2.4.10"",
    ""@angular/core"": ""2.4.10"",
    ""@angular/forms"": ""2.4.10"",
    ""@angular/http"": ""2.4.10"",
    ""@angular/platform-browser"": ""2.4.10"",
    ""@angular/platform-browser-dynamic"": ""2.4.10"",
    ""@angular/platform-server"": ""2.4.10"",
    ""@angular/router"": ""3.4.10"",
    ""@ng-bootstrap/ng-bootstrap"": ""1.0.0-alpha.22"",
    ""alertifyjs"": ""1.8.0"",
    ""angular2-platform-node"": ""2.1.0-rc.1"",
    ""angular2-universal"": ""2.1.0-rc.1"",
    ""angular2-universal-polyfills"": ""2.1.0-rc.1"",
    ""aspnet-prerendering"": ""2.0.3"",
    ""aspnet-webpack"": ""1.0.28"",
    ""bootstrap"": ""4.0.0-alpha.6"",
    ""es6-shim"": ""0.35.1"",
    ""file-saver"": ""1.3.3"",
    ""font-awesome"": ""4.7.0"",
    ""isomorphic-fetch"": ""^2.2.1"",
    ""jquery"": ""3.1.1"",
    ""preboot"": ""4.5.2"",
    ""rxjs"": ""5.2.0"",
    ""systemjs"": ""0.19.39"",
    ""typescript"": ""2.2.1"",
    ""zone.js"": ""0.7.2"",
    ""moment"": ""2.18.1""
  },
  ""devDependencies"": {
    ""@types/alertify"": ""0.3.29"",
    ""@types/ej.web.all"": ""15.1.2"",
    ""@types/file-saver"": ""0.0.0"",
    ""@types/jquery"": ""2.0.34"",
    ""@types/node"": ""6.0.38"",
    ""@types/pdf"": ""0.0.31"",
    ""ng-router-loader"": ""2.1.0"",
    ""angular-router-loader"": ""0.5.0"",
    ""angular2-template-loader"": ""0.6.2"",
    ""awesome-typescript-loader"": ""3.1.2"",
    ""css"": ""^2.2.1"",
    ""css-loader"": ""0.27.3"",
    ""expose-loader"": ""^0.7.1"",
    ""extract-text-webpack-plugin"": ""^2.0.0-rc.2"",
    ""file-loader"": ""0.9.0"",
    ""html-loader"": ""0.4.4"",
    ""json-loader"": ""0.5.4"",
    ""raw-loader"": ""^0.5.1"",
    ""sass-loader"": ""4.1.1"",
    ""node-sass"": ""4.5.0"",
    ""style-loader"": ""^0.13.0"",
    ""to-string-loader"": ""1.1.5"",
    ""ts-loader"": ""2.0.3"",
    ""url-loader"": ""0.5.7"",
    ""syncfusion-javascript"": ""^15.1.33"",
    ""ej-angular2"": ""15.1.37"",
    ""webpack"": ""2.2.1"",
    ""webpack-externals-plugin"": ""1.0.0"",
    ""webpack-hot-middleware"": ""2.17.1"",
    ""webpack-merge"": ""4.1.0""
  }
}

Route:

        path: 'login', loadChildren: './+login/login.module#LoginModule',

",j-nord,
1644,2017-03-26 15:46:55,"Angular 4 is out this week 
- mainly your project need to update dependencies; imports usage; ng-template..
",klihelp,
1643,2017-03-26 11:11:31,"Hello lovely humans,

[string-replace-loader](https://www.npmjs.com/package/string-replace-loader) just published its new version 1.1.0.

<table>
  <tr>
    <th align=left>
      State
    </th>
    <td>
      Update :rocket:
    </td>
  </tr>
  <tr>
    <th align=left>
      Dependency
    </td>
    <td>
      string-replace-loader
    </td>
  </tr>
  <tr>
    <th align=left>
      New version
    </td>
    <td>
      1.1.0
    </td>
  </tr>
  <tr>
    <th align=left>
      Type
    </td>
    <td>
      devDependency
    </td>
  </tr>
</table>

This version is **not covered** by your **current version range**.

Without accepting this pull request your project will work just like it did before. There might be a bunch of new features, fixes and perf improvements that the maintainers worked on for you though.

I recommend you look into these changes and try to get onto the latest version of string-replace-loader.
Given that you have a decent test suite, a passing build is a strong indicator that you can take advantage of these changes by merging the proposed change into your project. Otherwise this branch is a great starting point for you to work on the update.


Do you have any ideas how I could improve these pull requests? Did I report anything you think isn’t right?
Are you unsure about how things are supposed to work?

There is a collection of [frequently asked questions](https://greenkeeper.io/faq.html) and while I’m just a bot, there is a group of people who are happy to teach me new things. [Let them know](https://github.com/greenkeeperio/greenkeeper/issues/new).

Good luck with your project :sparkles:

You rock!

:palm_tree:

---
The new version differs by 4 commits .

- [`86f0fbd`](https://github.com/Va1/string-replace-loader/commit/86f0fbdea2a9dcb1cfc981043d630de90feebf4c) <code>version 1.1.0. tests fixed, lodash dep updated, webpack deps shrinked to specify only release versions</code>
- [`f5f71b2`](https://github.com/Va1/string-replace-loader/commit/f5f71b29982fa3cb48161ae129c31aa75024a3da) <code>Merge pull request #22 from donaldpipowitch/patch-1</code>
- [`66fb7c5`](https://github.com/Va1/string-replace-loader/commit/66fb7c50064242eea790edc2915cc87da8b9232f) <code>fixed #20</code>
- [`c295a27`](https://github.com/Va1/string-replace-loader/commit/c295a27f5240ea3b7ca9b8ec5c449a42db02b798) <code>fixed #20</code>

See the [full diff](https://github.com/Va1/string-replace-loader/compare/84a8e0ac1fde4b316f005a1668995431fd5abc70...86f0fbdea2a9dcb1cfc981043d630de90feebf4c).

---
| ✨ Try the all new [Greenkeeper GitHub Integration](https://git.io/uptodate) ✨ |
| --- |
| With [Integrations](https://developer.github.com/early-access/integrations/) **first-class bot support** landed on GitHub and we’ve rewritten Greenkeeper to take full advantage of it. **Simpler setup, fewer pull-requests, faster than ever**.<br><br> <details><summary>Screencast</summary><img src=""https://cloud.githubusercontent.com/assets/908178/19868156/20c1c0c4-9fa7-11e6-9f17-611c51677dbd.gif"" /></details><br> [**Try it today**](https://git.io/uptodate). Free for private repositories during beta. |",greenkeeperio-bot,
1642,2017-03-25 12:26:34,"Is AoT the default build or JIT?
I see no difference in the build commands.

How to enable one or the other?",albandaft,2017-03-27 15:08:49
1642,2017-03-27 12:43:44,"The default (using`npm build`) is a dev build, which is JIT.  For AoT, use `npm run build:aot`

From [README.MD](https://github.com/AngularClass/angular2-webpack-starter#build-files):

# development
npm run build:dev
# production (jit)
npm run build:prod
# AoT
npm run build:aot",Torqode,2017-03-27 15:08:49
1642,2017-03-27 12:46:39,"@Torqode please have a look at the package.json
<S_CODE_TOKEN>

As you can see the `build:aot` is just running `build:aot:prod` which at the end just runs ` webpack --config config/webpack.prod.js  --progress --profile --bail` which is the same as `build:prod`.",albandaft,2017-03-27 15:08:49
1642,2017-03-27 13:04:00,"Yes, in that regard they are the same.  The difference is that the :aot flag is parsed out in [webpack.common.js](https://github.com/AngularClass/angular2-webpack-starter/blob/master/config/webpack.common.js#L28) to determine if AoT should be performed or not.",Torqode,2017-03-27 15:08:49
1642,2017-03-27 13:06:32,Nice spot. What about the tsconfig.json?,albandaft,2017-03-27 15:08:49
1642,2017-03-27 13:36:41,It will always use `tsconfig.webpack.json`.  I'm guessing the repo includes a normal tsconfig so that IDEs like Visual Studio can compile the Typescript without affecting the Webpack build process.,Torqode,2017-03-27 15:08:49
1642,2017-03-27 15:08:49,Closing as the AOT identification is actually in the parameters detection,albandaft,2017-03-27 15:08:49
