issue_num,datetime,body,login,mention_login
1642,2017-03-27 12:46:39,"@Torqode please have a look at the package.json


As you can see the `build:aot` is just running `build:aot:prod` which at the end just runs ` webpack --config config/webpack.prod.js  --progress --profile --bail` which is the same as `build:prod`.",albandaft,Torqode
1632,2017-03-21 13:17:03,"@vincent-cm it is correct. The code is reported as broken by WebStorm because you have ECMAScript 5.1 (or another version) as your target version in Settings.

Go to `Settings -> Languages & Frameworks -> JavaScript`
Select `JavaScript language version` as `ECMAScript 6`

Re-open WebStorm, observe that errors gone.

Please close the issue, once you got it to work",tytskyi,vincent-cm
1628,2017-03-23 20:28:31,Thanks @SebHeuze for your suggestion.  This helps me demonstrate to some colleagues learning ng2.  ,therealcodesailor,SebHeuze
1621,2017-03-20 00:39:30,"I've solved it by copy&paste every component, into the new angular2-webpack... costs me about 8 hours. i just hope, that this version of angular2-webpack is stable for all the time :D 

But i got some more projects on old version. so i still hope for me and you (@secretgspot) that anyone can tell us a solution, to fix it with our older versions.

(sry for my very bad english)",BamiGorengo,secretgspot
1593,2017-03-16 18:37:13,@Debanjan123 - Can you try changing   devtool: 'source-map' to 'eval' in your dev environment and try debugging?,gaurav2887,Debanjan123
1593,2017-03-16 18:52:43,"@gaurav2887 the original config is with `cheap-module-source-map`: [webpack.dev.js#L49](https://github.com/AngularClass/angular2-webpack-starter/blob/master/config/webpack.dev.js#L49)

so, don't change it to `eval` your build and rebuild time will skyrocket!
make it `eval-source-map` or simply `source-map` (didn't yet find a difference between the two...)",gizm0bill,gaurav2887
1593,2017-03-17 05:16:24,"@gaurav2887 @gizm0bill
 thank you for your help .Now it is working fine.",Debanjan123,gaurav2887
1593,2017-03-17 05:16:24,"@gaurav2887 @gizm0bill
 thank you for your help .Now it is working fine.",Debanjan123,gizm0bill
1593,2017-03-20 12:39:38,"@Debanjan123 , how did you solve it? Source map is almost broken on my chrome, i'm not able to step through breakpoints.",xaclincoln,Debanjan123
1580,2017-03-03 13:26:45,"@sparrowonfire I just went through the same. I ran:

`npm install --save postcss-loader`

Which resolved that issue. I ran into a further issue which required I remove the `raw-loader` for css files.",simonmcl,sparrowonfire
1573,2017-02-28 10:50:17,"@kemalcany it appears to be fixed: https://github.com/angular/angular/issues/14738, probably in the next update or so, will use that as a temporary solution, thanks!",Shiroh1ge,kemalcany
1571,2017-02-28 22:58:19,"fixed as suggested by @AymenSlimi 

Thanks Bro",FredBesterwitch,AymenSlimi
1571,2017-03-01 09:26:20,Thanks @AymenSlimi ! :),waylander47,AymenSlimi
