issue_num,datetime,body,login,mention_login
1541,2017-02-22 10:13:59,"@shlomiassaf Thanks, that's a good point to start with.",daominhsangvn,shlomiassaf
1541,2017-02-23 02:03:03,"ok Thanks @shlomiassaf for the point. I resolved this issue by exclude the angular2-perfect-scrollbar from ExtractTextPlugin and use css-loader combine with to-string-loader for angular2-perfect-scrollbar.

I'm not sure why the ExtractTextPlugin cannot find the css file of angular2-perfect-scrollbar but this is just work around.

Anyway, problem solved. Closed!",daominhsangvn,shlomiassaf
1536,2017-02-16 22:23:51,"Thanks @shlomiassaf 
I just found this out today in a post on StackOverflow:

> Note: As of Angular CLI 1.0.0-beta.28 (released February 1st, 2017), --aot is on by default if --prod is specified.

Using `npm run build:aot:prod`, and stripping out some stuff from this starter project to make it comparable to a normal clean angular project, actually produced a smaller vendor file: 312KB with this vs 352KB",antriver,shlomiassaf
1531,2017-02-16 21:17:13,@skriems is right.,shlomiassaf,skriems
1520,2017-02-13 16:48:42,@shlomiassaf Thank you so what you are saying is that on a large application main will be larger ? This could be my problem then since the app is rather large,pavillet,shlomiassaf
1490,2017-02-08 06:12:11,@colinskow run typescript compiler without webpack and you'll get it.,pleerock,colinskow
1490,2017-02-08 08:26:05,"@shlomiassaf , no, it is configured. I'm talking about using typescript compiler without anything else (webpack, ngc, etc.). There are nothing in tsconfig that indicates to skip `main.browser.aot.ts` file (solution may be to exclude `main.browser.aot.ts` from default tsc compilation). Checkout this repo from scratch, don't use webpack or ngc, just use tsc and you'll see typescript compiler error.",pleerock,shlomiassaf
1483,2017-02-08 00:33:54,"@shlomiassaf wow, thank you for this simple solution! I'll give it a shot and report back with my results.

I hacked at this for a few hours the other day but was unable to figure out the problem.",DBosley,shlomiassaf
1468,2017-02-09 13:56:10,"@JoniJnm I made a PR about this. I took your idea about separate the options for the Webpack. Also, the configuration it's being setting with the `env` variable. (I try the NPM script config, but Webpack does not get along with this, see: webpack/webpack#4221). 

Still a WIP, but if you can try it and test it, would be nice. Also, if you think the workflow can be improve, please, say so. (Really, help...)",michaeljota,JoniJnm
1459,2017-02-06 12:27:55,"@shlomiassaf 
Thanks for your fast answer and your good job.
Problem was with NgcWebpackPlugin in default webpack.common.js:

After removing 'resourceOverride' dynamic creating work good with AOT compiling even with JitCompilerFactory.

As we understood this option do not remove from components source of HTML templates and JIT compiler can read and compile these templates.

So repeat. How is actually it works:
1. If components was compiled by AOT.
2. Some dynamic component wants to use one or more AOT components.
3. Shall JIT compiler recompile all component (templates, styles) used by dynamic component?
It means that we shall save all source html and styles after AOT compilation for JIT compiler.
Also we shall include JIT compiler to our project.
As result we will have: additional size of JIT compiler + all sources of components. 

Thanks a lot.",KhanaevRoman,shlomiassaf
