issue_num,datetime,body,login,close_date
177,2017-03-24 09:32:01,,CodeLife2012,
176,2017-03-09 19:11:24,"Adds a check for `respondsToSelector:@selector(compare:)` to prevent a crash if the property corresponding to a column represents something that doesn't respond to `compare:`, e.g. a RLMAccessor. See #175. ",NSIRLConnection,
175,2017-03-09 19:04:40,"Tapping on a header in FLEXTableContentViewController to sort causes a crash if the property represents a type which does not implement 

`- (NSComparisonResult)compare:(Type)type`

such as a property that represents a RLMAccessor. It throws an exception with the following format:

`-[RLMAccessor_<SOME_NUMBER>_<REALM_OBJECT_CLASS_NAME> compare:]: unrecognized selector sent to instance`",NSIRLConnection,
174,2017-02-27 10:39:33,"Is it possible to check which class and methods are swizzled in runtime?
",avnerbarr,
173,2017-02-25 08:38:08,"FLEX purges older items from the network debugging cache even when the cache is nowhere near full. I would assign this to myself if I could. I would like it to cache them to a temporary file or something, it's super annoying when recent requests are purged for seemingly no reason...",NSExceptional,
172,2017-02-17 07:08:41,"How do I know how many memory application use?
Flex can not accurately know the memory size",yaochenfeng,2017-02-21 05:31:44
172,2017-02-21 05:31:44,I suggest using Instruments to investigate memory usage. Apple has some tips here: https://developer.apple.com/library/content/documentation/DeveloperTools/Conceptual/InstrumentsUserGuide/MonitoringMemoryUsage.html,ryanolsonk,2017-02-21 05:31:44
171,2017-02-06 06:07:05,Network Debugging enable but I can not see anything on network history except fabric / crashlytics requests.The requests sends from the other framework in the workspace where the application is bound.,barankaansert,
171,2017-02-21 05:35:18,"Any chance you can provide a sample project with a repro of this? If not, could you provide details about your project like language, version, etc.?",ryanolsonk,
170,2017-01-31 13:44:21,"In our POST requests, we gzip the request body which unfortunately the FLEX network logger can't display.

It's trivial to add support for displaying gzipped data (~3 lines of code) using a pod like 'GZIP', but I'm not sure what the policy is on adding 3rd-party dependencies.

If it's OK to add a dependency to the pod spec, I'm happy to create a pull request with this change, but thought I'd check first.",nicked,2017-02-05 12:00:03
170,2017-02-05 00:06:32,"We actually already support this if the response headers are set correctly:

https://github.com/Flipboard/FLEX/blob/22e7edb698a74d2b9a083eb942f1f4384a9a7c94/Classes/Network/FLEXNetworkTransactionDetailTableViewController.m#L457-L460",ryanolsonk,2017-02-05 12:00:03
170,2017-02-05 00:07:49,Ah -- reading again I see you're talking about the request body. Want to bring that support over to displaying the request body? Should be pretty easy since it's already separated into a utility method.,ryanolsonk,2017-02-05 12:00:03
170,2017-02-05 11:37:29,Ah that's easy then. I assumed NSURL* automatically decoded zipped responses so FLEX didn't need to support it at all. I'll see if I can use that for the request bodies too.,nicked,2017-02-05 12:00:03
170,2017-02-05 12:00:03,"Actually it seems that we aren't setting the headers in the way that FLEX is expecting... if I set ""Content-Encoding"": ""gzip"" then it works OK. Which actually happens right in that snippet you posted. Thanks anyway :)",nicked,2017-02-05 12:00:03
169,2017-01-30 02:51:29,Reorganizes some code in `-[FLEXRuntimeUtility performSelector:onObject:withArguments:error]` and fixes a crash. See #168.,NSExceptional,
169,2017-02-05 00:12:42,It's tricky to read what the functional change is in 58404e2 since it's mixed in with style/formatting changes. I'd like to see that separated out to properly evaluate the change. I'd also suggest rebasing the branch onto the latest master to eliminate the merge commits.,ryanolsonk,
169,2017-02-05 00:17:42,"> (me:) can I squash those somehow?

Rebasing is what I was looking for, I'll do that. Will that require a new pull request? I'm not super familiar with how that works

> I'd like to see that separated out to properly evaluate the change

As in just separate commits?",NSExceptional,
169,2017-02-05 00:20:02,"Actually would be awesome if you want to make the changes as separate PRs so they can be evaluated/merged separately.

You should be able to force push to the branch after rebasing to update the existing PR. Alternatively you could open a new one if that's easier.

Thanks!",ryanolsonk,
169,2017-02-19 00:52:51,"Alrighty, that should do it for the original bug-fix.

As for the stylistic changes, how do I get those in a separate PR? Haven't committed them yet because they'll show up here, won't they?",NSExceptional,
169,2017-02-21 05:28:19,I'm hesitant to expand the scope of the try/catch blocks since it may be hiding a bug that could be fixed directly. Do you have a project with a consistent repro for the crash? I'd like to understand this one better.,ryanolsonk,
169,2017-02-22 01:45:35,"I do not. It was crashing in a third party app when scrolling through the properties.

The only thing I can think of is that `NSGetSizeAndAlignment` is clobbering `bufferSize` before throwing an exception, which results in the code below the `@catch` being executed no matter what.

AFAIK, it's actually bad practice to write code like this:

<S_CODE_TOKEN>

It should instead be structured like this, because it's easier to read and you can be certain `foo()` will only execute if no exception was thrown:

<S_CODE_TOKEN>

",NSExceptional,
169,2017-03-20 19:34:23,Bump,NSExceptional,
