issue_num,datetime,body,login,close_date
823,2017-03-27 18:54:53,"### What did you do?
I want to run swiftyjson from terminal using Marathon

to use alamofire I can simply type 
marathon add https://github.com/Alamofire/Alamofire.git
<img width=""721"" alt=""screen shot 2017-03-27 at 2 47 05 pm"" src=""https://cloud.githubusercontent.com/assets/289994/24372820/3b95bbc0-12fd-11e7-8820-d2ad06a47b4a.png"">

marathon add https://github.com/SwiftyJSON/SwiftyJSON.git  - 

Marathon is looking for swift build packages - 


Please replace this with what you did.
### What did you expect to happen?
this project should provide a native swift build package.



",johndpope,
823,2017-03-27 18:55:52,https://github.com/apple/swift-package-manager,johndpope,
822,2017-03-20 06:56:12,"is there any effort for creating a JSON object from NSObject subclass that contains the allowed properties (like: String, Number, etc ...)",murad1981,
821,2017-03-15 11:44:59,"### What did you do?

<S_CODE_TOKEN>
### What did you expect to happen?

Printing out the key and value of the json object.

### What actually happened instead?

no printing at all of key or value

### Environment

List the software versions you're using:

 - SwiftyJSON: *latest version just did pods update*
 

Please also mention which package manager you used and its version. Delete the
other package managers in this list:

 - Cocoapods: *1.2.0* (Use `pod --version` in Terminal)


### Project that demonstrates the issue

",bostonmacosx,2017-03-15 15:16:07
821,2017-03-15 15:16:07,"@bostonmacosx You should use 

    var tempJSON: JSON = JSON(parseJSON: test1)

to construct a JSON object if you are parsing from string literal.",wongzigii,2017-03-15 15:16:07
820,2017-03-13 23:14:08,"Hey guys, just wondering if there any reason why you guys don't pull from IBM's work on SwiftyJSON which seems to going well https://github.com/SwiftyJSON/SwiftyJSON/compare/master...IBM-Swift:master",maximveksler,
819,2017-03-10 09:43:28,"In your current Version the boolValue property returns false for String ""1"", which ist the most common string for bool. Why don't just use native boolValue of NSString? Or At least you should add ""1"" to your list. Here is my fix:

`
//Non-optional bool
    public var boolValue: Bool {
        get {
            switch self.type {
            case .bool:
                return self.rawBool
            case .number:
                return self.rawNumber.boolValue
            case .string:
                return (self.stringValue as? NSString)?.boolValue ?? false                
            default:
                return false
            }
        }
        set {
            self.object = newValue
        }
    }
`",zidanex,
818,2017-03-07 15:54:59,"Hello guys,

Want to take rid of Realm, and use SwiftyJSON and I'm trying to figure out how many Mb will increase my app when I submit my app on AppStore.

I hope you understand my question.
Thanks.",unittesting0,2017-03-08 02:15:17
818,2017-03-08 02:15:17,"Hey @unittesting0 ,  you will likely want to perform an ad-hoc export to see the size of each thinned variant of your app anyway. Does not test it but it may works.",wongzigii,2017-03-08 02:15:17
817,2017-03-03 01:45:49,"The PR should summarize what was changed and why. Here are some questions to
help you if you're not sure:

 - What behavior was changed?
 - What code was refactored / updated to support this change?
 - What issues are related to this PR? Or why was this change introduced?

Checklist - While not every PR needs it, new features should consider this list:

 - [ ] Does this have tests?
 - [ ] Does this have documentation?
 - [ ] Does this break the public API (Requires major version bump)?
 - [ ] Is this a new feature (Requires minor version bump)?",LiuSky,2017-03-03 01:47:09
