issue_num,datetime,body,login,mention_login
821,2017-03-15 15:16:07,"@bostonmacosx You should use 

    var tempJSON: JSON = JSON(parseJSON: test1)

to construct a JSON object if you are parsing from string literal.",wongzigii,bostonmacosx
818,2017-03-08 02:15:17,"Hey @unittesting0 ,  you will likely want to perform an ad-hoc export to see the size of each thinned variant of your app anyway. Does not test it but it may works.",wongzigii,unittesting0
815,2017-02-28 09:10:10,@quanguyen You're right. Mergeability is a new feature included in SwiftyJSON 3.1.4. I should bump the minor version number to follow [Semantic Versioning](http://semver.org/). Sorry about this. 😢 ,wongzigii,quanguyen
814,2017-03-15 15:20:26,LGTM Thanks so much!  @neoneye ,wongzigii,neoneye
812,2017-02-25 03:39:12,"Hey @dirk68-fu Did you try adding a module name before extension, for instance:

`
Is this solve your problem?",wongzigii,dirk68-fu
812,2017-02-27 06:43:33,"Hi,

unfortunately that does not work and results in the following error: ""Use of undeclared type 'SwiftJSON'



Sincerely,

Dirk

> Am 25.02.2017 um 04:39 schrieb Zigii Wong <notifications@github.com>:
> 
> Hey @dirk68-fu Did you try adding a module name before extension, for instance:
> 
> extension SwiftyJSON
> .NSNumber {
>     
> var isBool:...
> 
> }
> 
> Is this solve your problem?
> 
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub, or mute the thread.
> 

",dirk68-fu,dirk68-fu
807,2017-02-23 14:04:18,Thanks! @jobinsjohn ,wongzigii,jobinsjohn
806,2017-03-15 15:22:18,"Hey @gsabran Seems like the format is broken, would you mind fixing it? Or I will do it by myself.",wongzigii,gsabran
802,2017-02-25 03:57:31,"Hey @interchen 
In your first example, `\uD83C***` is not a valid character. If you remove the duplicate `*`, JSON will be parsed successfully. Unfortunately, SwiftyJSON *does not*  provide a way to verify your character if is valid at this time. Let me know if there is any issue. :)",wongzigii,interchen
801,2017-02-20 15:25:32,"Hey @gsabran Thanks for this PR, anyway #793 has been merged. I am going to close this now. Let me know If you have any issue. :) 

Cheers!",wongzigii,gsabran
800,2017-02-16 13:30:00,"Hey @MikotoZero Thanks for your PR, I will review this If I have some spare time at this weekend. :)",wongzigii,MikotoZero
797,2017-02-13 13:40:38,"Hi @calvinorchiz From what you have given, `elements` is an array which wrapping with a `[]` . :)",wongzigii,calvinorchiz
796,2017-02-15 15:05:13,Thanks for your contribution. @Humoud ,wongzigii,Humoud
793,2017-02-20 11:25:35,Merged. Thanks 💯  @MikotoZero ,wongzigii,MikotoZero
788,2017-02-03 13:58:19,@crickabhi Looks like you have a duplicate SwiftyJSON module ? Could you please open a new issue ?,wongzigii,crickabhi
788,2017-02-03 14:00:30,@AleksandarPetrov @haiderashfaq I would love to take a look at this if you guys can share a sample project to reproduce this. :),wongzigii,AleksandarPetrov
788,2017-02-03 14:00:30,@AleksandarPetrov @haiderashfaq I would love to take a look at this if you guys can share a sample project to reproduce this. :),wongzigii,haiderashfaq
788,2017-02-04 07:44:14,"@wongzigii I created a new project and added SwiftyJSON and socket.io to it and made sure that there is no duplicate SwiftyJSON module and still my project does not compile.
Therefore i have added the project. Please have a look at it and propose a desired solution.
Thanks.
[SocketWithSwiftyJSON.zip](https://github.com/SwiftyJSON/SwiftyJSON/files/752087/SocketWithSwiftyJSON.zip)
",crickabhi,wongzigii
787,2017-02-02 03:08:51,"Hi @cikpis I just uploaded a latest archive which still tagged `3.1.4`, there should not be an issue now. Thanks for filling an issue. Cheers!",wongzigii,cikpis
782,2017-02-17 15:12:32,Hey @djdance Sorry for the late response. Could you provide a specific sample to reproduce it?,wongzigii,djdance
780,2017-01-14 05:49:14,"@juicyfru1t Not sure what's wrong with you code right now? If you could provide a sample project which could demonstrate this leak, it will be able to quickly iterate on the solution if so.",wongzigii,juicyfru1t
779,2017-01-12 11:35:18,Thanks! @craiggrummitt ,wongzigii,craiggrummitt
778,2017-01-11 07:51:19,"@Gujci You can try the following command to build the source files on your local machine.
`carthage update --no-use-binaries SwiftyJSON`",tasanobu,Gujci
778,2017-01-11 09:34:29,"@tasanobu please read the issue, ""I know that there is a workaround"" means that I know that there is a workaround. 
The issue is not about that, it's about downloading the correct binary, not compiling it locally.
Also `github ""SwiftyJSON/SwiftyJSON"" ""master""` is a workaround, which ""forces"" carthage to compile it locally, but that is not the answer to this question.",Gujci,tasanobu
778,2017-01-23 16:23:34,"@Gujci I also ran into this, so I forked the repo and uploaded a pre-built framework built with Swift `3.0.2`.

You can point your `Cartfile` here in the meantime until they (hopefully) build the next release with the latest Swift: https://github.com/solidcell/SwiftyJSON/releases

I think this is a better solution than having to run:

.. just because of `SwiftyJSON`.",solidcell,Gujci
777,2017-02-05 16:04:36,Hey @justinmakaila Sorry for the late reply. Is https://github.com/SwiftyJSON/SwiftyJSON/issues/475 what you are looking for?,wongzigii,justinmakaila
777,2017-02-09 19:28:01,"@wongzigii, no, it's not. In the example above, the part I'm referring to is in the `init(json: JSON)` method. I'm trying to mutate the `json` to exclude the ""error"" or ""errors"" key. I don't want to transform it to a dictionary, nil out the values, then initialize a new JSON.",justinmakaila,wongzigii
775,2017-01-03 10:20:41,"Awesome, thank you. @skyline75489 💥 ",wongzigii,skyline75489
774,2017-01-02 06:33:49,"Hey @robertmryan Totally agree! We are considering to drop NSErrorPointer for next major release. FYI #749. I am happy to merge this into master at that time, though. Thank you for your works. 👍 ",wongzigii,robertmryan
773,2017-02-22 15:18:16,"Hey @alychyana. Sorry for the late response. From the code you given, I assume you are trying to set the `[:]` （which is a dictionary）

`

However, if you wanna set the array indeed, you would need to create a fixed size array.

`
",wongzigii,alychyana
768,2017-01-02 08:47:27,Hey @tarang9211 Just take a look at the issues list and pick the one you're interested. :),wongzigii,tarang9211
766,2016-12-25 15:16:32,Thank you! @kscheff 🎅 🎉 ,wongzigii,kscheff
764,2016-12-22 04:23:36,Thanks! @lbrndnr ,wongzigii,lbrndnr
763,2016-12-27 03:07:30,Hello @OuSS-90  Sorry for the late response. Can you take a look at #215 ?,wongzigii,OuSS-90
