issue_num,datetime,body,login,mention_login
807,2017-02-23 14:04:18,Thanks! @jobinsjohn ,wongzigii,jobinsjohn
806,2017-03-15 15:22:18,"Hey @gsabran Seems like the format is broken, would you mind fixing it? Or I will do it by myself.",wongzigii,gsabran
801,2017-02-20 15:25:32,"Hey @gsabran Thanks for this PR, anyway #793 has been merged. I am going to close this now. Let me know If you have any issue. :) 

Cheers!",wongzigii,gsabran
800,2017-02-16 13:30:00,"Hey @MikotoZero Thanks for your PR, I will review this If I have some spare time at this weekend. :)",wongzigii,MikotoZero
796,2017-02-15 15:05:13,Thanks for your contribution. @Humoud ,wongzigii,Humoud
793,2017-02-20 11:25:35,Merged. Thanks 💯  @MikotoZero ,wongzigii,MikotoZero
788,2017-02-04 07:44:14,"@wongzigii I created a new project and added SwiftyJSON and socket.io to it and made sure that there is no duplicate SwiftyJSON module and still my project does not compile.
Therefore i have added the project. Please have a look at it and propose a desired solution.
Thanks.
[SocketWithSwiftyJSON.zip](https://github.com/SwiftyJSON/SwiftyJSON/files/752087/SocketWithSwiftyJSON.zip)
",crickabhi,wongzigii
779,2017-01-12 11:35:18,Thanks! @craiggrummitt ,wongzigii,craiggrummitt
777,2017-02-05 16:04:36,Hey @justinmakaila Sorry for the late reply. Is https://github.com/SwiftyJSON/SwiftyJSON/issues/475 what you are looking for?,wongzigii,justinmakaila
777,2017-02-09 19:28:01,"@wongzigii, no, it's not. In the example above, the part I'm referring to is in the `init(json: JSON)` method. I'm trying to mutate the `json` to exclude the ""error"" or ""errors"" key. I don't want to transform it to a dictionary, nil out the values, then initialize a new JSON.",justinmakaila,wongzigii
775,2017-01-03 10:20:41,"Awesome, thank you. @skyline75489 💥 ",wongzigii,skyline75489
766,2016-12-25 15:16:32,Thank you! @kscheff 🎅 🎉 ,wongzigii,kscheff
764,2016-12-22 04:23:36,Thanks! @lbrndnr ,wongzigii,lbrndnr
759,2017-02-21 04:20:50,Thanks @JeffGuKang ,wongzigii,JeffGuKang
755,2016-12-11 11:46:57,Thanks! @takasek ,wongzigii,takasek
752,2016-12-11 06:23:12,Cool! Thanks! @looseyi ,wongzigii,looseyi
748,2016-12-17 06:18:52,"Hello All ,  I got the same error trying to build on ubuntu 16.04 on Raspberry Pi 3 Swift 3 & Package Manger 3. @wongzigii thanks for taking the time to investigate the problem  and looking forward for the fix :)",ta3ban4,wongzigii
743,2017-02-17 02:03:09,"Hi @wongzigii , I've fixed the indentation issues.  I didn't notice that line 174 was indented by tabs originally :)",flybrotherlixiang,wongzigii
743,2017-03-20 14:32:57,@wongzigii ,flybrotherlixiang,wongzigii
739,2016-12-01 05:25:37,@JeffGuKang Neat! Would you mind discarding your changes in `contents.xcplayground` and `contents.xcworkspacedata`? Thank you!,ldiqual,JeffGuKang
739,2016-12-01 05:35:35,@ldiqual I updated following your suggestions. :),JeffGuKang,ldiqual
739,2016-12-01 05:37:50,@JeffGuKang Still shows up in the diff: https://github.com/SwiftyJSON/SwiftyJSON/pull/739/files#diff-baa084bbb5cafa8d9e3a530988a38ca4,ldiqual,JeffGuKang
739,2016-12-01 06:11:15,"@ldiqual  I think github recommend including new line at the end of file. What is better? 
I do not mind to discard the file :).",JeffGuKang,ldiqual
739,2016-12-01 06:30:03,"@JeffGuKang We should probably fix this as part of a PR that is more related to it, like the Xcode 8.2 upgrade or something like that. It's more about keeping the history clean and avoiding conflicts, I don't mind too much about the change itself but it can be misleading for git blaming.",ldiqual,JeffGuKang
739,2016-12-01 07:09:19,@ldiqual You are right. I rewinded to some previous commit having newline warning. ,JeffGuKang,ldiqual
734,2016-11-24 17:44:01,"@wongzigii From the comments in the thread you posted, I guess it doesn't work with Xcode 8.0
But as 8.1 is the latest, it makes sense to have the master branch work with the latest Xcode. We can simply have a specific tag that is the last version working on Xcode 8.0. (same logic as making it work for Xcode 7).",gmoledina,wongzigii
732,2016-12-02 09:03:25,"@ldiqual Thanks for reply, In my opinion, the `bool` return a strict value and the `boolValue` gives a conversion, so we can get a `""5""` from a int `5` by stringValue. by this way, it's great to add this ability.",strangeliu,ldiqual
731,2016-12-03 22:55:15,@wongzigii Great suggestion. Updated the CHANGELOG.,ldiqual,wongzigii
731,2016-12-20 13:55:35,@ldiqual I want to get this into mater. Could you resolve the conflict?  Seems the conflict is related to #664,wongzigii,ldiqual
729,2016-11-23 07:21:36,"@wongzigii Restarted the build and tests passed correctly. Can you review this PR as well, I'll take which ever 👍 comes first :P",ldiqual,wongzigii
728,2016-11-22 03:34:49,@cwkatzmann Thanks a lot for your contribution! Merging,ldiqual,cwkatzmann
725,2016-12-03 22:51:10,"@danielkiedrowski Awesome!  Thank you so much for contributing to SwiftyJSON, this is a great feature. Merging now.",ldiqual,danielkiedrowski
725,2016-12-07 08:52:10,Thank you @ldiqual! It was great working with you.,danielkiedrowski,ldiqual
717,2016-11-16 16:30:00,"@zhigang1992 

Thanks!

Good point. I've made the appropriate changes.
",SumoSimo,zhigang1992
716,2016-11-22 04:21:36,"@papertigers @wongzigii Is there anything we can do at the SwiftyJSON level to fix this issue? Or is it using `--no-use-binaries` an appropriate workaround, which would make this issue resolved?",ldiqual,wongzigii
716,2016-11-22 19:49:44,@wongzigii Thanks for elaborating on this! It seems that it's a Carthage issue and not related to SwiftyJSON so I'm gonna go ahead and close this. Let me know if you need to reopen. Thanks!,ldiqual,wongzigii
716,2017-01-05 12:00:28,"@wongzigii I know the code itself is compatible with Swift 3.0.2, but I'm fairly certain that the uploaded binary for the 3.1.4 release was compiled with Swift 3.0.  This means that you need to use `--no-use-binaries` with Carthage.  Or, in my case, I forked the repo and uploaded a binary built with Swift 3.0.2 so that I could use Carthage without turning off prebuilt binaries.",solidcell,wongzigii
709,2016-11-08 15:28:11,"@wongzigii sure thing, just pushed `3.1.2` can you test it out and see if it works?
",zhigang1992,wongzigii
709,2016-11-08 15:37:12,"@zhigang1992  Confirmed


",wongzigii,zhigang1992
708,2016-11-22 03:52:56,@wongzigii Can you clarify what's left on this PR? Do you need an extra hand maybe?,ldiqual,wongzigii
708,2016-11-22 04:13:26,"@ldiqual SPM currently doesn't provide a way to include resources e.g. `.json` file to be tested.

Relate: 

https://lists.swift.org/pipermail/swift-users/Week-of-Mon-20161114/003987.html
https://lists.swift.org/pipermail/swift-users/Week-of-Mon-20161107/003912.html",wongzigii,ldiqual
708,2016-11-22 04:17:34,"@wongzigii Given that it will remain unfixed for a while, maybe we should go ahead and put the json file in a [gist](https://gist.github.com/) that we'd download during the test? In theory it shouldn't be too hard to implement, it'd just make one test case a tad slow. What do you think?",ldiqual,wongzigii
693,2016-11-07 14:16:40,"Hey @patricks 

You are parsing a long JSON file . This will cause a gargantuan memory consumption. I would recommend you 
1. write your data into file then read file with `Data(contentsOf:options:)`  method with `Data.ReadingOptions.uncached` and `Data.ReadingOptions.alwaysMapped` flag
2. separate parsing job into several parts
(Or use something likes  [YAJL SAX style JSON parser](https://github.com/gabriel/yajl-objc) )
",wongzigii,patricks
689,2016-11-22 04:27:09,"@JsonWong87 I believe your issue was addressed by @wongzigii so I'm gonna go ahead and close this. If you have a use case where you think `JSON` should be subclassed, please feel free to file an enhancement issue so we can evaluate whether to add it to the library directly. Another solution for you would be to use extensions. Let me know if you need to reopen!",ldiqual,wongzigii
