issue_num,datetime,body,login,close_date
604,2017-03-27 08:50:40,"When searching via query, e.g. `http://devdocs.io/#q=lodash+templ`, the devdocs finds the correct API, refreshes window when it redirects (dunno why), and loads the API in the left menu, but __does not render__ the body:

![image](https://cloud.githubusercontent.com/assets/5153846/24348042/a6f84996-12da-11e7-994e-6e8ef9ba8c1f.png)

I need to do additional refresh for it to work.

Stopped working since ~week ago (not sure).

Reproduced in chrome & FF stable.",dwelle,
603,2017-03-27 08:20:52,Could you please make the devdocs menu (next to the search bar) open only when clicked? I find it keeps popping open when all I want to do is hover over the search and it's just distracting...,mika76,
602,2017-03-25 17:56:08,"As discussed in the issue #593, here comes the pull request regarding the OpenJDK documentation. This work is base on the previous #560, thanks @japborst.

The documentation is sourced from [openjdk-8-doc_8u121-b13-4_all.deb](https://packages.debian.org/sid/openjdk-8-doc). Only the subdirectoy `usr/share/doc/openjdk-8-jre-headless/api` was extracted.

I've tried to include all packages and it's working fine for me, I don't experience any slow down. They are 217 types and 46 084 entries in 4 733 files occupying 153 MB. I think many other packages than the ones proposed in #560 are useful, like `javax.xml`. What do you think @Thibaut?

The highlighting issue is solved. Unfortunately Prism remove all `<a>` links inside `<pre>` tags but I haven't looked much into it. I don't think it's a big problem thought.

The Java documentation contains a lot of duplicated information, typically a summary of all methods and further down detail explanations for these methods. I tried to remove all these duplicates so the resulting documentation is lighter and easier to read.

I have reused the logos from the request #560, but I think they might be copyrighted and I'm not sure they can be used in Devdocs. I don't see this logo on the [OpenJDK](http://openjdk.java.net/) and [IcedTea](http://icedtea.classpath.org/wiki/Main_Page) websites. And the logo used in the [Java Wikipedia article](https://en.wikipedia.org/wiki/Java_(programming_language)) seems to be subject to fair use.",freayd,
602,2017-03-26 07:45:55,Very nice! I like it :-),japborst,
602,2017-03-26 22:05:11,"Thanks for an outstanding PR @freayd (and @japborst for the original PR).

> I've tried to include all packages and it's working fine for me, I don't experience any slow down. They are 217 types and 46 084 entries in 4 733 files occupying 153 MB.

I'm not too worried about the speed of the search. Even with 100k entries it seems to be holding up pretty well (I did a lot of optimization a while back).

However, I'm worried about search results becoming noisy / less useful due to the 46k entries, and increasing the chance that users will hit the IndexedDB quota and lose their offline data (until browsers implement the [Storage Standard](https://storage.spec.whatwg.org/), all website data is unfortunately non-persistent and subject to deletion when e.g. the device is low on disk space).

Since I expect this doc will be used by a large number of users, we should optimize/polish it as much as we can. A good number to shoot for would be ~20k entries (IIRC the biggest doc we have today is Drupal 8, with 12k entries).

Is AWT still actively used? Packages like `java.rmi` and `javax.management` can probably be left out / not useful to most people. Packages like `javax.xml` and `javax.swing` could be extracted in separate doc versions (see docs like Haxe and Tensorflow), but let's first try to get the number down as much as we can.

> I have reused the logos from the request #560, but I think they might be copyrighted and I'm not sure they can be used in Devdocs. I don't see this logo on the OpenJDK and IcedTea websites. And the logo used in the Java Wikipedia article seems to be subject to fair use.

I don't think we should use the Java logo, since we're adding OpenJDK. Please remove the logo and I'll figure something out. Also, please rename the doc/scraper ""OpenJDK"".",Thibaut,
602,2017-03-27 08:34:51,"@Thibaut maybe should we split java packages into differents documentation, so Java AWT could be apart from ""Java Core"" (and some additionnal splits that we should think all together).

What do you think about it ?
",Kaijiro,
601,2017-03-24 09:09:57,"Currently the scrollbars are thin and look nice, but when searching something on the page in Chrome, the found items are not shown in the scrollbar like in native Chrome.",mika76,
600,2017-03-22 09:32:17,"Small bug:
When searching, appending a dash ""-"" doesn't show results. Example:
In the git documentation there is a function `git filter-branch`. Searching for `filter` or `filter-b` shows the function, but `filter-` shows nothing.",japborst,2017-03-26 23:25:04
600,2017-03-22 14:17:04,"Adding this for information

This looks like the relevant line
https://github.com/Thibaut/devdocs/blob/master/assets/javascripts/app/searcher.coffee#L132 

The dash/hyphen is replaced with a dot "".""

You can confirm this by searching for <S_CODE_TOKEN> , which shows a match for <S_CODE_TOKEN>

![image](https://cloud.githubusercontent.com/assets/1775342/24202160/abca6a12-0ee8-11e7-93da-c878ef46cc15.png)
",codymaust,2017-03-26 23:25:04
600,2017-03-23 12:20:12,Yeah searching with a dot works beautifully. Is there any reason the dashes should be replaced by dots?,japborst,2017-03-26 23:25:04
