issue_num,datetime,body,login,mention_login
602,2017-03-26 22:05:11,"Thanks for an outstanding PR @freayd (and @japborst for the original PR).

> I've tried to include all packages and it's working fine for me, I don't experience any slow down. They are 217 types and 46 084 entries in 4 733 files occupying 153 MB.

I'm not too worried about the speed of the search. Even with 100k entries it seems to be holding up pretty well (I did a lot of optimization a while back).

However, I'm worried about search results becoming noisy / less useful due to the 46k entries, and increasing the chance that users will hit the IndexedDB quota and lose their offline data (until browsers implement the [Storage Standard](https://storage.spec.whatwg.org/), all website data is unfortunately non-persistent and subject to deletion when e.g. the device is low on disk space).

Since I expect this doc will be used by a large number of users, we should optimize/polish it as much as we can. A good number to shoot for would be ~20k entries (IIRC the biggest doc we have today is Drupal 8, with 12k entries).

Is AWT still actively used? Packages like `java.rmi` and `javax.management` can probably be left out / not useful to most people. Packages like `javax.xml` and `javax.swing` could be extracted in separate doc versions (see docs like Haxe and Tensorflow), but let's first try to get the number down as much as we can.

> I have reused the logos from the request #560, but I think they might be copyrighted and I'm not sure they can be used in Devdocs. I don't see this logo on the OpenJDK and IcedTea websites. And the logo used in the Java Wikipedia article seems to be subject to fair use.

I don't think we should use the Java logo, since we're adding OpenJDK. Please remove the logo and I'll figure something out. Also, please rename the doc/scraper ""OpenJDK"".",Thibaut,freayd
602,2017-03-26 22:05:11,"Thanks for an outstanding PR @freayd (and @japborst for the original PR).

> I've tried to include all packages and it's working fine for me, I don't experience any slow down. They are 217 types and 46 084 entries in 4 733 files occupying 153 MB.

I'm not too worried about the speed of the search. Even with 100k entries it seems to be holding up pretty well (I did a lot of optimization a while back).

However, I'm worried about search results becoming noisy / less useful due to the 46k entries, and increasing the chance that users will hit the IndexedDB quota and lose their offline data (until browsers implement the [Storage Standard](https://storage.spec.whatwg.org/), all website data is unfortunately non-persistent and subject to deletion when e.g. the device is low on disk space).

Since I expect this doc will be used by a large number of users, we should optimize/polish it as much as we can. A good number to shoot for would be ~20k entries (IIRC the biggest doc we have today is Drupal 8, with 12k entries).

Is AWT still actively used? Packages like `java.rmi` and `javax.management` can probably be left out / not useful to most people. Packages like `javax.xml` and `javax.swing` could be extracted in separate doc versions (see docs like Haxe and Tensorflow), but let's first try to get the number down as much as we can.

> I have reused the logos from the request #560, but I think they might be copyrighted and I'm not sure they can be used in Devdocs. I don't see this logo on the OpenJDK and IcedTea websites. And the logo used in the Java Wikipedia article seems to be subject to fair use.

I don't think we should use the Java logo, since we're adding OpenJDK. Please remove the logo and I'll figure something out. Also, please rename the doc/scraper ""OpenJDK"".",Thibaut,japborst
602,2017-03-27 08:34:51,"@Thibaut maybe should we split java packages into differents documentation, so Java AWT could be apart from ""Java Core"" (and some additionnal splits that we should think all together).

What do you think about it ?
",Kaijiro,Thibaut
593,2017-03-04 18:01:59,"Great to see people working on this! @Thibaut I have looked into OpenJDK, but the fact that there was no publicly accessible version of the docs online and some time constraints, meant I did not write a scraper for OpenJDK.

I also found this one btw: http://packages.ubuntu.com/xenial/openjdk-8-doc

@freayd feel free to fork / use my branch in any way. Personally I have no experience with OpenJDK, so I have no idea how much similarities with the Oracle docs are.",japborst,Thibaut
593,2017-03-04 18:01:59,"Great to see people working on this! @Thibaut I have looked into OpenJDK, but the fact that there was no publicly accessible version of the docs online and some time constraints, meant I did not write a scraper for OpenJDK.

I also found this one btw: http://packages.ubuntu.com/xenial/openjdk-8-doc

@freayd feel free to fork / use my branch in any way. Personally I have no experience with OpenJDK, so I have no idea how much similarities with the Oracle docs are.",japborst,freayd
593,2017-03-05 10:17:27,"As far as I understand, there is nothing else than sources provided by the OpenJDK project. So one option would be to download the sources and compile them which will generate the documentation.

Each Linux distribution provides packages, which are built by themselves from the sources. It is interesting to note that Linux distributions sometimes patch the original sources for various reasons, like adapting it to their platform or fixing bugs. Debian, Ubuntu, Arch Linux and the CERN all provide an OpenJDK documentation package containing a set of HTML files.

IMHO, I recommend starting from the Debian (the most reliable distribution, 23 years old now…) package. A package is a .deb file which is basically an archive. The Debian package is ""built using the [IcedTea](https://en.wikipedia.org/wiki/IcedTea) build support and patches"". My main concern still is the license, as the Debian, IcedTea and a few other building tools license is now coming up. @Thibaut can you please have a look at the [copyright file](https://gist.github.com/freayd/0d6333f9fd100cd0c416f46a1624f873) of the current Debian package and let me know if you think it is compatible with DevDocs? Thanks.",freayd,Thibaut
593,2017-03-05 14:43:12,"I've downloaded all four packages, and the documentation in each says:

> This document is the API specification for the Java™ Platform, Standard Edition.

and seems identical to http://docs.oracle.com/javase/8/docs/api/.

@freayd I'm not worried about the license of building tools like IcedTea. OpenJDK is licensed under GPLv2, so any derivative work has to also be licensed under GPLv2.

What I'm more worried about is whether those packages actually contain documentation built from the OpenJDK source code, and whether the GPL license applies or not. The packaging/UI of those docs indicate otherwise. Could you maybe ask for clarification on the OpenJDK mailing list?

",Thibaut,freayd
593,2017-03-07 14:00:14,"I just installed the openjdk documentation through `sudo apt install openjdk-8-doc`, which results in the same documentation as the Oracle docs in `/usr/share/doc/openjdk-8-doc/api/`. Also it shows the Oracle copyright at the bottom of the files:
> Copyright © 1993, 2017, Oracle and/or its affiliates. All rights reserved. Use is subject to license terms. Also see the documentation redistribution policy.

The [doc redistribution policy](http://www.oracle.com/technetwork/java/redist-137594.html) states:
> **Documentation**  The Java SE API Specification is not redistributable. One exception is granted, where permission is given to publish 10 or fewer unaltered screen shots of our documentation, whose intended purpose is to show examples of our work. Unaltered screen shots include web pages, our Java applets, our demo applets and applications, and listings of their source code.
> **API specifications** can be redistributed internally without special permission. They cannot be made available on the Internet.

So to answer your question, @Thibaut, the docs are _not_ generated from the OpenJDK source. ",japborst,Thibaut
593,2017-03-12 18:41:27,"@freayd Thanks a lot for looking into this. 

I believe you're correct and the documentation is licensed under the terms/licenses described in the [copyright file](https://bazaar.launchpad.net/%7Eopenjdk/openjdk/openjdk8/view/head:/debian/copyright). I've looked at the source code of the OpenJDK package distributed on Debian and confirmed that the documentation is embedded in the source. This means the terms of GPLv2 license should apply to it, and any derivative work, including the API docs package, should also be licensed under GPLv2, regardless of Oracle's documentation redistribution policy (as long as the package was built from OpenJDK sources).

Additionally, if Oracle's documentation redistribution policy did apply to those packages, then Debian/Ubuntu/etc. would be violating it, as they are in fact redistributing the docs on their websites.

So I think we're good to redistribute the OpenJDK docs (downloaded from the Debian or Ubuntu repository) on DevDocs. I'll try to tackle this in the coming weeks, using [@japborst's PR](https://github.com/Thibaut/devdocs/pull/560) as a starting point.
 ",Thibaut,freayd
593,2017-03-12 18:41:27,"@freayd Thanks a lot for looking into this. 

I believe you're correct and the documentation is licensed under the terms/licenses described in the [copyright file](https://bazaar.launchpad.net/%7Eopenjdk/openjdk/openjdk8/view/head:/debian/copyright). I've looked at the source code of the OpenJDK package distributed on Debian and confirmed that the documentation is embedded in the source. This means the terms of GPLv2 license should apply to it, and any derivative work, including the API docs package, should also be licensed under GPLv2, regardless of Oracle's documentation redistribution policy (as long as the package was built from OpenJDK sources).

Additionally, if Oracle's documentation redistribution policy did apply to those packages, then Debian/Ubuntu/etc. would be violating it, as they are in fact redistributing the docs on their websites.

So I think we're good to redistribute the OpenJDK docs (downloaded from the Debian or Ubuntu repository) on DevDocs. I'll try to tackle this in the coming weeks, using [@japborst's PR](https://github.com/Thibaut/devdocs/pull/560) as a starting point.
 ",Thibaut,japborst
