issue_num,datetime,body,login,close_date
2631,2017-03-27 12:29:08,"I have added wow.js animations to my test site but some sections aren't animating on scroll and some are. So I may have several 'sections' of content on the page, all full screen and each section has an animation of the text fading/zooming in for example. There may be multiples of the same section code too.
.section-type-1, .section-type-2 and so forth (each section type is a different layout).

But for some reason, some animate and some don't?! Or.. It's possible they are animating but before I've even scrolled down the page.

Any help would be appreciated.

Here is (some of) my html:

<S_CODE_TOKEN>

And my JS call in the footer:

<S_CODE_TOKEN>",huwrowlands,2017-03-27 21:22:47
2631,2017-03-27 21:22:47,Closed until an isolated reproduction is provided as detailed in the [reporting issues guidelines](https://github.com/alvarotrigo/fullPage.js#reporting-issues) and the [issue skeleton](https://github.com/alvarotrigo/fullPage.js/blob/master/.github/ISSUE_TEMPLATE.md).,alvarotrigo,2017-03-27 21:22:47
2630,2017-03-24 05:51:06,"
Hi,
Fullpage.js is a nice plugin. I've used it in lots of pages. 
But I faced problem in the below page.

When I use a fixed top nav. The active class not working. 
I assigned the menu properly.
But still no luck. I can't figure it out.

http://aapapon.com/project/for/

Thanks in advanced.

",Abdullah-al-Papon,2017-03-24 12:50:19
2630,2017-03-24 06:16:15,"I solved the active issue manually. It's kind of boring but works fine.

        if(index == 2){
              $('#n-collapse li:nth-child(1)').addClass('active');
              }
               else{
              $('#n-collapse li:nth-child(1)').removeClass('active');  
          }",Abdullah-al-Papon,2017-03-24 12:50:19
2630,2017-03-24 12:50:19,Why don't you just make use of the `menu` option.,alvarotrigo,2017-03-24 12:50:19
2630,2017-03-26 04:26:43,"I've tried with the menu option. But I can't figure it out why it is not working.
Maybe because of, I used bootstrap classes in the navbar.",Abdullah-al-Papon,2017-03-24 12:50:19
2630,2017-03-26 15:09:31,Check the examples available in the examples folder. ,alvarotrigo,2017-03-24 12:50:19
2629,2017-03-23 21:05:05,"hello there,

i have a question regarding arrows: is it possible somehow to disable, say left arrow when we're on slide one and to disable right one if we're at the last horizontal slide?

many thanks!",asdangus,2017-03-23 23:40:55
2629,2017-03-23 23:40:55,Use `loopHorizontal: false`,alvarotrigo,2017-03-23 23:40:55
2628,2017-03-23 12:55:04,"### Description

On a few viewport heights, the content stops being vertically aligned in the middle. This happens at 868px. Not at 869px (it jumps back being vertically aligned in the middle) but then it happens again at 870px height. I did not make any adjustments in the core code and didn't apply more CSS classes. 

### Link to isolated reproduction with no external CSS / JS
You can see our staging website here. It happens on the second slide. 
Besides fullPage.js and an extension of it, scrolloverflowJS, jQuery and jQuery Rotate are loaded.  

### Versions 
Chrome Version 56.0.2924.87 (64-bit)
macOS Sierra 10.12.3

Although this problem isn't a dealbreaker, I thought it was interesting enough to share to see what we can do about it. ",pim013,2017-03-23 13:04:16
2628,2017-03-23 13:04:16,"Well, that's clearly not an isolated reproduction :) Lot of external JS and CSS to fullPage.js.

I can only say that this is happening because you are using `scrollOverflow:true` and somehow fullPage.js believes it needs to create an internal scrolling for your slide. 
I can see how it is indeed necessary in [the 3rd slide of the section](http://wespire.nl/klanten/floriaan/djbus/#section/clients) on 1040px width. Avoid that, and you'll probably solve your issue. 

You are probably doing something funny with your CSS styles in the 1st slide and making fullPage.js believe it needs scrollbar. ",alvarotrigo,2017-03-23 13:04:16
2627,2017-03-22 15:19:54,"For my school project i need to use fullPage.js in WordPress, but i can't understeand how to import it because the guide i am following says it is a JQuery Plugin, but i can't install it like any other plugin, i get an error like ""Installing... No plugin were found, the package can not be installed"". How it work? Thanks.
I use WordPress and fullPage.js both at their last version.",MichaelNoto,2017-03-22 15:21:43
2627,2017-03-22 15:21:43,Duplicated of https://github.com/alvarotrigo/fullPage.js/issues/2626,alvarotrigo,2017-03-22 15:21:43
2626,2017-03-22 15:10:29," Hi, in my school project i am doing a child theme for Wordpress, and i would use fullPage.js. I'm following a guide that says it is a JQuery plugin, so why i can't import it in Wordpress like any other plugin?  It says ""The package can not be installed. No results were found valid plugin."" I downloaded the last version and WordPress is also at the last version, so i can't understeand.

### Wordpress Version 
WordPress 4.7.3

### fullPage Version
fullPage.js-master",MichaelNoto,2017-03-22 15:12:43
2626,2017-03-22 15:12:43,"fullPage.js is a jQuery plugin and a Javascript library, not a Wordpress one.
Nevertheless, you can easily find other wordpress themes out there using it such [this one](http://alvarotrigo.com/fullPage/utils/wordpress.html).

Find more components [at the resources section of the docs](https://github.com/alvarotrigo/fullPage.js#resources).",alvarotrigo,2017-03-22 15:12:43
2625,2017-03-21 11:11:51,"I wanna add transition into fullPage and i have used this.

<S_CODE_TOKEN>
It works on Slider Leave but i wanna add entering Animation on Next Slideshows and i have tried following and it's not working...

<S_CODE_TOKEN>

But i have failed it. Could you suggest some idea?",Uranbold,2017-03-22 10:30:42
2625,2017-03-21 11:13:46,"> It works on Slider Leave but i wanna Add Entering Next Slideshows to another transition

I don't understand what you mean by that. Please explain with other words. ",alvarotrigo,2017-03-22 10:30:42
2625,2017-03-22 03:38:23,"> It works on Slider Leave but i wanna Add Entering Next Slideshows to another transition
> I don't understand what you mean by that. Please explain with other words.

I mean i want to add Transition Next Slideshow (Before that slideshow enter i want to add Transition)

Fullscreen 1
+
Fullscreen 2
+
Fullscreen 3

Edit: Fullscreen 1 Slide Leave animation works on Slide. But if Fullscreen 2 entering and Sliding (Entering Condition) then i want to add Another Animation into it.

If Fullscreen 2 entered and i wanna go Fullscreen 3 then Fullsreen2 left animation works and Fullscreen3 enter animation comes........


Please take a look at this example. https://tympanus.net/Development/PageTransitions/",Uranbold,2017-03-22 10:30:42
2625,2017-03-22 10:30:42,"You can only make use of the `onLeave` and `afterLoad` callbacks. There's no more. 
I hope that answers your question.

Make use of the parameters of `onLeave` such as `nextIndex` to figure out the destination and do whatever you want under your conditions. ",alvarotrigo,2017-03-22 10:30:42
2624,2017-03-21 05:17:01,"If I will try to fill the form, height of the section is decrease

http://test.psd2htmldesign.com/runforballs/

Please try to fill this form",shahjehanali1,2017-03-21 10:12:40
2624,2017-03-21 06:40:10,need quick reply,shahjehanali1,2017-03-21 10:12:40
2624,2017-03-21 09:00:04,@alvarotrigo Please help,shahjehanali1,2017-03-21 10:12:40
2624,2017-03-21 10:12:40,Closed until an isolated reproduction is provided as detailed in the [reporting issues guidelines](https://github.com/alvarotrigo/fullPage.js#reporting-issues) and the [issue skeleton](https://github.com/alvarotrigo/fullPage.js/blob/master/.github/ISSUE_TEMPLATE.md).,alvarotrigo,2017-03-21 10:12:40
2623,2017-03-20 17:00:00,"On mobile devices or in webkit browsers, the inputs do not lose focus when pressed outside them. This problem occurs when connecting to the scrolloverflow extension

http://codepen.io/anon/pen/zZRPYp

### Steps to reproduce it
1. Open this link for example in chrome
2. Find the input field and click on it to get the focus
3. Now try to remove the focus by clicking on any place outside the input field",eeeman1,
2623,2017-03-20 17:13:46,"I've [reported it now in iScroll.js issues forum](https://github.com/cubiq/iscroll/issues/1139).

It is definitely a iScroll.js issue and not a fullpage.js one as can be seen in [this demo](https://jsfiddle.net/vhc3bmmk/1/) without fullPage.js",alvarotrigo,
2623,2017-03-21 08:54:28,"Yes, for sure, I also noticed that you can not select text, as well as select the checkbox or radio

",eeeman1,
2622,2017-03-20 15:55:56,"### FullPage Conflicting with Flexslider's `slide` class
I'm rebuilding a website and came across an issue where the slide class conflicts with Flexslider. But I'm hoping the solution might be built in to FullPage.js... On mobile I'm currently using Flexslider to scroll horizontally through a list of images. Then on desktop I simply display them in a row.

Now I've adopted FullPage.js but Flexslider's `slide` class conflicts with FullPage.js' `slide` class. Is there a built in way to have horizontal scrolling limited to mobile only? Then on larger screens I can simply layout each image (slide class) without the horizontal scrolling effect?

### Link 
The second page on [this codepen](http://codepen.io/joe-watkins/pen/rFzcf) shows the horizontal effect I'd like to use on mobile only. But I am not seeing a way to stop it from functioning that way on desktop (or > 1024px)

Perhaps there's an option to change the classname `slide` from being used and I could continue to use Flexslider on mobile?

Any advice would be great, because I'd love to forget Flexslider and use FullPage exclusively.",BenRacicot,2017-03-20 16:04:21
2622,2017-03-20 16:04:21,Use the option `slideSelector` as detailed in the docs.,alvarotrigo,2017-03-20 16:04:21
2621,2017-03-20 12:06:41,- Documentation aesthetics changes,alvarotrigo,2017-03-20 12:06:46
2620,2017-03-20 12:01:52,- Documentation aesthetics changes,alvarotrigo,2017-03-20 12:01:59
2619,2017-03-19 14:32:54,"Hi,
I'm using `scrollOverflow: true`, and when I resize my window from something like ~300px high to the normal height, the scrollbar stays and prevents from the content to fit to the section.

How can I refresh the IScroll when the window gets resized?

thanks :)",iTayGNR,2017-03-19 15:11:18
