issue_num,datetime,body,login,mention_login
2614,2017-03-16 13:03:57,"@alvarotrigo Thank you for the answer. But unfortunately it didn't work. I still can't scroll on ios devices. When i use destroy() it also removes the translate3d values, which i need in this moment (i just destroy when the footer is open, and rebuild after close, so the user dosent see any changes).

Thanks. ",NONNNNN,alvarotrigo
2614,2017-03-20 14:38:34,"@NONNNNN probably because of the call to [this function.](https://github.com/alvarotrigo/fullPage.js/blob/master/jquery.fullPage.js#L1103)
Necessary for fullPage.js in iOS.",alvarotrigo,NONNNNN
2599,2017-03-07 13:21:52,"@alvarotrigo Even in responsive mode?
I agree that this behavior is normal in full screen mode.
But when this mode is disabled to give way to the responsive mode. Ideally, the elements should respect their sizes and flows as a normal page. I guess ...",tmsilva,alvarotrigo
2596,2017-03-07 10:01:55,"@waisie I can only provide you help if you are able to reproduce the issue in jsfiddle or codepen I'm afraid. 
It seems to me your problems are not with fullpage.js but with wordpress.

There are plenty of demos available [at the documentation](https://github.com/alvarotrigo/fullPage.js) . Even one for the `fp-auto-height `feature you are trying to use.  [Check it out](http://codepen.io/alvarotrigo/pen/BKjRYm).",alvarotrigo,waisie
2588,2017-03-01 16:28:38,@alvarotrigo - i am preparing a codepen here. since my site uses jquery and other common components are you are you saying you want me to copy and paste the entire source for jquery into the codepen? rather than just link to it?,propertunist,alvarotrigo
2556,2017-02-10 15:07:25,"@alvarotrigo  
Hello.

ResponsiveSlides: false

How do I not use responsive in sections like slides?
I want to set the width / height to a fixed value.",l2zeo,alvarotrigo
2552,2017-02-07 22:07:49,"@alvarotrigo I did it in another way. 

    if (...) { 
        $.fn.fullpage.setAllowScrolling(true); 
    } else {
        $.fn.fullpage.setAllowScrolling(true); 
    };

This way everything is working as expected on desktop and also on mobile emulators (for example from Chrome Dev. Tools), but on real device (android or iOS phone) I am still not able to scroll content inside of that div.

Any suggestions?",munjiza,alvarotrigo
2547,2017-02-06 11:13:39,"@vinylroads I guess you could do that by using a callback such as `afterLoad` and change the parallax percentage to 0.
I might think about an easier way to do that for the next version of it. 
",alvarotrigo,vinylroads
2539,2017-02-02 17:47:35,"HI @alvarotrigo 

1.You are right - its not relevant to the page header.
2. steps to reproduce : just enter the input data and use TAB to navigate to the next section.
   the content is not position properly
3. I just re-checked now in another computer using  [the demo](http://codepen.io/anon/pen/qRozaN)  in chrome and FF 
  Chrome 51 - position is in the middle / centered + no way to use mouse scroll to go to upper section
  FF 47- position is in the lower section of the page +  no way to use mouse scroll to go to upper section


best,
elad
",eladh,alvarotrigo
2533,2017-02-01 18:38:09,"@alvarotrigo none of your examples or documentation have any mention of executing `$.fn.fullpage(...)` directly rather than calling it on an element such as `$(""#someid"").fullpage(...)` unless it's hidden somewhere i haven't searched yet, I know you have other methods on `$.fn.fullpage` , such as `$.fn.fullpage.whatever()`, but that's not what he's doing in his code.",tentonaxe,alvarotrigo
2533,2017-02-01 18:47:07,"Mr. @alvarotrigo ,
Would you prefer to upload it as subdomain(of my personal page) and see that from there? 
1) It is easiest for me,
2) It is complicate app and jsfiddle didn't support it or something did wrong.
3) Codepen need money.
https://jsfiddle.net/weblaravel/1nqzx3nc/
this is my example
Is my version old? Ok I will update it.",webspecialist,alvarotrigo
2533,2017-02-01 20:24:29,"With the latest version the problem fixed!!!!

Ιf you're curious about ... my page is http://onroad.vtsoulis.gr/all-categories-demo
Is not completed yet... but thank you @alvarotrigo my part of my page will be awesome thanks to fullpage.js and you!!!!
I am an unemployed web designer / developer ... I wish to had money to donate to your awesome work!!!
Now the case is closed!",webspecialist,alvarotrigo
