issue_num,datetime,body,login,mention_login
3476,2017-03-02 12:32:29,"Thanks for your contribution @Danter7 
I'll merge this, but you'll also have to bump the `blueimp-load-image ` optional dependency to version `2.12.2`, else there won't be a separate `scale` module.",blueimp,Danter7
3475,2017-02-24 13:15:39,"Thanks for your contribution @autopulated 

That was actually an issue in [JavaScript Load Image](https://github.com/blueimp/JavaScript-Load-Image/commit/57e634af79738c46b25df71a12282763721a072c)  and has been fixed with version `v2.12.2`.

Regarding the closed issue tracker:
This was a deliberate decision as the number of support requests drowned out any deliberate issue reports and made maintaining this project a full-time project.
Pull requests still allow constructive contributions like yours, so I prefer this approach.",blueimp,autopulated
3474,2017-02-09 17:29:21,"Thanks for your contribution, @evil-shrike.
To not break compatibility with old browsers (supported by older jQuery Versions), I've added a change that only uses `JSON.parse` if it's available, else `jQuery.parseJSON`.",blueimp,evil-shrike
3472,2017-02-02 20:28:26,"Thanks for your pull request @flobee.
Unfortunately I don't see the benefit of those contributions.
Maybe this would be better suited in a fork?
If there's an exact topic that this set of changes is about, I'll gladly add it to the Wiki. ",blueimp,flobee
3471,2017-02-02 19:37:11,"Thanks @gabn88 
This is better suited for the Wiki, so I've added it to the list of forks here:
https://github.com/blueimp/jQuery-File-Upload/wiki#forks",blueimp,gabn88
3470,2017-01-13 16:36:04,"Thanks for your contribution, @rlucha!",blueimp,rlucha
3468,2017-01-13 16:30:51,Thanks @bowlofeggs ,blueimp,bowlofeggs
3465,2016-12-20 12:21:03,Thanks @exabugs !,blueimp,exabugs
3464,2016-11-20 14:54:10,"Thanks @tribut.
There's a separate file where I fixed this issue.
",blueimp,tribut
3462,2016-11-07 14:06:18,"Thanks for your contribution, @saurabh-sharma 

Unfortunately, I don't think this is a good approach, as you only limit the number of parts in the multipart POST message, which doesn't have any perceivable benefit.
Users can still send an arbitrary number of files by sending multiple POST requests for example.
Without any user identification, it will not be possible to limit the number of files uploaded.

If you need to limit the number of files users can upload, you can already do this with the current version of the PHP library.
By making use of the options `user_dirs` and `max_number_of_files` you can effectively limit the number of files an individual user can upload.
",blueimp,saurabh-sharma
3462,2016-11-07 17:09:57,"Thanks for the reply @blueimp 

I am not talking about the max number of files that can be uploaded in a directory, but I did mean about enforcing 1 file limit per upload, which can't be trusted from the client side! User can just fiddle the script and just skip the single file upload limit.

I agree with you on this one:

> Users can still send an arbitrary number of files by sending multiple POST requests for example.
> Without any user identification, it will not be possible to limit the number of files uploaded.
> 
> If you need to limit the number of files users can upload, you can already do this with the current version of the PHP library.

User can upload any no. of files (which can be restricted with the way you mentioned in above comment)

#3462 just adds an option for single file upload (I know it can be restricted from the front end using this process https://github.com/blueimp/jQuery-File-Upload/wiki/Frequently-Asked-Questions#how-to-limit-the-file-selection-so-users-can-only-select-one-file) to be restricted from backend as well.

And trust me, the front end option mentioned in the link above does not work with drag and drops at all.

And apart from all this, can you just enable the `issues` options for this repo? There's another serious vulnerability (And I want to emphasise on vulnerability) which needs attention.
",saurabh-sharma,blueimp
3461,2016-11-05 13:01:49,"@CQPosts @madeureka 
Please do not misuse the pull request features.

And please understand that I do not offer any support for this project anymore:
https://github.com/blueimp/jQuery-File-Upload#support
",blueimp,CQPosts
3461,2016-11-05 13:01:49,"@CQPosts @madeureka 
Please do not misuse the pull request features.

And please understand that I do not offer any support for this project anymore:
https://github.com/blueimp/jQuery-File-Upload#support
",blueimp,madeureka
3459,2016-10-26 12:15:32,"Thanks @niksy !
",blueimp,niksy
3457,2016-10-17 08:18:28,"Thanks, @AllSeeingEye !
",blueimp,AllSeeingEye
3456,2016-10-02 17:29:25,"Thanks for your contribution, @timwiel 
I've added your repository to the wiki (under forks).

I hope it's fine for you that I prefer your work as a fork, as I don't see an imminent need to add the randomised file names feature to the master branch.

I'm only maintaining this project and will not develop it any further.
This is especially true regarding the server-side code, which originally was only meant as a simple demonstration (see e.g. the [first version](https://github.com/blueimp/jQuery-File-Upload/blob/9b22fc143f5f25c00fdf7ef177db0a99e7133378/example/upload.php) ).

Thanks a lot though!
",blueimp,timwiel
3455,2016-10-02 17:14:45,"Thanks a lot for your contribution, @richard512 

Those are all nice features and I've added your repository to the [wiki](https://github.com/blueimp/jQuery-File-Upload/wiki) (under forks).

I hope it's fine for you that I prefer your work as a fork, as I want to keep my maintainer workload small and adding video thumbnail support would open up another swath of potential issues.

Thanks a lot though!
",blueimp,richard512
3454,2016-07-31 20:04:34,"Thanks, @headlessme!
",blueimp,headlessme
3453,2016-07-31 19:51:09,"Thanks for your contribution and sorry for the late reply, @timmetj 
",blueimp,timmetj
3452,2016-06-15 08:02:50,"Thanks for your contribution, @steve3d 
However, there's absolutely no need to include the code snippet you added inside of this library.
Simply add it into a new file and include it in your HTML documents.
",blueimp,steve3d
3451,2016-06-11 14:09:30,"Thanks, @remicollet 
",blueimp,remicollet
3449,2016-06-08 11:58:06,"Thanks for your contribution, @akvadrako.
I prefer to let the UI code handle the display of error messages and don't see a necessary need to explain the lack of video preview.
Thanks for your understanding.
",blueimp,akvadrako
3446,2016-05-27 12:19:28,"Thanks for your contribution, @akvadrako.

I've added some comments to the updated files.

Could you elaborate on separating the AMD and node.js package formats jQuery-style?
",blueimp,akvadrako
3446,2016-06-30 14:32:13,"Would love to see this merged also.

@akvadrako couple of notes:
- Since you’re referencing `angular` and `blueimp-load-image`, I suppose those should be defined as `dependencies` of this project?
- Why do you explictly reference `blueimpl-load-image/js/load-image` instead of `blueimp-load-image`? That package already exports module which can be consumed?
",niksy,akvadrako
3446,2016-08-29 10:59:22,"@akvadrako are you still working on this?
If there's no reply to my requested changes I'll close this in the next couple of days.
",blueimp,akvadrako
3445,2016-05-23 13:11:42,"Thanks @mcdado 
",blueimp,mcdado
3444,2016-05-20 09:54:00,"Thanks @orhanveli.
",blueimp,orhanveli
3440,2016-05-01 18:32:48,"Thanks, @georgemillo!
",blueimp,georgemillo
3439,2016-04-29 12:23:40,"Thanks for your contribution, @hashmode.
However, this option is unnecessary, as it's already possible to keep modified versions only, as the original itself is listed in the image versions:
https://github.com/blueimp/jQuery-File-Upload/blob/master/server/php/UploadHandler.php#L133
",blueimp,hashmode
3439,2016-04-29 14:07:45,"@blueimp , thanks for the reply. I had seen that part, and I anticipated that if I skip the empty version - the original will not be saved. So, e.g. if we have these options



I thought it would create only these 2 files: `upload_dir/small/image.jpg` and `upload_dir/large/image.jpg`. However I end up having one more `upload_dir/image.jpg` file - which is the original. I also tried to make the empty `''` version as one of my files by having



However, though it crops the main image by `800x800` as provided, but it exists as `upload_dir/image.jpg` and NOT as `upload_dir/large/image.jpg`. And one more thing: in response object for the last case I see only `smallUrl => 'upload_dir/small/image.jpg'` - I mean the large image's url is not provided.

So, my initial goal is to have e.g. 2 image versions with given dimensions in their corresponding folders - and no original image. Am I missing something ?

Thanks
",hashmode,blueimp
3437,2016-04-11 21:52:15,"Thanks, @TeLiXj!
",blueimp,TeLiXj
3435,2016-04-11 17:41:04,"Thanks, @mattiasw!
",blueimp,mattiasw
3434,2016-04-11 21:48:43,"Thanks for your contribution, @servocoder.

Am I correct in the assumption that this issue mainly affects 32bit Windows servers?

And could you confirm that, instead of using the curl workaround, the following function (cop+pasted from a php.net comment) will also fix the issue on those platforms?



Taken from http://php.net/manual/en/function.filesize.php#115792
",blueimp,servocoder
3434,2016-08-29 10:59:46,"@servocoder Are you still working on this?
",blueimp,servocoder
