issue_num,datetime,body,login,mention_login
3476,2017-03-02 12:32:29,"Thanks for your contribution @Danter7 
I'll merge this, but you'll also have to bump the `blueimp-load-image ` optional dependency to version `2.12.2`, else there won't be a separate `scale` module.",blueimp,Danter7
3468,2017-01-13 16:30:51,Thanks @bowlofeggs ,blueimp,bowlofeggs
3465,2016-12-20 12:21:03,Thanks @exabugs !,blueimp,exabugs
3462,2016-11-07 17:09:57,"Thanks for the reply @blueimp 

I am not talking about the max number of files that can be uploaded in a directory, but I did mean about enforcing 1 file limit per upload, which can't be trusted from the client side! User can just fiddle the script and just skip the single file upload limit.

I agree with you on this one:

> Users can still send an arbitrary number of files by sending multiple POST requests for example.
> Without any user identification, it will not be possible to limit the number of files uploaded.
> 
> If you need to limit the number of files users can upload, you can already do this with the current version of the PHP library.

User can upload any no. of files (which can be restricted with the way you mentioned in above comment)

#3462 just adds an option for single file upload (I know it can be restricted from the front end using this process https://github.com/blueimp/jQuery-File-Upload/wiki/Frequently-Asked-Questions#how-to-limit-the-file-selection-so-users-can-only-select-one-file) to be restricted from backend as well.

And trust me, the front end option mentioned in the link above does not work with drag and drops at all.

And apart from all this, can you just enable the `issues` options for this repo? There's another serious vulnerability (And I want to emphasise on vulnerability) which needs attention.
",saurabh-sharma,blueimp
3454,2016-07-31 20:04:34,"Thanks, @headlessme!
",blueimp,headlessme
3453,2016-07-31 19:51:09,"Thanks for your contribution and sorry for the late reply, @timmetj 
",blueimp,timmetj
3451,2016-06-11 14:09:30,"Thanks, @remicollet 
",blueimp,remicollet
3449,2016-06-08 11:58:06,"Thanks for your contribution, @akvadrako.
I prefer to let the UI code handle the display of error messages and don't see a necessary need to explain the lack of video preview.
Thanks for your understanding.
",blueimp,akvadrako
3446,2016-05-27 12:19:28,"Thanks for your contribution, @akvadrako.

I've added some comments to the updated files.

Could you elaborate on separating the AMD and node.js package formats jQuery-style?
",blueimp,akvadrako
3446,2016-06-30 14:32:13,"Would love to see this merged also.

@akvadrako couple of notes:
- Since you’re referencing `angular` and `blueimp-load-image`, I suppose those should be defined as `dependencies` of this project?
- Why do you explictly reference `blueimpl-load-image/js/load-image` instead of `blueimp-load-image`? That package already exports module which can be consumed?
",niksy,akvadrako
3446,2016-08-29 10:59:22,"@akvadrako are you still working on this?
If there's no reply to my requested changes I'll close this in the next couple of days.
",blueimp,akvadrako
3445,2016-05-23 13:11:42,"Thanks @mcdado 
",blueimp,mcdado
3444,2016-05-20 09:54:00,"Thanks @orhanveli.
",blueimp,orhanveli
3440,2016-05-01 18:32:48,"Thanks, @georgemillo!
",blueimp,georgemillo
