issue_num,datetime,body,login,close_date
442,2017-03-27 10:09:38,">P.S. using TypeScript? [Here](https://github.com/DefinitelyTyped/DefinitelyTyped/blob/master/react-motion/index.d.ts) are the React-motion TypeScript definitions!

The link of the React-motion TypeScript is missing, any ideas to solve this?",calpa,
441,2017-03-20 11:37:14,"Hi Guys,

I just play with React Motion for a while & Find it really impressive! 👍 

But there is some issue here:
I animate (scroll) a parent div with <Motion />. One of its child is main-navi, so I'd like to let it stay fixed in window after scrolling animation. But old css stylesheet without React-Motion works not any more (add css style: ""position:fixed"" after animation) 
And I figured out the fixed position of it is its parent div (which is animated with <Motion />) but not browser window anymore.

Is there some work around on this?",Gfast2,
441,2017-03-21 21:50:22,"I feel like you have a problem with your CSS rather then with
react-collapse here. Not really possible to say more at the time unless you
have minimal reproducible case in codepen/jsbin
-- 
Nik Butenko
nik@butenko.me
http://github.com/nkbt
",nkbt,
441,2017-03-22 14:42:22,"Hi nkbt, Thanks!
I'd try to make a codeopen demo later.
Right now the thing works like so:
If the value of key ""scrollup"" in redux store is -400, then add the css class `fixed`, if not, remove it. BTW, I'm using [""classNames""](https://github.com/JedWatson/classnames) to handle this.

This is the css classes that this component is using:

<S_CODE_TOKEN>
And these are functions in react component which are using it:
<S_CODE_TOKEN>
I can see the css class ""fixed"" kicked in / out in Chrome on this component. And the `postion` of class `fixed` over write the same key in `MainMenu-wrapper`.
BTW, when I set `top` of class `fixed` to a certain value (unit Pixel here). I get always a offset from its parent element but not the whole screen.

It is complacated, I think. Hopefully, I can create a codeopen to recreate this effect. ",Gfast2,
441,2017-03-22 15:07:52,"I get some feeling about this issue, There must be something I don't understand about css class `transfor`.
Here is the render function of this child component's (mainnav.js) parent function:
<S_CODE_TOKEN>
If I comment out this css action. I get the correct behavior of mainnav.js.
Er... Perhaps I've to do some research on `transform`.
If I got something useful, I write back.",Gfast2,
441,2017-03-22 15:39:44,"This [Link](http://stackoverflow.com/questions/15194313/transform3d-not-working-with-position-fixed-children) declare the Problem.
So after do the css `transform` with React-Motion. I make all transformed component have just another origin. So no wunder why the fixed component get ""un-fixed"".

So I think the Problem of this thread is turn to: 
**'how to Animate Component with React-Motion but without transform'**
",Gfast2,
441,2017-03-22 15:54:43,"I just scrolled through all demo folder, all of <Motion /> animations are actually using transform...
Now I'm thinking about init another mainnav.js as a ""sticky"" one some where on the screen.",Gfast2,
441,2017-03-22 15:59:40,"It looks like that the old good time IE11 understand my intention, but none of the modern browsers.",Gfast2,
440,2017-03-07 13:48:41,"I see that there is currently no onRest callback for StaggeredMotion... Has anyoone figured out another way to tell when the animation is complete?

Thanks!",efdor,
439,2017-03-06 11:55:55,Added controls for spring parameters in order to make the demo even more fun. Also provides users with a convenient way of exploring spring configurations for the staggered motion component.,therewillbecode,
439,2017-03-10 14:17:10,"![www gifcreator me_ldrl38](https://cloud.githubusercontent.com/assets/13610012/23798361/f13f9078-0569-11e7-9f82-249230d28550.gif)
",therewillbecode,
438,2017-03-03 16:16:49,"hello guys!

first of all, thank you for your work! amazing package!

I am looking for a way to simulate scrolling behavior by passing starting and end locations to child element. Inside of child element I update the scrollTop property of that child element to simulate scrolling effect.

<S_CODE_TOKEN>

The problem is that I cannot pass the starting point(var `START`) of the animation. Per documentation `defaultStyle` works only once and afterwords the previous interpolated value is taken as starting point. 

Could anyone suggest a workaround? Would really appreciate it.

thank you! ",petromoldovan,2017-03-18 09:25:28
438,2017-03-16 17:56:14,"I think you're thinking about this implementation slightly wrong. You should just be passing one value at which your component should be scrolling to at any given point. Your parent component should be handling the `START` vs `END` logic. It could be as simple as sending the motion component a start value, then creating a timeout to send the motion component your end value.",wgoto,2017-03-18 09:25:28
438,2017-03-17 15:49:26,"@wgoto thanks for the answer!

could you elaborate a bit on it? maybe you have some old snippets that you did already? would really appreciate it.",petromoldovan,2017-03-18 09:25:28
438,2017-03-17 17:37:25,"Look here: https://gist.github.com/sompylasar/8b787c3fcfe0e14bba869a4e9a883135#file-viewport-js-L284-L320
",sompylasar,2017-03-18 09:25:28
438,2017-03-18 09:25:00,@sompylasar thank you!,petromoldovan,2017-03-18 09:25:28
437,2017-03-03 03:25:58,"Example: http://www.webpackbin.com/N16jKp-cz

<S_CODE_TOKEN>

Workaround: put update on the end of the stack

<S_CODE_TOKEN>",alexreardon,
437,2017-03-03 03:34:19,"I am not sure if it is related, but I am also finding that the `interpolatingStyle` can pass the previous `interpolatingStyle` value when `style` is changed to a fixed value mid transition",alexreardon,
437,2017-03-03 03:46:52,"I have ended up doing something like this to get around all issues:

<S_CODE_TOKEN>",alexreardon,
437,2017-03-20 23:26:19,Not sure how to proceed on this one :),alexreardon,
437,2017-03-21 21:40:09,"Yeah setTimeout is necessary to use with onRest. I reckon this has something to do with async nature/batching of setState in React.

We can probably switch to setState(pureCallback) notation as now recommended. Hopefully it would eliminate the problem. 

You may check https://github.com/nkbt/react-motion-loop with my workaround, which is the same...",nkbt,
437,2017-03-21 21:47:09," if you check source of react-collapse@3 you will find fairly ugly but working solution with instance vars. I had to figure out when animation ends properly and comparing with end values is not the right one, since spring can go into negative values in many cases. ",nkbt,
436,2017-02-28 23:06:55,"@chenglou Thanks for making this very awesome library. I have an issue where when I draw a series of rects on a svg, the first rect is animating from the wrong position. It only happens with the first element and only when I adjust the height. I don't understand why this is occurring so any feedback or guidance would be appreciated. Thanks!

Relevant code for the rect class:

<S_CODE_TOKEN>

![screencast-2017-02-28-17-57-24](https://cloud.githubusercontent.com/assets/10728027/23438624/aec9a07a-fde0-11e6-8916-8e33fab5de4e.gif)

",LPayyapilli,
435,2017-02-27 16:16:19,Made demo variable names more descriptive,therewillbecode,2017-02-28 06:31:30
435,2017-02-28 06:30:57,Uncapitalized `mouseCircleDelta`. Thanks!,chenglou,2017-02-28 06:31:30
435,2017-02-28 10:00:30,Thanks for the great library!,therewillbecode,2017-02-28 06:31:30
434,2017-02-27 15:55:42,,therewillbecode,2017-02-27 16:16:33
433,2017-02-25 13:38:17,"Hi!

I'm facing a challenge while trying to use `react-motion`. I'm working on a photography grid and would like to use this package to have a zoom-in transition.
My `div` has an absolute position and when you click the `top` and `left` values should animate toward `0`. Unfortunately `spring(0)` returns `undefined`.

Any idea how to solve that issue?

Here's a part of my component:
<S_CODE_TOKEN>",florianpnn,2017-02-25 13:54:31
433,2017-02-25 13:54:31,Found a typo in my code and now it's working 😓 ,florianpnn,2017-02-25 13:54:31
432,2017-02-20 11:18:01,,therewillbecode,2017-02-27 15:55:54
431,2017-02-14 15:27:07,"react-motion requires using `style` property on the `Motion` element. 
Due to this name selection, ESLint rule [react/forbid-component-props](https://github.com/yannickcr/eslint-plugin-react/blob/master/docs/rules/forbid-component-props.md) fails. Since this is a highly useful rule, it would be great to have a way of working with react-motion without disabling this rule.

I understand that this is impossible to change the current API without breaking existing applications. One possible workaround is adding another prop name with the same functionality (e.g. styleProps). For example:
<S_CODE_TOKEN>
Would be equivalent to
<S_CODE_TOKEN>
",eladmoshe,2017-02-14 20:43:43
431,2017-02-14 20:42:29,I think you should disable thus rule. I don't believe anyone would change component's API because of absolutely arbitrary lint rule.,nkbt,2017-02-14 20:43:43
431,2017-02-14 20:43:43,"Alternatively, wrap motion into your own component with renamed prop and use it in your project. So you will need to disable rule only in that component. ",nkbt,2017-02-14 20:43:43
430,2017-02-14 14:39:31,,codler,2017-02-28 06:28:29
430,2017-02-14 20:47:03,"Wow Flowcheck does something odd


node_modules/flow-copy-source/node_modules/kefir/dist/kefir.js.flow:25
 25:   +value?: (value: V) => void;
       ^ Unexpected token +
",nkbt,2017-02-28 06:28:29
429,2017-02-14 09:01:47,"There's only https://unpkg.com/react-motion@0.4.7/build/react-motion.js .
a minified version ( https://unpkg.com/react-motion@0.4.7/build/react-motion.min.js ) would be great.",GrafSonne,
