issue_num,datetime,body,login,mention_login
438,2017-03-17 15:49:26,"@wgoto thanks for the answer!

could you elaborate a bit on it? maybe you have some old snippets that you did already? would really appreciate it.",petromoldovan,wgoto
438,2017-03-18 09:25:00,@sompylasar thank you!,petromoldovan,sompylasar
427,2017-02-04 01:04:43,"@averykimball you forgot `return`. Curly braces mean that you declare function body that does not have implicit return, so you must add one.

",nkbt,averykimball
422,2017-01-21 01:40:39,"@souporserious `onEnter` in react-motion-ui-pack is a callback when animation starts, in the same moment as willEnter.

`didLeave` was added in last release, would be logical to add `didEnter` as well",klimashkin,souporserious
420,2017-03-01 16:54:50,@chenglou Done!,alleycat-at-git,chenglou
415,2017-01-17 16:32:56,"@liveresume So you turned out to be right. There were a couple of issues at play. First, the `MatchWithFade` code in the example was taken verbatim from the RR folks, so I assumed it was entirely right. Second, I didn't fully comprehend the issue with keys that you were suggesting. Somebody posted a note to the SO thread that clarified things for me:

http://stackoverflow.com/questions/41388263/nested-match-routes-with-react-router-v4-and-matchwithfade

The summary is that each key has to be unique to the `Match` instance and cannot change on re-renders, which means a random number generator is no good. The guy on SO suggested using `rest.pattern` from RR, which is the part of the URL pattern that matches up to the current `Match`, which strikes me as exactly the right value to use for the key. So, sorry for the kerfuffle, and thanks for your help!",bmueller-sykes,liveresume
413,2017-01-06 19:56:52,@emilebosch I had tried a few things based on that. No luck.,liveresume,emilebosch
402,2016-12-01 20:27:00,"Thank you @sompylasar, that's really helpful.

I managed to get most of this done:
http://codepen.io/mares0909/pen/jVYrye

The only thing I'm not sure how to implement is the euclidian distance-based friction. Would you be able to fork that pen and add it to the example? Or push me into the the right direction with that?",webondevices,sompylasar
402,2016-12-03 22:20:02,"@sompylasar , that is perfect, thank you!!",webondevices,sompylasar
399,2016-12-06 18:36:52,"> didLeave seems to be a more appropriate name than onRest. To me at least, onRest implies that the TransitionMotion component as a whole is no longer in motion. While, on the other hand, didLeave implies that a single child has finished transitioning out of the TransitionMotion component, yet other children may still be in motion.

@DetweilerRyan, that was also what I thought when naming it 'didLeave' :-)
`onRest` would be misleading compared with `<Motion onRest />`.
Next, I would suggest/PR for a `didEnter`, and those two combined would allow for a proper onRest implementation.

@chenglou do you see `react-motion` as abandonware? I still believe it's one of the best packages for doing spring animations in React. The spring logic is solid, but there is always room for further development for the API :-)",hkjorgensen,DetweilerRyan
399,2016-12-06 18:36:52,"> didLeave seems to be a more appropriate name than onRest. To me at least, onRest implies that the TransitionMotion component as a whole is no longer in motion. While, on the other hand, didLeave implies that a single child has finished transitioning out of the TransitionMotion component, yet other children may still be in motion.

@DetweilerRyan, that was also what I thought when naming it 'didLeave' :-)
`onRest` would be misleading compared with `<Motion onRest />`.
Next, I would suggest/PR for a `didEnter`, and those two combined would allow for a proper onRest implementation.

@chenglou do you see `react-motion` as abandonware? I still believe it's one of the best packages for doing spring animations in React. The spring logic is solid, but there is always room for further development for the API :-)",hkjorgensen,chenglou
399,2016-12-07 17:49:50,Yes to a new release please 🙏  thanks for this @hkjorgensen!,souporserious,hkjorgensen
399,2016-12-12 19:35:28,"@chenglou Thanks for the explanation - I still look forward to that new open source project :-)

> Thanks a lot for this PR. I'll be merging this. Do we want to make a new release?

Yes, please cut a new version. This expands the API and doesn't break anything :-)
",hkjorgensen,chenglou
394,2016-11-23 08:11:09,"@nkbt  Thanks for your advise. Actually I just want to animate color while animating offset, but React-Motion doesn't support it. So I have to use ""percentage"" to interpolate color. It would be great if React-Motion supports animating color.",lzl124631x,nkbt
394,2016-11-23 21:17:01,"@lzl124631x you can animate arbitrary numbers with react motion, and derive color from that number. Effectively:

",nkbt,lzl124631x
394,2017-03-07 19:46:04,"@tannerlinsley The ""non-numbers"" are effectively number-based if they can be interpolated. It's just the question of functional mapping from number to non-number, e.g. this: 


-----

But the notion of ""percentage of animation"", i.e. how close are you to the ""**end moment in time** of the animation"" (versus to the ""**target value** of the animation""), is not applicable to physics-based animations which `Motion` provides by default with `spring`.
",sompylasar,tannerlinsley
394,2017-03-07 20:07:54,"@sompylasar Right. The concept is very straightforward to interpolate anything using an integer, but the architecture and current api for react-motion doesn't make this very easy to do with strings, hexColors, paths, etc. 

A good example of this is animating a string. The amount of overhead the user would have to take on to build a linear conversion scale from one string to another is massive.  Luckily, d3-interpolate can handle that for you.  

If we assume that, then the problem boils down to finding a reliable way to construct the interpolator and percentage on every value change:



Even though it's not natural for a physics based animation system to know of the percentage between the current and destination value, it is possible.  You need to be able to:
- On change, use react-motion to spring from `n` to `n + 1`
- Keep track of `oldValue`, `newValue`,  `oldN`, and `n`
- Update the interpolator to use `oldValue` and `newValue`
- Utilize the decimal created from `n - oldN` to be utilized as the interpolator percentage

You should check out https://github.com/chenglou/react-motion/issues/153#issuecomment-284824453.  It's a (very shrude and quick proof of concept) abstraction that does exactly this.  I would love some feedback.",tannerlinsley,sompylasar
394,2017-03-08 05:11:33,"@tannerlinsley Good job there! I meant one cannot get the time-based percentage because the time moment when physical animation ends is not known in advance, without premodeling it. The value-based percentage can definitely be obtained, that's what is in the block you've shown. And it might overshoot in case of a spring (the complex easing curves can, too, so it should be fine).",sompylasar,tannerlinsley
392,2017-03-13 23:45:42,"Hej @johanatan How did u fix it ?, I have this similar issue",karna41317,johanatan
392,2017-03-15 02:18:44,@karna41317 I ended up having to drop this dependency and use jQuery animations instead.,johanatan,karna41317
