issue_num,datetime,body,login,mention_login
422,2017-01-21 01:40:39,"@souporserious `onEnter` in react-motion-ui-pack is a callback when animation starts, in the same moment as willEnter.

`didLeave` was added in last release, would be logical to add `didEnter` as well",klimashkin,souporserious
420,2017-03-01 16:54:50,@chenglou Done!,alleycat-at-git,chenglou
399,2016-12-06 18:36:52,"> didLeave seems to be a more appropriate name than onRest. To me at least, onRest implies that the TransitionMotion component as a whole is no longer in motion. While, on the other hand, didLeave implies that a single child has finished transitioning out of the TransitionMotion component, yet other children may still be in motion.

@DetweilerRyan, that was also what I thought when naming it 'didLeave' :-)
`onRest` would be misleading compared with `<Motion onRest />`.
Next, I would suggest/PR for a `didEnter`, and those two combined would allow for a proper onRest implementation.

@chenglou do you see `react-motion` as abandonware? I still believe it's one of the best packages for doing spring animations in React. The spring logic is solid, but there is always room for further development for the API :-)",hkjorgensen,chenglou
399,2016-12-07 17:49:50,Yes to a new release please 🙏  thanks for this @hkjorgensen!,souporserious,hkjorgensen
399,2016-12-12 19:35:28,"@chenglou Thanks for the explanation - I still look forward to that new open source project :-)

> Thanks a lot for this PR. I'll be merging this. Do we want to make a new release?

Yes, please cut a new version. This expands the API and doesn't break anything :-)
",hkjorgensen,chenglou
394,2016-11-23 08:11:09,"@nkbt  Thanks for your advise. Actually I just want to animate color while animating offset, but React-Motion doesn't support it. So I have to use ""percentage"" to interpolate color. It would be great if React-Motion supports animating color.",lzl124631x,nkbt
390,2016-11-09 02:01:05,"@nkbt Wow! Thanks! It works as long as I wrap `requestAnimationFrame` around updating state.

[Demo on CodePen](http://codepen.io/lzl124631x/pen/yVYYVa)
",lzl124631x,nkbt
390,2016-11-10 01:47:37,"@nkbt Can you kindly tell me why delaying updating state with setTimeout/requestAnimationFrame do the trick?
",lzl124631x,nkbt
390,2016-11-10 07:03:51,"Not really, maybe something to do with batch updates optimisations, but I
don't know for sure
On Thu., 10 Nov. 2016 at 12:52, 7z7 notifications@github.com wrote:

> @nkbt https://github.com/nkbt Can you kindly tell me why delaying
> updating state with setTimeout/requestAnimationFrame do the trick?
> 
> —
> You are receiving this because you were mentioned.
> 
> Reply to this email directly, view it on GitHub
> https://github.com/chenglou/react-motion/issues/390#issuecomment-259580118,
> or mute the thread
> https://github.com/notifications/unsubscribe-auth/AAKsoA0Q5MDkoqnlS2kOcY689h6QANIBks5q8ne6gaJpZM4KqOdn
> .
",nkbt,nkbt
371,2016-09-25 07:20:52,"@AgentME Merged, thanks! Can you check master still works?
",chenglou,AgentME
371,2016-09-25 07:43:15,"@chenglou Fix is in https://github.com/chenglou/react-motion/pull/373. I think the issue had to do with #371 containing #361's commit, but because they were both done in rebase mode git didn't recognize they were the same commit and it created conflicts. #373 fixes it.
",AgentME,chenglou
371,2016-09-25 20:37:40,"@chenglou can we get a new build? Would love to pull in this change, thanks @AgentME!
",twobit,chenglou
371,2016-09-25 20:37:40,"@chenglou can we get a new build? Would love to pull in this change, thanks @AgentME!
",twobit,AgentME
361,2016-08-23 03:22:00,"@bgeihsgt seems like it's breaking Eslint. maybe use `ReactElement<*>` instead?
",zhigang1992,bgeihsgt
361,2016-09-21 21:18:20,"Cool, thanks @AgentME!
",bgeihsgt,AgentME
361,2016-09-25 06:08:53,"@AgentME to be clear: if I merge this PR then merge #371, things will be fine?
",chenglou,AgentME
361,2016-09-25 07:14:03,"@chenglou Yes, that will work. (#371 actually contains the exact commit of this pull request; accepting both would be fine.)
",AgentME,chenglou
361,2016-09-25 07:18:02,"Let's try it then! Thanks @bgeihsgt and sorry for the wait!
",chenglou,bgeihsgt
357,2016-08-12 12:01:37,"@nkbt hi there, I'm trying to implement smooth scroll using this technique, but I can't quite understand how do you trigger scrolling component's onScroll and put scrollTop to state without experiencing default scrolling behaviour?

e.g I have following code



And Area looks like this



Don't mind debouncing, it doesn't quite fit here, throttling would work better I guess.
What I experience, with or without debouncing or throttling, is that native scroll behaviour triggers first  thus messing up area's scrollTop.  Any help would be greatly appreciated

And thanks for this library, I love it!
",berrtech,nkbt
357,2016-08-13 00:28:24,"@nkbt This may be simplified a bit if the X and Y handling is unified.



But the scroll handling is complex because the browser reports both user scrolling and API scrolling with the same ""scroll"" event -- these have to be distinguished.
",sompylasar,nkbt
