issue_num,datetime,body,login,mention_login
855,2017-03-01 13:34:41,"@matt- Those are just `...`, not  
<div style=""background:red"">
## x
</div>
.

<div style=""background:red"">
## x
</div>

.
```
yields
![4](https://cloud.githubusercontent.com/assets/1230531/23461790/9dc2f4ec-fe8b-11e6-96bc-b2b687b0def0.png)

This behavior looks wrong to me. Am I missing anything obvious?
",nerai,matt-
852,2017-02-09 22:03:16,"@matt- Yeah, I can add a test for it.",jeremyblalock,matt-
852,2017-02-10 18:27:42,"@matt- I updated the invalid link test / added a new one for the `decodeURIComponent` failure. 

On another note, noticed that we are not quite following the recommended test setup as described in the documentation, though. I don't see `links.sanitize.html` in `tests/new`. And so when you run `node test --fix` it will delete this test case, which I'm guessing is not the desired behavior. Are we ditching the `test/original` / `test/new` structure in favor of just putting everything in `/test/tests`? Let me know, I can move the files around if necessary get the `node test --fix` working properly.",jeremyblalock,matt-
852,2017-02-28 23:35:35,@matt- @chjj: any decision on this? This will produce the same behavior that github has in their markdown rendering support for data: urls.,jeremyblalock,matt-
849,2017-02-04 09:15:09,"@Jiang-Xuan 测试的时候字符串里没法打回车。
单行代码：\`\`\`testcode\`\`\`

多行代码：
\`\`\`
testcode
testcode2
\`\`\`

我遇到的是列表下面的多行代码有回车会被截断:
\- lsit1
\`\`\`
testcode1

\`\`\`
\- lsit2
\`\`\`
testcode2
\`\`\`

这种情况- lsit2被标记成了代码，我是想让testcode1,testcode2成为代码",1010543618,Jiang-Xuan
849,2017-02-04 10:39:05,@Jiang-Xuan 我是这几天才看的markdown，以前一直没接触过，感觉每种解析器的解析都有点差别。我是准备想办法让\`\`\`包裹的代码块里的换行不被列表的\-识别了当成结束列表，但js没学好=\_=。我再试试不然就像你说的先结束了列表在用代码块。十分感谢^\_^,1010543618,Jiang-Xuan
849,2017-02-04 11:03:10,@Jiang-Xuan 恩，造个轮子可有点难。反正假期有空好好研究研究作者的代码,1010543618,Jiang-Xuan
849,2017-02-12 16:24:07,"@fadiquader 
eh... I just tried this method,but it can only remove white space characters or other predefined character on either side of the string.  
I want to remove line feed character in a one string.  
Maybe I should use regular expression to match \n\n and remove one \n.  
Thank you.",1010543618,fadiquader
846,2017-02-05 21:40:09,"@Drew-S Good idea, vote for this! That's what I needed implementing plugins #821.",rumkin,Drew-S
845,2017-02-10 08:29:38,"@badbye 
If you edit `marked.InlineLexer.rules.em` to `/^\*((?:\*\*|[\s\S])+?)\*(?!\*)/`.

`_marked_` can not to generate `em` element",Jiang-Xuan,badbye
844,2017-02-14 01:04:21,"Heya @matt- 
Can we expect a version bump out soon? We're interested in this fix and would like to avoid depending on a specific github commit if possible. ;)  ",paulirish,matt-
844,2017-02-15 17:43:07,"@paulirish note in the meantime you can also use a Snyk patch (see the bottom of https://snyk.io/vuln/npm:marked:20170112). 

When we initially reported the problem it had no fix, but once Matt created a fix we captured it as a Snyk patch too. More about Snyk patches here: https://snyk.io/docs/security 
",guypod,paulirish
821,2017-02-05 21:31:32,@jHoldroyd Thanks. Fixed this.,rumkin,jHoldroyd
821,2017-02-10 11:35:01,@naivefun Do you expect to see exact plugin example?,rumkin,naivefun
821,2017-02-10 11:45:23,"@rumkin actually it is very straightforward, but still if there are very common use cases like @youtube, @vimeo, even @tweet, that would be great for beginners to learn.",naivefun,rumkin
821,2017-02-13 09:37:44,@naivefun Done.,rumkin,naivefun
821,2017-03-03 12:48:41,"@jHoldroyd There is one issue with that regexp it will not match single space.



This will not be matched, it mean that single tab would not be matched too. So I've replaced `(\s+){2,}` with `(\s{2,}|\t{1,})`, this is [updated regex](https://regex101.com/r/76YMYB/3).

Thanks for help.",rumkin,jHoldroyd
799,2016-12-27 11:01:19,"@wookayin I found that [markdown-here](https://github.com/adam-p/markdown-here) forked this project and it support LaTeX.

Then I copied his [marked.js](https://github.com/adam-p/markdown-here/blob/master/src/common/marked.js), then


Usage: ${YOUR_LaTeX_Code}$
Ex:
`$E = \frac{mc^2}{\sqrt{1-\frac{v^2}{c^2}}}$`

;)",j16180339887,wookayin
799,2017-01-27 12:10:31,"@ViktorQvarfordt Great work!

Since you are already parsing the input, do you think you could return the delimeters and the contained TeX separately? This would allow for easy renderers like:



without further parsing.",hgustafsson,ViktorQvarfordt
784,2016-09-27 19:50:42,"I agree with @Feder1co5oave this works exactly the same as Github and works as expected. 
",matt-,Feder1co5oave
781,2016-08-06 22:02:00,"@d-prime Is this issue resolved? If so, please close it. Thanks!
",RyanZim,d-prime
777,2016-07-27 22:09:55,"@kittykatattack Are you running your JS in node.js? If so, you can do:


",RyanZim,kittykatattack
777,2016-08-06 22:02:49,"@kittykatattack If this resolves things for you, please close this issue. Thanks!
",RyanZim,kittykatattack
773,2016-08-11 14:10:28,"Thanks @Feder1co5oave, had something similar in mind but was hoping for a cleaner solution.
",sn3p,Feder1co5oave
772,2016-08-30 04:19:02,"@Feder1co5oave  THX
",xueyuchen,Feder1co5oave
771,2016-08-07 17:45:06,"Hi @Feder1co5oave ,
Yes, I got it working, I meant. If you were to put just a link without formatting `[]()` for images would it parse them correctly. But solution I used was, after filtering links, I filter link to check if it is image and used above markdown as you mentioned.
",feruzm,Feder1co5oave
756,2016-06-12 10:47:46,"@chjj Hey Jonathan, thanks a lot for your input. I know it can be hard to let go - I've been there. But it's not that you forgive your rights as the original author and repo owner. You still get the email for the PR and if something is not going the way you want it you can just speak up. By adding other contributors you will just share the load on the easy stuff. You can still veto bigger changes. Best case you got some contributor growing to understand the all the details of the code base. Just give it a leap of faith.

And all is better than not fixing the security issue like it at the moment. So having at least one more contributor that also has access to npm would be fantastic.
",tcurdt,chjj
756,2016-06-12 11:15:43,"@tcurdt, maybe I gave the wrong impression. I have no problem with others taking over development of marked. I have no issues with letting go. In the past I was just hesitant for someone else to have full autonomy because I was so protective of marked's performance. I had pretty strong opinions about what marked should be. Of course, it didn't matter that I didn't have another maintainer back then since I was still actively working on it, and marked isn't a very large project to begin with.

Anyway, things change, I've changed. I'm open to maintainers and contributors adding more features despite minor perf hits.

So, to be clearer this time, I'm completely open to whatever comes of this. Another maintainer would be great. Multiple maintainers would be even better (no more single point of failure (me)). We'll see what happens here.
",chjj,tcurdt
756,2016-06-13 10:34:43,"@chjj It's great that marked won't die. How will you choose maintainers? Public vote for them? Or your personal choice? 
",lgg,chjj
756,2016-06-14 21:21:40,"Hi @chjj,
I submitted https://github.com/chjj/marked/issues/592 and would be happy to contribute a maintainer.  I am currently working for a security company building runtime data flow analysis in Node. I think I would be able to contribute. 
",matt-,chjj
756,2016-06-16 17:14:25,"I feel like given the popularity of `marked` we should definitely keep the project going and at least keep it maintained and suitable for use in other important projects!
As for me I would be glad to help tidy up the issue list, review and merge pull requests, and work out some fixes as well (I have a pretty good understanding of most of the code by now).
Many issues need to be closed or tagged, important fixes must be applied (e.g. the one by @matt-).

There are also some feature requests that are legitimate but I am unsure whether they should be included in marked. I feel like we should set some guidelines about philosophy and future development.
_For example_, what to do about automatically generated IDs for headers ( #664 ), inline links with parenthesis ( #619 #448 ), github task lists ( #689 )...

We would also appreciate some kind of comment from @ChrisWren since he's been a maintainer for a long time. He's been pretty inactive on Github for a while so we'd understand if he is busy at the moment. Just givin' him a shout out.
",Feder1co5oave,matt-
756,2016-06-19 07:01:39,"Hey @Feder1co5oave I only made some README improvements a long time ago when I was learning about node.js. I no longer am actively writing node or using this project so I won't be contributing. Would be cool for other people to maintain who are using it and want to add features/improvements.
",ChrisWren,Feder1co5oave
756,2016-07-07 07:27:19,"@chjj Hey Jonathan, could you? Please.
",tcurdt,chjj
756,2016-07-07 22:55:23,"I've added @matt- and @parleur as contributors. Thank you guys for stepping up. This repo needs maintenance. Once we get something going here we can get a better idea of where the project is headed. You guys have full authority for merging PRs. Any major features (i.e. new syntax) should be thoroughly discussed in PRs first. I'll try to keep my eye on PRs that propose any new features and give my input, but I don't think I should be a dictator of this project anymore.

I will be here to publish new versions in NPM once they're tagged.

I apologize to everyone for the stagnation of this project over the past several months. I think we can pick up where I left off though.
",chjj,matt-
756,2016-07-07 22:55:23,"I've added @matt- and @parleur as contributors. Thank you guys for stepping up. This repo needs maintenance. Once we get something going here we can get a better idea of where the project is headed. You guys have full authority for merging PRs. Any major features (i.e. new syntax) should be thoroughly discussed in PRs first. I'll try to keep my eye on PRs that propose any new features and give my input, but I don't think I should be a dictator of this project anymore.

I will be here to publish new versions in NPM once they're tagged.

I apologize to everyone for the stagnation of this project over the past several months. I think we can pick up where I left off though.
",chjj,parleur
756,2016-07-07 23:19:44,"@chjj thanks. and awesome work on this library so far
",SimonCropp,chjj
756,2016-07-08 05:43:06,"@SimonCropp maybe left it open for some more time. until others will recognize that project is still alive?
",lgg,SimonCropp
756,2017-02-21 23:10:26,@chjj won't version bump or push out the currently merged stuff (including security issues). Our hands are tied. ,matt-,chjj
756,2017-02-21 23:29:03,I guess having someone else being able to push to npm is more important than having access to this repo. Maybe @chjj could just do that?,tcurdt,chjj
756,2017-02-22 18:08:28,"@markstos That would work, as long as this repo is deprecated and noted in the README to point to the new, active repo. Otherwise you're just adding one more fork to the existing [1685 forks](https://github.com/chjj/marked/network) out there. 🍴 ",styfle,markstos
756,2017-02-22 18:41:22,"@styfle but how many forks have published on NPM? 

Developers are responsible for evaluating the quality the module they are choosing to integrate into their project. Checking a project's issue tracker for major update bugs, security issues and general maintenance before choosing a module can save considerable headache later.

In this case, there is already an open ""Call for Maintainers"" thread which should be flag for anyone evaluating choices for Markdown processors.",markstos,styfle
744,2016-04-30 01:18:53,"@nelsonlho 

(I'm not affiliated, but...)

I tried your link and got a 404.  Is your pen still active?  (Or did you resolve your issue?)
",scott-m-sarsfield,nelsonlho
