issue_num,datetime,body,login,mention_login
855,2017-03-01 13:34:41,"@matt- Those are just `...`, not  
<div style=""background:red"">
## x
</div>
.

<div style=""background:red"">
## x
</div>

.
```
yields
![4](https://cloud.githubusercontent.com/assets/1230531/23461790/9dc2f4ec-fe8b-11e6-96bc-b2b687b0def0.png)

This behavior looks wrong to me. Am I missing anything obvious?
",nerai,matt-
852,2017-02-09 22:03:16,"@matt- Yeah, I can add a test for it.",jeremyblalock,matt-
852,2017-02-10 18:27:42,"@matt- I updated the invalid link test / added a new one for the `decodeURIComponent` failure. 

On another note, noticed that we are not quite following the recommended test setup as described in the documentation, though. I don't see `links.sanitize.html` in `tests/new`. And so when you run `node test --fix` it will delete this test case, which I'm guessing is not the desired behavior. Are we ditching the `test/original` / `test/new` structure in favor of just putting everything in `/test/tests`? Let me know, I can move the files around if necessary get the `node test --fix` working properly.",jeremyblalock,matt-
852,2017-02-28 23:35:35,@matt- @chjj: any decision on this? This will produce the same behavior that github has in their markdown rendering support for data: urls.,jeremyblalock,matt-
844,2017-02-14 01:04:21,"Heya @matt- 
Can we expect a version bump out soon? We're interested in this fix and would like to avoid depending on a specific github commit if possible. ;)  ",paulirish,matt-
756,2016-06-12 10:47:46,"@chjj Hey Jonathan, thanks a lot for your input. I know it can be hard to let go - I've been there. But it's not that you forgive your rights as the original author and repo owner. You still get the email for the PR and if something is not going the way you want it you can just speak up. By adding other contributors you will just share the load on the easy stuff. You can still veto bigger changes. Best case you got some contributor growing to understand the all the details of the code base. Just give it a leap of faith.

And all is better than not fixing the security issue like it at the moment. So having at least one more contributor that also has access to npm would be fantastic.
",tcurdt,chjj
756,2016-06-13 10:34:43,"@chjj It's great that marked won't die. How will you choose maintainers? Public vote for them? Or your personal choice? 
",lgg,chjj
756,2016-06-14 21:21:40,"Hi @chjj,
I submitted https://github.com/chjj/marked/issues/592 and would be happy to contribute a maintainer.  I am currently working for a security company building runtime data flow analysis in Node. I think I would be able to contribute. 
",matt-,chjj
756,2016-06-16 17:14:25,"I feel like given the popularity of `marked` we should definitely keep the project going and at least keep it maintained and suitable for use in other important projects!
As for me I would be glad to help tidy up the issue list, review and merge pull requests, and work out some fixes as well (I have a pretty good understanding of most of the code by now).
Many issues need to be closed or tagged, important fixes must be applied (e.g. the one by @matt-).

There are also some feature requests that are legitimate but I am unsure whether they should be included in marked. I feel like we should set some guidelines about philosophy and future development.
_For example_, what to do about automatically generated IDs for headers ( #664 ), inline links with parenthesis ( #619 #448 ), github task lists ( #689 )...

We would also appreciate some kind of comment from @ChrisWren since he's been a maintainer for a long time. He's been pretty inactive on Github for a while so we'd understand if he is busy at the moment. Just givin' him a shout out.
",Feder1co5oave,matt-
756,2016-07-07 07:27:19,"@chjj Hey Jonathan, could you? Please.
",tcurdt,chjj
756,2016-07-07 22:55:23,"I've added @matt- and @parleur as contributors. Thank you guys for stepping up. This repo needs maintenance. Once we get something going here we can get a better idea of where the project is headed. You guys have full authority for merging PRs. Any major features (i.e. new syntax) should be thoroughly discussed in PRs first. I'll try to keep my eye on PRs that propose any new features and give my input, but I don't think I should be a dictator of this project anymore.

I will be here to publish new versions in NPM once they're tagged.

I apologize to everyone for the stagnation of this project over the past several months. I think we can pick up where I left off though.
",chjj,matt-
756,2016-07-07 23:19:44,"@chjj thanks. and awesome work on this library so far
",SimonCropp,chjj
756,2017-02-21 23:10:26,@chjj won't version bump or push out the currently merged stuff (including security issues). Our hands are tied. ,matt-,chjj
756,2017-02-21 23:29:03,I guess having someone else being able to push to npm is more important than having access to this repo. Maybe @chjj could just do that?,tcurdt,chjj
727,2017-02-21 23:22:20,@matt- you're right. @chjj seems to only works on [bcoin](https://github.com/bcoin-org/bcoin) now. That's why is switched to [markdown-it](https://github.com/markdown-it/markdown-it) instead. That is active and support [CommonMark](http://commonmark.org/).,noraj1337,matt-
659,2015-09-11 07:25:33,"@chjj Could you please provide a reference? For me this seems to be not deprecated (e.g. on [HTML5 Spec](http://www.w3.org/TR/html5/browsers.html#valid-browsing-context-name-or-keyword) or [W3Schools](http://www.w3schools.com/tags/att_a_target.asp).

Well of course there are lots of use cases where you want to open specific links (e.g. that were rendered via marked) in a new tab. For example I'm currently building a webapp where informations about documents are shown. These informations are written in Markdown and parsed with marked. However, if the user clicks on a link in the informations about a document he just wants to open that link in the foreground but don't want to leave the app completely (because he may want to open multiple documents). So in fact, this is a very important standard for me and I think for other too.
",julmot,chjj
659,2015-11-13 15:09:03,"@chjj 
",julmot,chjj
659,2017-01-18 03:37:30,"So, I need this and will be manually pulling code from this PR into a project.

@chjj, if you need another use case, here's one: I'm working on a Sandstorm app package. Sandstorm runs web apps in a sandbox, and restricts their behavior in the frame in which they live. External links *only* work in Sandstorm apps if they open in a new tab, therefore, all links for this app must have this behavior.

Code I am integrating from a non-Sandstorm version of this app uses marked.js, so in order for their code to work correctly in the Sandstorm version, I need this option.",ocdtrekkie,chjj
642,2015-08-19 22:54:40,"@chjj Please be careful reviewing such PRs that break backwards compatibility.
If necessary, bump the minor or major version for npm package. This rule broke many headings for everyone doing `npm install` in the last week or so.
",nilgradisnik,chjj
642,2015-10-01 01:33:52,"@chjj please reconsider re-opening this issue. GFM does allow for `##Header` (though strangly not in comments) in repo content: https://github.com/bmneely/spartacus/blob/master/README.md
",bmneely,chjj
618,2015-07-15 23:02:53,"Thanks for the response @chjj!

In my case, the ""else"" I have in mind is likely other Jupyter and IPython developers. We use `marked` and `term.js` for the IPython notebook which is used by lots of researchers, scientists, and data scientists the world over. We'd prefer to help with existing community packages instead of creating complete forks ourselves.

At least for me, I think some mentoring time is useful. I can start learning more about profiling the current implementation as well as against, e.g. [commonmark.js](https://github.com/jgm/commonmark.js).
",rgbkrk,chjj
618,2015-07-23 21:13:34,"@chjj What do you think about @Pomax as an additional maintainer?
",rgbkrk,chjj
616,2015-07-31 09:30:27,"@papandreou, your PR caused 2 tests to fail. I've reverted it to the old rule changing `[\s\S]+` to `[\s\S]*` which passes your added tests.
",chjj,papandreou
616,2015-07-31 09:51:48,"@papandreou, I modified the old rule to allow no text within the code fences, so now the tests you added pass, along with all the others.
",chjj,papandreou
592,2016-01-25 20:47:37,"@matt- any recommendation for alternatives?
",alexkravets,matt-
592,2016-01-26 10:01:46,"@matt- thanks a ton!
",alexkravets,matt-
592,2016-04-27 13:24:39,"@matt- Remarkable looks great (very very clean) but it's about 6x the size of Marked.  For some use-cases (client-side) it seems like Marked would be preferable on those grounds (though for anything else I'm probably going to be using remarkable given the focus on performance).
",developit,matt-
592,2016-06-03 15:46:51,"@matt- I was able to reproduce this in indeed. I may have been confused due to the fact that post-process links and images, mitigating this issue.
",mvhenten,matt-
592,2016-06-03 15:49:57,"@matt- sorry I work with @mvhenten and we thought it was resolved but it was only not affecting us due to post-processing. This is still a valid issue. Thanks for the test cases. 
",timjrobinson,matt-
592,2016-06-07 16:41:03,"@matt- You said that you made a fork - have you published in on npm? I agree with you that this module should never be used for any project if it has such a poor record of dealing with security issues, but there are already 1600 modules on npm that depend on it and having a version on npm with your patch applied would make it possible to quickly fix them (and who knows how many other modules that depend on those 1600) with a simple change of `require('marked')` to `require('marked-secure')` (or however your fork would be named) as a temporary fix before they can all be updated to use better markdown parsers.

Having a security vulnerability in at least 1600 modules on npm even though a fix has been available **for over a year** now but the maintainer can't be bothered to click a merge button is a serious problem. The project may be dead in a sense that its original author doesn't care about it any more but it's anything but dead when you consider its usage:
![](https://nodei.co/npm/marked.png?downloads=true&downloadRank=true&stars=true)
![](https://nodei.co/npm-dl/marked.png)
It's being used all over the place - [including the official Node.js website](https://david-dm.org/nodejs/nodejs.org) - it has 1.5 million downloads per month and growing.

I found out about this issue today by a coincidence because I saw **""dependencies: insecure""** badge in the [readme](https://github.com/nodejs/nodejs.org/blob/master/README.md) of the https://nodejs.org/ website's [GitHub project](https://github.com/nodejs/nodejs.org), which was linked to [the nodejs.org entry on david-dm.org](https://david-dm.org/nodejs/nodejs.org) that had a big red **""SECURITY VULNERABILITIES IN DEPENDENCIES""** and a link to the [marked content-injection advisory](https://nodesecurity.io/advisories/marked_content-injection) on the Node Security Platform - which in turn included a link to this very pull request. If I hadn't clicked that badge I would probably never know about any security problems with that module - I would certainly never go through all the issues and PRs to find this one or #724 and know that this projects is dead and insecure, because there is not even a hint about any problem with that module in its readme on GitHub and npm
",rsp,matt-
592,2016-06-12 11:23:10,"Especially @matt- please check out https://github.com/chjj/marked/issues/756
",tcurdt,matt-
592,2016-07-13 14:52:37,"@matt- now that you're a maintainer can you merge / release this please :)
",timjrobinson,matt-
592,2016-07-29 18:16:36,"No reason to keep delaying on this, please merge @matt-
",STRML,matt-
592,2016-07-29 20:06:47,"@matt- Can you `npm version patch && npm publish` yourself or does it still have to be done by @chjj? The version on npm is still 0.3.5 published 12 months ago: https://www.npmjs.com/package/marked
",rsp,matt-
592,2016-07-30 03:07:41,"That is all @chjj

On Friday, July 29, 2016, Rafał Pocztarski notifications@github.com wrote:

> @matt- https://github.com/matt- Can you npm version patch && npm publish
> yourself or does it still have to be done by @chjj
> https://github.com/chjj? The version of npm is still 0.3.5 published 12
> months ago: https://www.npmjs.com/package/marked
> 
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> https://github.com/chjj/marked/pull/592#issuecomment-236280610, or mute
> the thread
> https://github.com/notifications/unsubscribe-auth/AAbr4sQX5-C4C_BdSAvsUq5sjg32a6Tdks5qal1agaJpZM4Eg7pd
> .

## 

../matt
",matt-,matt-
592,2016-07-30 03:10:54,"@matt-, published. Great work guys.
",chjj,matt-
