issue_num,datetime,body,login,mention_login
3222,2017-03-28 02:02:37,"@Adlai-Holler Sorry about that, I made some changes, could you please review it again and thanks for your time.",CaptainTeemo,Adlai-Holler
3210,2017-03-24 05:37:09,Just ran into this earlier today. Thanks @rcancro for fixing! ✋ ,connor,rcancro
3209,2017-03-22 14:34:24,Hey @FanJianRong This is a very hard question to solve within a Github Issue. I will close this issue and please join our Slack channel and ask in there: http://asyncdisplaykit.org/slack.html  Thanks!,maicki,FanJianRong
3202,2017-03-22 16:29:26,"@Luis-X Hey, can you please post a crash log in here? Thanks!",maicki,Luis-X
3201,2017-03-22 18:39:31,@Rokimkar Could you provide some sample code with a repro? Are you using `estimatedItemSize` as @hamewang mentioned?,Adlai-Holler,hamewang
3201,2017-03-22 18:39:31,@Rokimkar Could you provide some sample code with a repro? Are you using `estimatedItemSize` as @hamewang mentioned?,Adlai-Holler,Rokimkar
3201,2017-03-23 01:07:39,"@Adlai-Holler create viewController extens ASViewController， overwrite  init Method
- (instancetype)init {
    UICollectionViewFlowLayout *fLayout = [[UICollectionViewFlowLayout alloc] init];
    fLayout.minimumLineSpacing = 10;
    fLayout.minimumInteritemSpacing = 10;
    fLayout.estimatedItemSize = CGSizeMake(100, 50);
    ASCollectionNode *mainNode = [[ASCollectionNode alloc] initWithCollectionViewLayout:fLayout];
    if (self = [super initWithNode:mainNode]) {
        mainNode.dataSource = self;
        mainNode.delegate = self;
    }
    return self;
}

ASCollectionDataSource Method

- (ASCellNodeBlock)collectionNode:(ASCollectionNode *)collectionNode nodeBlockForItemAtIndexPath:(NSIndexPath *)indexPath {
    return ^ASCellNode *() {
        ASTextCellNode *nodel = [[ASTextCellNode alloc] init];
        nodel.text = @""aaaa"";
        return nodel;
    };
}

 self.navigationController pushViewController   this method is OK;
but  self.navigationController popViewControllerAnimated this method error
",hamewang,Adlai-Holler
3201,2017-03-23 06:41:56,@Adlai-Holler  [https://github.com/naveen7b/AsyncDisplayKit-Example](link) link for the example project. This project will work fine if the Async display kit version is before 2.2 and it is crashing for version 2.2. Thanks @naveen7b  for the sample code.,Rokimkar,naveen7b
3201,2017-03-23 06:41:56,@Adlai-Holler  [https://github.com/naveen7b/AsyncDisplayKit-Example](link) link for the example project. This project will work fine if the Async display kit version is before 2.2 and it is crashing for version 2.2. Thanks @naveen7b  for the sample code.,Rokimkar,Adlai-Holler
3197,2017-03-18 14:13:57,Hey @iOSUser110 if you have questions please join our Slack Channel: http://asyncdisplaykit.org/slack.html,maicki,iOSUser110
3196,2017-03-18 14:13:30,Hey @iOSUser110 if you have questions please join our Slack Channel: http://asyncdisplaykit.org/slack.html,maicki,iOSUser110
3195,2017-03-18 01:54:52,"Hi @KKKiller, the result is expected as you use a network image node within your cell node, every time you use `reloadData` the `ASNetworkImageNode` fetches the image either from network or from the local cache. As this happens asynchronous this will result in kind of this flicker your observe.

I will close this issue if you have further questions how to use ASDK please join our Slack Channel: http://asyncdisplaykit.org/slack.html",maicki,KKKiller
3193,2017-03-20 02:40:30,"@ImJCabus Hey! The core team had a discussion about this PR and we decided against bringing it in for now. We are trying to limit complexity in ASDisplayNode for now and there are some good ways around this (e.g. the visible state changes discussed with @appleguy in the Slack channel). Although we didn't merge this PR, we are really appreciated it and we hope we will see more in the future. Thanks!",maicki,ImJCabus
3192,2017-03-16 11:17:43,@iOSUser110 Check this issue (#2952) there is an example of how to add `UIKit` elements as `nodes`,EviluS,iOSUser110
3189,2017-03-16 10:53:24,"@iOSUser110 
you just need to add the `UISwitch` in the `didLoad`",abellee,iOSUser110
3189,2017-03-16 10:57:24,"as ASCellNode provide only addSubnode 
and addSubnode accepts only Node from ASDK
it is not allowing to add UIView then how to do that ? please specify the code snippet for ASCellNode with ASTextNode and one UISwitch 
Waiting for your reply @abellee 
",iOSUser110,abellee
3189,2017-03-16 11:22:13,@iOSUser110 Check this issue (#2952) there is an example of how to add UIKit elements as nodes,EviluS,iOSUser110
3181,2017-03-15 19:03:17,"@maicki LGTM, merge away!",nguyenhuy,maicki
3180,2017-03-14 16:19:15,"@simonyang81 Hey, please look into the `- (instancetype)initWithViewBlock:(ASDisplayNodeViewBlock)viewBlock;` and similar initializer. The view block allows you to return a view that is used as a backing view of the node. Thanks!

If you have further questions please ask in our Slack channel: http://asyncdisplaykit.org/slack.html",maicki,simonyang81
3178,2017-03-15 21:45:38,"@appleguy Not dug too much into this but gave this branch a try to see if we saw any improvements with seeing Couldn't find 'visible' supplementary element of kind %@ at index path %@ in map %@ come up within Buffer. 

When using this branch it looks like our ASCellNode backed supplementary nodes no longer display. They display correctly when using ASDK from master.",ay8s,appleguy
3174,2017-03-12 19:57:22,"@Kaspik so it is a bug?
now I only have to set `lineHeightMultiple` instead of `lineSpacing` to avoid this problem",abellee,Kaspik
3172,2017-03-14 12:33:38,@maicki Sounds good to me. ,nguyenhuy,maicki
3171,2017-03-13 15:35:58,"@maicki Thanks and don't worry, I added it myself LOL. Will merge when CI finishes.",nguyenhuy,maicki
3169,2017-03-14 12:27:23,"@harryworld Thank you for your reply.  It is now clear that we are not on the same page.  I'm sorry about the confusion and let me try to explain better.

First, let's limit the scope of this discussion to item moves.  It's totally fine to work on section moves later on, even in a follow up PR.

You're right that moves should be treated similar to reloads in the sense that `_ASHierarchyChangeSet` records them as-is and let other components (`ASDataController`, `ASTableView` and `ASCollectionView`) decide how to process them.  With that, I believe a valid implementation consists of 4 independent steps:
  1. Record move updates into a change set.  They should be recored as-is and not be split into inserts and deletes.  This is because a change set should be regarded as the source of truth, which sadly has not always been the case.  How an update will be processed later on is not the responsibility of this step and thus it should not care about it.
  2. Validate the updates.  In this set we care about whether the indices in all updates are valid.  As a result, for each move, we have to validate it such that:
     - Its ""from"" index is valid in the original index space.  It means we have to merge the index into indices of original delete updates and validate.
     - Its ""to"" index is valid in the future index space.  That means we put it into the list of original insert updates and validate.
  3. `ASDataController` to process moves.  The goal of this step is to make sure the internal properties of ASDataController is correctly updated.
     - It's important that for a move, we don't throw away the existing (often visible) node and load a new one which I believe is what currently happening in this PR and triggers the assertion [here](https://github.com/facebook/AsyncDisplayKit/pull/3169/files#diff-fb6dadff65468c53595c164828199c83L422).  Even if we manage to silent the assertion, we'll need to make sure the new node has the same states as the previous one.  And then I think it's inevitable that a flash will occur while the new node is being rendered.  The flash will be especially bad for an interactive move. 
     - I believe the correct implementation of this step needs to be implemented in `-[ASDataController _updateElementsInMap:changeSet:]`.  We need 2 smaller steps:

       3.1. Grab the node at the ""from"" index path of each move and store it into a temporary storage but use the ""to"" index path as key to indicate the future position of this node.  Then we put the ""from"" index path into a list of other deleted index paths that are originated from delete updates, sort them in descending order and remove items at these index paths from the provided element map.

       3.2. Collect all index paths from both move updates (""to"" index paths) and insert updates, sort them in ascending order and insert items one by one. For each index path, either grab an existing node from the above temporary storage if available, or  populate a new one (in case of original inserts).
     - Regarding supplementary nodes, we can delete them as part of step 3.1 and repopulate as part of step 3.2.  Aggressive reloading is not ideal, but it has been the case for other type of updates and improving it is not the scope of this PR.
  4. `ASCollectionView` and `ASTableView` to forward all move updates to their super as-is.  This step is pretty straightforward.  The general rule is that we should always forward original updates.


After having a concrete implementation for native item moves, we'll be in a pretty good shape to implement section moves.  We'll also need to revisit the need for separate delete and original delete changes in `_ASHierarchyChangeSet` (as well as insert and original insert changes).

Please let me know if there is anything unclear.  As our working schedules don't overlap much, feel free to go ahead with implementing any steps and we'll discuss more on the actual code. Thank you!
",nguyenhuy,harryworld
3164,2017-03-11 08:35:20,"@ay8s Sorry for the hassle! I've submitted a PR that should fix this. On the upside, imho, the button is a bit cleaner without the text :P",nguyenhuy,ay8s
3163,2017-03-11 07:37:26,@ay8s are you seeing flashes similar to [this](https://github.com/facebook/AsyncDisplayKit/issues/2536#issuecomment-285351461)? Please try disabling placeholders of all cell nodes.,nguyenhuy,ay8s
3163,2017-03-12 07:17:26,@nguyenhuy Exactly like that however when setting neverShowPlaceholders to YES on update nodes I seem to see the same behavior where some removals will animate with animation and others with a flash.,ay8s,nguyenhuy
3163,2017-03-13 09:19:37,"@ay8s I'd appreciate some more details. What updates (i.e removals or reloads) are issued to your collection view? One way to get this information is printing out the change set provided in `-ASDataController:updateWithChangeSet:`. I'm also interested in the `animated` BOOL of each change set.

On the other hand, if you could modify an example (e.g ASDKgram) to produce the same problem, I can jump on it and start debugging right away. Thanks!",nguyenhuy,ay8s
3163,2017-03-13 11:07:18,"@nguyenhuy After Setting neverShowPlaceholders to YES doesn't work in collectionNode.
I have uploaded the demo video.
[Flashing-bug.mov.zip](https://github.com/facebook/AsyncDisplayKit/files/837983/Flashing-bug.mov.zip)
I reproduced this issue in simple example
[Flashing-Bug.zip](https://github.com/facebook/AsyncDisplayKit/files/837973/Flashing-Bug.zip)
",davitPiloyan93,nguyenhuy
3163,2017-03-14 16:24:53,"@davitPiloyan93 Your flash is unrelated to the one described in this issue.  Your project is not using IGListKit and it is using ASDK 2.2 in which flashes caused by `reloadData` is a known issue.  That being said, the real reason your image nodes flicker is because you don't provide a default image /placeholder color and a fading duration.  Also your actual image is too big which takes a while to be render off main and once that finished, the buffer is swapped immediately and that causes the flashing effect. You can simply eliminate it by these 2 lines:



Note that `self.neverShowPlaceholders = YES;` is still needed for your text node.",nguyenhuy,davitPiloyan93
3163,2017-03-14 16:35:12,"Cool, thanks @ay8s!",nguyenhuy,ay8s
3162,2017-03-11 15:29:40,"@appleguy Did you have a change to re-test that? I couldn't reproduce that within terminal, Xcode or on CI ...",maicki,appleguy
3162,2017-03-22 16:30:29,@appleguy I will close this issue for now as we cannot reproduce it. If it comes up again please reopen. Thanks!,maicki,appleguy
