issue_num,datetime,body,login,mention_login
3222,2017-03-28 02:02:37,"@Adlai-Holler Sorry about that, I made some changes, could you please review it again and thanks for your time.",CaptainTeemo,Adlai-Holler
3210,2017-03-24 05:37:09,Just ran into this earlier today. Thanks @rcancro for fixing! ✋ ,connor,rcancro
3201,2017-03-23 01:07:39,"@Adlai-Holler create viewController extens ASViewController， overwrite  init Method
- (instancetype)init {
    UICollectionViewFlowLayout *fLayout = [[UICollectionViewFlowLayout alloc] init];
    fLayout.minimumLineSpacing = 10;
    fLayout.minimumInteritemSpacing = 10;
    fLayout.estimatedItemSize = CGSizeMake(100, 50);
    ASCollectionNode *mainNode = [[ASCollectionNode alloc] initWithCollectionViewLayout:fLayout];
    if (self = [super initWithNode:mainNode]) {
        mainNode.dataSource = self;
        mainNode.delegate = self;
    }
    return self;
}

ASCollectionDataSource Method

- (ASCellNodeBlock)collectionNode:(ASCollectionNode *)collectionNode nodeBlockForItemAtIndexPath:(NSIndexPath *)indexPath {
    return ^ASCellNode *() {
        ASTextCellNode *nodel = [[ASTextCellNode alloc] init];
        nodel.text = @""aaaa"";
        return nodel;
    };
}

 self.navigationController pushViewController   this method is OK;
but  self.navigationController popViewControllerAnimated this method error
",hamewang,Adlai-Holler
3201,2017-03-23 06:41:56,@Adlai-Holler  [https://github.com/naveen7b/AsyncDisplayKit-Example](link) link for the example project. This project will work fine if the Async display kit version is before 2.2 and it is crashing for version 2.2. Thanks @naveen7b  for the sample code.,Rokimkar,Adlai-Holler
3181,2017-03-15 19:03:17,"@maicki LGTM, merge away!",nguyenhuy,maicki
3178,2017-03-15 21:45:38,"@appleguy Not dug too much into this but gave this branch a try to see if we saw any improvements with seeing Couldn't find 'visible' supplementary element of kind %@ at index path %@ in map %@ come up within Buffer. 

When using this branch it looks like our ASCellNode backed supplementary nodes no longer display. They display correctly when using ASDK from master.",ay8s,appleguy
3172,2017-03-14 12:33:38,@maicki Sounds good to me. ,nguyenhuy,maicki
3171,2017-03-13 15:35:58,"@maicki Thanks and don't worry, I added it myself LOL. Will merge when CI finishes.",nguyenhuy,maicki
3164,2017-03-11 08:35:20,"@ay8s Sorry for the hassle! I've submitted a PR that should fix this. On the upside, imho, the button is a bit cleaner without the text :P",nguyenhuy,ay8s
3163,2017-03-11 07:37:26,@ay8s are you seeing flashes similar to [this](https://github.com/facebook/AsyncDisplayKit/issues/2536#issuecomment-285351461)? Please try disabling placeholders of all cell nodes.,nguyenhuy,ay8s
3163,2017-03-12 07:17:26,@nguyenhuy Exactly like that however when setting neverShowPlaceholders to YES on update nodes I seem to see the same behavior where some removals will animate with animation and others with a flash.,ay8s,nguyenhuy
3163,2017-03-13 09:19:37,"@ay8s I'd appreciate some more details. What updates (i.e removals or reloads) are issued to your collection view? One way to get this information is printing out the change set provided in `-ASDataController:updateWithChangeSet:`. I'm also interested in the `animated` BOOL of each change set.

On the other hand, if you could modify an example (e.g ASDKgram) to produce the same problem, I can jump on it and start debugging right away. Thanks!",nguyenhuy,ay8s
3163,2017-03-13 11:07:18,"@nguyenhuy After Setting neverShowPlaceholders to YES doesn't work in collectionNode.
I have uploaded the demo video.
[Flashing-bug.mov.zip](https://github.com/facebook/AsyncDisplayKit/files/837983/Flashing-bug.mov.zip)
I reproduced this issue in simple example
[Flashing-Bug.zip](https://github.com/facebook/AsyncDisplayKit/files/837973/Flashing-Bug.zip)
",davitPiloyan93,nguyenhuy
3163,2017-03-14 16:35:12,"Cool, thanks @ay8s!",nguyenhuy,ay8s
3162,2017-03-11 15:29:40,"@appleguy Did you have a change to re-test that? I couldn't reproduce that within terminal, Xcode or on CI ...",maicki,appleguy
3162,2017-03-22 16:30:29,@appleguy I will close this issue for now as we cannot reproduce it. If it comes up again please reopen. Thanks!,maicki,appleguy
3151,2017-03-09 14:10:29,"@flovouin Thanks for reporting. I added a unit test that triggers that assertion, although it may not be your exact use case. Please re-test once #3153 is merged.",nguyenhuy,flovouin
3142,2017-03-06 15:57:48,"@EviluS @maicki Both of you answered this very well, thank you! I like the `didEnterVisibleState` method more for now, but glad to learn about the `ASPagerDelegate` also.

Closing issue. Thanks again.",aaronash,maicki
3134,2017-03-04 05:02:57,"@Adlai-Holler I have also had issues with 0, 0 layouts.

It does seem important though that this method behaves consistently, e.g. a user should not have to know if the layout pass has occurred for waitUntilAllOperationsAreCommitted to ""work"".  We really should rename this method, but I would guess the desired semantics are like ""flush"": ""ensure UIKit is completely up to date with the current state of the asyncDataSource, whether or not initial load has happened, and including any edit operations recently performed""",appleguy,Adlai-Holler
3134,2017-03-04 19:00:49,"@appleguy I agree. My current estimate is, that it should trigger the initial data load to start if needed, but otherwise _not_ trigger a layout pass.",Adlai-Holler,appleguy
3134,2017-03-04 21:46:42,"@Adlai-Holler: thanks for working on this. 

I forced a layout pass in '-waitUntilAllUpdatesAreCommitted' to avoid a breaking behavioral change in that method. Many users have used it as a way to ensure all updates were ""flushed"" and the collection/table is up-to-date with its data source. Our tests also relies on this behavior. But now that we do native reloadData, that expectation won't be true until the next layout pass happens.

Renaming is probably a great idea. I'd prefer a breaking API change that the compiler will pick up over a silent breaking behavioral change.

Edit: sorry I misspelled your name, Adlai!",nguyenhuy,Adlai-Holler
3130,2017-03-04 05:13:40,"@nguyenhuy you have an amazing history of seminal contributions to AsyncDisplayKit, including the original ASLayoutSpec and crucial advancements in ASDataController.  This change, along with preparatory work around flex-wrap and concurrent layout in stacks, continues this incredible tradition!

I've dreamt about achieving something like this for years, but it has never been practical due to the huge amount of work behind it.  Along with the equally necessary work from @Adlai-Holler on the collection and @maicki on the layout system, you all have made that dream a reality for thousands of iOS developers!

Flat-out inspiring.  Thank you, @maicki, @Adlai-Holler, @nguyenhuy, and Pinterest for sharing your awesome talents with the community.",appleguy,nguyenhuy
3130,2017-03-24 20:48:46,@Adlai-Holler @appleguy I've updated most of the code in this PR to implement the second version of this async collection layout API. More details are explained in [the description of this PR](https://github.com/facebook/AsyncDisplayKit/pull/3130#issue-211559304). Please have another look!,nguyenhuy,appleguy
3128,2017-03-06 08:58:30,"Hello @maicki , sorry for my late response.

Fonts are these:


More info in sample app.",Kaspik,maicki
3127,2017-03-03 10:16:53,"Thanks for your reply @Adlai-Holler !

Yes sorry about that, I didn't make myself clear but I figured that `shouldBatchFetch` would be called every time. What I meant is that I have no real way of knowing whether new items are available, except by making a call to the remote service. And apart from these inconvenient edge cases, the existing batch fetching logic seems to be the way to do just that, and suits my needs perfectly. In the general case, when the user scrolls down, a new batch fetch is triggered only once (if needed), I make the call to the remote service (which may or may not return new items), and voila !

Now concerning the two edge cases, do you think it is the developper's responsibility to take care of this in `shouldBatchFetch` or could the logic in `ASBatchFetching` be changed?
- A solution to avoid spamming the remote service would be to ensure a delay between calls. This might be needed anyway depending on the application, and it is clearly the developper's job to implement that.
- However a complementary solution would be to check whether the batch fetch was triggered during a bounce animation (and disable the repeated calls). This implies checking `contentInset` and `contentOffset` of the scroll view. It would seem that this would be more adequate inside `ASBatchFetching`, and in my opinion would be a legitimate improvement. :-)",flovouin,Adlai-Holler
3127,2017-03-21 13:57:30,"Hey guys,

So currently I've simply solved the problem by adding the following logic to `shouldBatchFetch`:



- `isScrollingUp` is necessary even though the check already exists in the current `ASDisplayShouldFetchBatchForContext` implementation because it is bypassed when `hasSmallContent` is `YES` (the second case of my original issue). This could simply be solved by moving the `isScrollingTowardHead` check above the small content check.
- `isBouncingAtTop` is also pretty much self-explanatory and solves the first case of the original issue. This could be added to ASDK's logic, although the `contentInset` should be forwarded to `ASDisplayShouldFetchBatchForContext`.

It shouldn't be too hard to add this in `ASDisplayShouldFetchBatchForContext`, and I feel that it would be at its place in the batch fetching logic. What do you guys ( @appleguy @Adlai-Holler @maicki ) think? Is this PR-worthy? I don't mind taking care of it if you think it is, just didn't want to work on it before asking you first.

Thanks,",flovouin,Adlai-Holler
3126,2017-03-02 16:56:27,"Hey @iOSUser110 as @hannahmbanana mentioned our documentation has all of the sample code in Swift too: http://asyncdisplaykit.org/docs/button-node.html

Furthermore here is a quick snippet how to initialize and add an `ASButtonNode` to another node:

",maicki,hannahmbanana
3125,2017-03-04 20:52:25,Good enough for me. Thanks @eanagel for the reply – we definitely don't call `indexPathsForVisibleRows` inside `willDisplayCell:` anymore. Cheers!,Adlai-Holler,eanagel
3121,2017-03-02 00:36:17,@maicki I never thought I'd live to see the day you'd write code like this ;),garrettmoon,maicki
3121,2017-03-02 16:40:47,"Ok, maybe this get's slowly out of hand, but @flovouin is right and it's also necessary for `UIVisualEffectView`. I updated the diff and will merge after CI passes.

Furthermore let's close #2762 as it seems this will resolves this.",maicki,flovouin
3116,2017-03-02 09:07:03,"@appleguy Yes, the idea has been haunted me at nights since then! We hosted a performance day yesterday and this is the first thing came to my mind! Definitely let me know your findings. 

My profiling showed that laying out a stack on main is so fast now, it makes async transition a tiny bit less relevant and buys us more time to overhaul the transition system.",nguyenhuy,appleguy
3114,2017-03-02 19:55:59,"@maicki Those are private categories which I don't understand why they are not public. It would be nice if they were public.  Anyways, I found these public C-style functions available in `ASDisplayNodeExtras.h`

",skensell,maicki
3112,2017-03-14 16:22:24,"@flovouin Could you take a stab on it and submit a PR? We would appreciate it, Thanks!",maicki,flovouin
3109,2017-03-01 19:12:27,"@Adlai-Holler How does `NSCache/libcache` use this to drive the eviction, so in what level do they what?",maicki,Adlai-Holler
3109,2017-03-01 19:30:59,"@maicki Good question, I don't know which levels they use and how they react, only that they create a dispatch source of this kind to trigger eviction passes. We could find out!",Adlai-Holler,maicki
3109,2017-03-01 19:41:04,@Adlai-Holler I would definitely be in the game to find that out ;),maicki,Adlai-Holler
