issue_num,datetime,body,login,close_date
630,2017-03-22 10:31:52,"Fix locale.getlocale throw ValueError exception, but not catch.
Related issues: #447 #445 #358 ",htxs,
630,2017-03-22 10:32:24,"Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign up at https://code.facebook.com/cla - and if you have received this in error or have any questions, please drop us a line at cla@fb.com. Thanks!

**If you are contributing on behalf of someone else (eg your employer)**: the individual CLA is not sufficient - use https://developers.facebook.com/opensource/cla?type=company instead. Contact cla@fb.com if you have any questions.",facebook-github-bot,
629,2017-03-21 14:23:40,"I'm currently enrolled in a course on software reliability, and I'm interested in using Infer to explore [static memory leaks in Android apps](http://blog.nimbledroid.com/2016/09/06/stop-memory-leaks.html). I've been digging through the repository and reading the docs to try to understand how to best build new checking capabilities. Are there any particularly good commits or PRs that demonstrate how to properly add a new feature to Infer?

Thanks,
Jacob",jsachs,2017-03-21 18:34:23
629,2017-03-21 17:59:17,"Hi Jacob,
  Infer already supports detecting some of these bug types (e.g., [`Context`](http://fbinfer.com/docs/infer-bug-types.html#CONTEXT_LEAK) leaks). Extending the detection to handle other cases like `View` leaks or leaks via `SensorManager` would should be pretty straightforward.

The code for reporting `Context` leaks lives [here](https://github.com/facebook/infer/blob/master/infer/src/backend/interproc.ml#L652), and the tests are [here](https://github.com/facebook/infer/blob/master/infer/tests/codetoanalyze/java/infer/ContextLeaks.java) (runnable with `make test`). I would probably start off by adding the examples from the blog post to see how many of them Infer can already find, and then refine the checker from there.

If you'd rather start from scratch, here's some [docs](http://fbinfer.com/docs/absint-framework.html) on building brand-new checkers on top of the Infer infrastructure.

Hope this helps and let me know if you have any questions!",sblackshear,2017-03-21 18:34:23
629,2017-03-21 18:34:22,"This is great, thanks @sblackshear! ",jsachs,2017-03-21 18:34:23
628,2017-03-21 06:56:15,"Does Linters supported for Android? I can see the documentation only for iOS
",mohammedsafiq,
628,2017-03-21 07:57:51,"@mohammedsafiq linters operate on the AST produced by a front-end -- currently there's only support for the clang front-end, so no Java.",cristianoc,
627,2017-03-21 02:27:12,add getsource and areimst,jrrexliang01,
627,2017-03-21 02:28:19,"Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign up at https://code.facebook.com/cla - and if you have received this in error or have any questions, please drop us a line at cla@fb.com. Thanks!

**If you are contributing on behalf of someone else (eg your employer)**: the individual CLA is not sufficient - use https://developers.facebook.com/opensource/cla?type=company instead. Contact cla@fb.com if you have any questions.",facebook-github-bot,
627,2017-03-21 02:34:30,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Facebook open source project. Thanks!,facebook-github-bot,
