issue_num,datetime,body,login,close_date
1578,2017-03-27 21:10:12,"Additional details for this issue can be found at http://stackoverflow.com/questions/43002555/strategy-for-modifying-a-route-parameter-dynamically-within-the-app (on which I haven't gotten much transaction as of yet).

My query looks something like this:

Original query: 
<S_CODE_TOKEN>
Since the variable is on the root query, it seems like the only way to modify that variable is on the Route. This means that the new value for that variable needs to communicated ""outside"" of Relay by a mechanism such as adding an event listener to the page and modifying window.location (there are others of course). But for my app, the date picker is in a child component in which case that child component's `handleDateChange()` would have to set window.location to cause the change.  This seems very wrong.

What I'd really like to do is move the root lunchForWeek query out of the Route and into the fragment of one of my top-level components so that that component can change the date via `props.relay.setVariables().`  However, there didn't seem to be a way to do this. I thought that I might define an empty query on the Route and then define the fragment 'on Query', but this doesn't seem to be supported.

I finally gave in and added another level to the query so that I could do:

New query:
<S_CODE_TOKEN>
This works fine. The Route now has:
<S_CODE_TOKEN>
But since the original schema  is completely valid, it seems like Relay should support this. Furthermore, I was able to design around this because I happen to own the GraphQL schema.  But what if I were building an app around someone else's GraphQL API?

What I was trying to do originally seems like a valid use case so perhaps it is possible, but I just haven't figured out how to implement it.  Or is this a design limitation of Relay?
      ",blevine,
1577,2017-03-27 10:08:16,"Hi!

I'm observing some strange behaviour with mutation configs. I have a mutation configured like this:

<S_CODE_TOKEN>

Configured like this the property `conversationCount` gets updated, however the newly added `pulseEdge` does not get added to the connection. However if I remove the `FIELDS_CHANGE` config, then everything works like I wanted it to work in the first place (`conversationCount` gets updated and the edge is added to the connection).

Having read through the documentation and some of the code I can't seem to find this behaviour documented, so I'm expecting something odd is going on?

I would have expected the posted config to work.",kastermester,
1576,2017-03-25 19:22:12,"I changed the flow path from src/ to packages/.
I renamed the file name flowconfig to .flowconfig",angeloocana,
1576,2017-03-25 19:22:28,"Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign up at https://code.facebook.com/cla - and if you have received this in error or have any questions, please drop us a line at cla@fb.com. Thanks!

**If you are contributing on behalf of someone else (eg your employer)**: the individual CLA is not sufficient - use https://developers.facebook.com/opensource/cla?type=company instead. Contact cla@fb.com if you have any questions.",facebook-github-bot,
1576,2017-03-25 19:30:03,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Facebook open source project. Thanks!,facebook-github-bot,
1575,2017-03-24 17:36:39,"Say I have a node that looks like this
<S_CODE_TOKEN>

and I have a mutation that  only updates history books,
how would I write my getFatQuery such that it only updates history books

i've tried something like this, but it updates books of all types
<S_CODE_TOKEN>

",BossGrand,
1574,2017-03-21 16:45:05,,nikolasburk,2017-03-21 20:33:26
1574,2017-03-21 16:45:24,"Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign up at https://code.facebook.com/cla - and if you have received this in error or have any questions, please drop us a line at cla@fb.com. Thanks!

**If you are contributing on behalf of someone else (eg your employer)**: the individual CLA is not sufficient - use https://developers.facebook.com/opensource/cla?type=company instead. Contact cla@fb.com if you have any questions.",facebook-github-bot,2017-03-21 20:33:26
1574,2017-03-21 16:49:47,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Facebook open source project. Thanks!,facebook-github-bot,2017-03-21 20:33:26
1574,2017-03-21 18:54:22,Thanks @nikolasburk.,wincent,2017-03-21 20:33:26
1574,2017-03-21 18:54:28,@facebook-github-bot shipit,wincent,2017-03-21 20:33:26
1574,2017-03-21 18:54:59,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4747796).",facebook-github-bot,2017-03-21 20:33:26
1573,2017-03-20 01:58:04,"Given a mutation using the new `Relay.GraphQLMutation` that uses arguments (in this case year) Example:

<S_CODE_TOKEN>

Relay returns an auto generated field name, as follows:

![screenshot - 200317 - 12 55 40](https://cloud.githubusercontent.com/assets/63807/24086958/9038b31c-0d6c-11e7-8611-9fae99034d7e.png)

What algorithm is used to auto generate the field name with arguments? (Assume it's a combination of arguments + values, In this case: `_courseToAnnualUpdates2RJpOA`).

It's impossible to craft an optimistic update without being able to perform the same transform to get the generated fieldname. Just the line in the codebase would be fine!",Rodeoclash,
1572,2017-03-18 10:30:26,"Seems prepareVariables can not return a promise, so how can I prepare the query variables asynchronous? For example get data from Async Storage in React native.",zhangmengying,
1571,2017-03-17 21:46:13,,gabelevi,2017-03-22 03:33:44
1571,2017-03-21 23:44:07,@facebook-github-bot shipit,kassens,2017-03-22 03:33:44
1571,2017-03-21 23:44:16,Thanks Gabe!,kassens,2017-03-22 03:33:44
1571,2017-03-21 23:44:33,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4750884).",facebook-github-bot,2017-03-22 03:33:44
1570,2017-03-16 15:55:29,"Looking at the code for [`writeRelayUpdatePayload`](https://github.com/facebook/relay/blob/7110c68f437391ad1ee54ab2c84fd8896a8662fb/src/traversal/writeRelayUpdatePayload.js#L79), one sees that only `NODE_DELETE`, `RANGE_ADD` and `RANGE_DELETE` mutation config settings are actually examined. Furthermore, for each of those config types, only a subset of the config params are actually used compared to the options presented in the documentation. 

For example: `NODE_DELETE` docs list `parentName`, `parentID`, `connectionName`, `deletedIDFieldName` config params, but if you look at the code, only `deletedIDFieldName` is actually used by the implementation. Same goes for `RANGE_ADD` and `RANGE_DELETE`. Each of these has a bunch of params but only a subset of those params appear to be used when writing update payloads.

Further, `FIELDS_CHANGE` appears to be [totally ignored](https://github.com/facebook/relay/blob/7110c68f437391ad1ee54ab2c84fd8896a8662fb/src/traversal/writeRelayUpdatePayload.js#L95-L106) with the update happening automatically.

Is my understanding correct? I don't know the history of this codebase too well, so I am wondering: are these configs going away or being simplified given the migration from tracked to static? 

Thank you,
Dmitry

PS. I know questions are supposed to be posted to SO, but I am posting here because this seems to be internals-specific enough that SO didn't seem appropriate. My apologies if that is incorrect. Please let me know and I will migrate my question to SO.",dminkovsky,2017-03-17 22:17:32
1570,2017-03-16 16:36:09,Note that only some of the config options affect the way mutation *payloads* are handled (what you see in `writeRelayUpdatePayload`). The other config options affect the way the mutation *query* is constructed.,josephsavona,2017-03-17 22:17:32
