issue_num,datetime,body,login,mention_login
1574,2017-03-21 18:54:22,Thanks @nikolasburk.,wincent,nikolasburk
1574,2017-03-21 18:54:28,@facebook-github-bot shipit,wincent,facebook-github-bot
1574,2017-03-21 18:54:59,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4747796).",facebook-github-bot,wincent
1571,2017-03-21 23:44:33,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4750884).",facebook-github-bot,kassens
1566,2017-03-22 20:06:30,"Thanks for this @Gregoirevda. Note that ""need only"" is not a typo and is actually perfectly valid English:

> [I]n a rather formal style of English, there also exists an auxiliary verb (""helping verb"") *need*, which is followed by a bare infinitive, and is only used in negative polarity contexts: with *not*, with *only*, in questions, and so on. Additionally, it only exists in the present tense. Aside from these two restrictions, it's very much like other auxiliary verbs (*can*, *may*, *should*, etc.): ""We need not discuss it.""

(via [quick Google search](http://english.stackexchange.com/a/297235)).

Having said that, I can see how this usage might confuse some readers, and we want the documentation to be as accessible as possible, so let's get this merged. Thanks once again.",wincent,Gregoirevda
1566,2017-03-22 20:06:40,@facebook-github-bot shipit,wincent,facebook-github-bot
1566,2017-03-22 20:35:44,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4756931).",facebook-github-bot,wincent
1565,2017-03-22 20:09:21,Looks fair enough. Thanks @sambou!,wincent,sambou
1565,2017-03-22 20:34:37,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4756921).",facebook-github-bot,wincent
1562,2017-03-21 23:50:54,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4750959).",facebook-github-bot,kassens
1560,2017-03-04 21:55:23,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4656348).",facebook-github-bot,kassens
1558,2017-03-02 03:38:35,"Hey @amkoehler,
yes, I saw this ticket. Unfortunately the `User` model implements the node interface (I am using Graphcool as the backend).
![screen shot 2017-03-02 at 04 34 46](https://cloud.githubusercontent.com/assets/11208517/23491918/a7db91de-ff01-11e6-9f45-eeeb0f8156f0.png)
What I forgot to mention is, that I am using react-router-relay with this queries object:

Any further ideas?
Thanks again for you help:)",d-winter,amkoehler
1552,2017-03-04 21:42:55,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4656332).",facebook-github-bot,kassens
1550,2017-02-21 20:32:55,Thankyou @mihai!,wincent,mihai
1550,2017-03-16 14:50:50,"Hey @wincent, it seems the CI build failed and this PR was never merged by the bot --  is there anything I can do to fix that?",mihai,wincent
