issue_num,datetime,body,login,mention_login
1574,2017-03-21 18:54:59,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4747796).",facebook-github-bot,wincent
1571,2017-03-21 23:44:33,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4750884).",facebook-github-bot,kassens
1566,2017-03-22 20:35:44,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4756931).",facebook-github-bot,wincent
1565,2017-03-22 20:34:37,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4756921).",facebook-github-bot,wincent
1562,2017-03-21 23:50:54,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4750959).",facebook-github-bot,kassens
1560,2017-03-04 21:55:23,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4656348).",facebook-github-bot,kassens
1552,2017-03-04 21:42:55,"@kassens has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4656332).",facebook-github-bot,kassens
1550,2017-03-16 14:50:50,"Hey @wincent, it seems the CI build failed and this PR was never merged by the bot --  is there anything I can do to fix that?",mihai,wincent
1550,2017-03-22 17:53:58,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4755172).",facebook-github-bot,wincent
1549,2017-02-17 15:40:02,Thanks @blaiprat.,wincent,blaiprat
1549,2017-02-17 15:40:37,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4578915).",facebook-github-bot,wincent
1547,2017-02-15 22:27:18,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4568273).",facebook-github-bot,wincent
1545,2017-02-15 06:28:53,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4564255).",facebook-github-bot,wincent
1538,2017-02-09 01:29:36,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4534444).",facebook-github-bot,wincent
1528,2017-02-06 07:29:51,"Thanks @apalm, I think GraphQLMutation.createWithFiles is not covered by the test cases and it should be added as well",AWDGroup,apalm
1528,2017-02-08 07:51:32,Thanks @wincent for the complete & clear explanation. ,AWDGroup,wincent
1526,2017-01-31 18:52:55,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4489196).",facebook-github-bot,wincent
1525,2017-01-31 18:38:37,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4489066).",facebook-github-bot,wincent
1524,2017-01-31 18:28:34,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4488974).",facebook-github-bot,wincent
1523,2017-01-31 18:22:18,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4488927).",facebook-github-bot,wincent
1522,2017-01-31 18:18:12,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4488899).",facebook-github-bot,wincent
1521,2017-01-31 18:08:52,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4488835).",facebook-github-bot,wincent
1519,2017-01-31 18:08:33,"@wincent has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4488833).",facebook-github-bot,wincent
