issue_num,datetime,body,login,close_date
138,2017-03-03 22:15:12,,alouanemed,
137,2017-02-09 15:08:54,,egek92,2017-02-15 14:25:55
137,2017-02-15 14:25:41,Thanks for the contribution.,peter-tackage,2017-02-15 14:25:55
136,2017-01-22 02:33:50,"What is the best practice for in-app billing? Options:

1. Tussle with IabHelper which Google recommends but not keen on maintaining it
2. Use alternative libraries like `android-checkout` (https://github.com/serso/android-checkout)
3. Roll out our own library

We need community consensus on what is the best practice for this critical aspect.",rpattabi,
135,2016-12-16 11:07:51,,xiongchenhong,
134,2016-12-10 14:56:12,This template is out of date and more complete references can be found.,peter-tackage,2016-12-20 15:43:15
133,2016-12-09 10:24:03,"In my current projects I always choose _by feature_ project structure grouping like

- features
- - home
- - - HomeView
- - - HomePresenter
- - - HomeAdapter
- - detail
- - etc
- utils

But in your recommendation you only mention _by type_ and for clean code architectures is not clean at all, so I propose to add _by feature_ project structure recommendation
This is specially useful for MV* projects",FireZenk,
133,2016-12-10 14:30:42,"I was just thinking about how the documentation doesn't reflect my current approach. I'm definitely onboard with feature based structure. 

With an app of any significant scale, having the Fragments, Activities and what-have-you for a feature distributed around the place makes for a very noisy crowded structure. 

My revised approach is shown in Freesound: https://github.com/futurice/freesound-android/tree/master/app/src/main/java/com/futurice/freesound. There's still room for refinement in areas, but it's an improvement.",peter-tackage,
132,2016-12-02 03:23:08,合并原作者更新,cnoldtree,2016-12-02 09:41:40
131,2016-11-23 14:43:22,"While it's true that Genymotion offers more features than the stock Android emulator, it's no longer significantly faster. 

If you can live without the extra Genymotion features, you don't need to pay the Genymotion subscription fee.",davidwhitman,
131,2017-03-14 23:27:27,The stock emulator is even faster since SDK Tools 25.3.1. I don't see why Genymotion would still be necessary,gfreivasc,
130,2016-11-15 23:20:25,,josejavier,2016-11-24 21:19:32
130,2016-11-16 09:39:18,"Hi, I'm a native Spanish speaker, may I help?
",AlejandroHCruz,2016-11-24 21:19:32
130,2016-11-16 09:44:43,"@AlejandroHCruz Sure!
",peter-tackage,2016-11-24 21:19:32
130,2016-11-24 21:21:12,"@josejavier @pabloper @AlejandroHCruz In the interests of not leaving this in review for too long, I've just merged this - if there's any issues they can be reworked via PR.",peter-tackage,2016-11-24 21:19:32
129,2016-11-06 18:13:15,@futurice Hey there! I have added best practices on asserting Android specific components in Android tests. Let me know what you like and your reasoning if you don't. Thanks!,KevinLeighCrain,2016-12-10 14:34:25
129,2016-11-07 07:09:49,"I prefer AssertJ too~
",Tony---Zhang,2016-12-10 14:34:25
