issue_num,datetime,body,login,close_date
382,2017-03-23 20:29:50,"Hi
I want to add Persian translation for this project,
how can i PR my translation?",ghaseminya,
381,2017-03-21 22:35:14,,limonte,
380,2017-03-21 19:02:14,,limonte,2017-03-22 16:42:21
380,2017-03-22 16:36:40,Please close this in favor of #381.,strugee,2017-03-22 16:42:21
380,2017-03-22 16:42:21,oops :),limonte,2017-03-22 16:42:21
379,2017-03-11 14:17:20,,simonfl3tcher,
378,2017-02-24 05:25:44,This is a question I was asked recently in an interview.,viswanathamsantosh,
377,2017-02-09 08:56:53,,dotku,
376,2017-02-07 16:02:30,,karmeljuk,2017-02-08 01:41:25
375,2017-02-05 08:21:30,"I've add Farsi (Persian) translation of the document. 

I'm really sorry about not following the rule of 'Just one Commit' thing ... but creating a bidirectional markdown proved to be a pain in the butt!",Javid-Izadfar,2017-03-24 03:52:20
375,2017-02-08 11:23:40,"As you may know, Farsi (like Arabic or Hebrew) is Right-to-Left.
Markdown dose not support rtl, but usually result is readable: 

![screen1](http://ikacc.ir/screen1.png)

however, once you combine it with some English (or codes) it will mess everything up, including order of contents.
![screen2](http://ikacc.ir/screen2.png)
*(top is messed up by common markup, bottom is fixed using HTML)*

I hope it could demonstrate the reason why Farsi's format is different. 
",Javid-Izadfar,2017-03-24 03:52:20
375,2017-03-23 20:28:15,Why Farsi directory not exist in Translation folder?,ghaseminya,2017-03-24 03:52:20
374,2017-01-22 23:44:46,Small update of readme file,DeeJayElly,2017-01-23 01:00:08
373,2016-12-09 09:55:47,"Quesitons regarding security are as important as any of those. Examples include:

- What is Cross-Site-Scripting (XSS), how many types of XSS are there and how do you mitigate it?
- What are the security considerations regarding a Single Page Application (SPA) framework?
- How Content-Security-Policy (CSP) changes the way you develop?
- What do you know about security headers?

And many others ...",andersonDadario,
373,2016-12-09 10:11:34,"I'm glad you like it and thanks for the fast reply.

The answers could be troublesome in terms of length. For example one common attack is the Cross-Site Request Forgery (CSRF). Here's what it is and how to mitigate: https://dadario.com.br/what-is-csrf/ -- Please notice the size of such answer.

I may add one at a time then. Do you prefer that I put them in here?",andersonDadario,
373,2016-12-09 12:20:17,"Forgive me my ignorance, but I've noticed a few things and have some questions:

1) There are no answers in this repository, only questions, right? So what's the point of providing answers instead of adding security questions first?

2) Supposing that answers are a requirement before adding questions, allow me to analyze your quote: ""I'd say come up with a short, concise and memorable set of answers that anyone should be able to memorize, in point form or using short and simple sentences""

So basically the point is memorize questions and answers for interviews without really understanding the meaning of such answers? If that's the case the whole idea is part of the problem. You're only promoting memorization challenges instead of promoting the study that should be done instead. How is it really helpful? I'd love to help people to LEARN security instead of MEMORIZING answers to pass interviews. In short it looks a b.s. theater. Am I wrong? I hope I am, but doesn't look like to be the case.",andersonDadario,
373,2016-12-09 21:45:55,"The better answer for each question can be googled I guess, but the point is to include security questions as Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF) remains in the Top 10 most common vulnerabilities in web applications according to OWASP.

I do appreciate your time to help, however it's important to stress how important this repository is and why we should not have answers 'easy to memorize' rather than 'easy to understand'. Lots of people grab questions from here. I believe that's more serious than ever as the amount of stars and views of this repository grows. 

If I list 10 security questions, is it enough for it to be added? I see many pull requests in stand by, so I wonder how often they're merged too. ",andersonDadario,
372,2016-12-05 22:48:21,,pewstiepoll,2017-01-23 01:00:34
372,2016-12-10 21:49:42,Приємно бачити український переклад! Дякую! Думаю і я потім допоможу з перекладом.,6pm,2017-01-23 01:00:34
372,2017-02-07 16:08:07,"Спасибі, що додали український переклад. Але дуже шкода, що писали його з російського варіанту, а не з оригіналу. Я зі свого боку виправив явні помилки, але як на мене краще з початку все переписати
https://github.com/h5bp/Front-end-Developer-Interview-Questions/pull/376",karmeljuk,2017-01-23 01:00:34
372,2017-02-08 04:17:14,@karmeljuk Welcome PR to improve translations and speak in English.,appleboy,2017-01-23 01:00:34
371,2016-11-22 15:01:02,I've added a question to JS section of readme.md file. It is a very small change. ,bala-me,
371,2016-11-23 12:53:14,"@bala-me  I suppose there it worth to add question about comparison / difference cookies / LS ( sadly not all dev's which I interviewed can cover that question )

And I'm not sure that it's for JS section. Maybe General questions? ( except you're asking about API of LS/SS -- but there are few methods only )",vvscode,
370,2016-10-25 13:24:20,"This is actually my last question in my interview just about 3 weeks ago. My interviewer wrote out this sentence `2B || !2B` and asked me what is the result.

My answer: true as I considered `2B` as a variable and it would be true.
His answer: 43, consider this `0x2B || !0x2B`

What is yours ?
",thovo,
370,2016-11-09 12:45:24,"I wouldn't say it's a variable, as variables' names can't start with numbers.  
This one is bit tricky, as it doesn't stay what exactly is 2B.  
But his answer is legit, as JS accept HEX values.
",Krizzu,
370,2016-11-09 14:25:29,"At first, he just asked me the questions and didn't write out anything so I said it would be a variable but you  are right :) 
",thovo,
370,2016-11-09 16:26:52,"![https://www.dropbox.com/s/8rygox0ezvd6qom/Screenshot%202016-11-09%2019.26.05.png?dl=1](https://www.dropbox.com/s/8rygox0ezvd6qom/Screenshot%202016-11-09%2019.26.05.png?dl=1)

Strange question -- interviewer should keep in mind that situation is stressfull 

in such case correct answer - `SyntaxError`
",vvscode,
370,2016-11-09 18:52:43,"if it was in the proper context with 0x, I would have said 43. but in the context you saw. I would also have said 2B is a variable and the result would be its value. BUT what should have happened more is you should have clarified on what 2B was exactly. interviewers love to put questions out there and want to see the candidate ask for clarification
",kirbdee,
370,2016-11-10 08:36:06,"@vvscode , you need to put 0x to make it work in the console as it is a hex number. Actually, after answered this question, 2 of my interviewers just wanted to know how I would deal with this strange question, they didn't expect me to anwser it right so they accepted it as a good solution :smile: 
",thovo,
370,2016-11-10 08:56:02,"How did it go?
",Krizzu,
370,2016-11-10 09:22:52,"I got accepted and they are now my new leader and manager :smile: 
",thovo,
