issue_num,datetime,body,login,mention_login
372,2017-02-08 04:17:14,@karmeljuk Welcome PR to improve translations and speak in English.,appleboy,karmeljuk
371,2016-11-23 12:53:14,"@bala-me  I suppose there it worth to add question about comparison / difference cookies / LS ( sadly not all dev's which I interviewed can cover that question )

And I'm not sure that it's for JS section. Maybe General questions? ( except you're asking about API of LS/SS -- but there are few methods only )",vvscode,bala-me
370,2016-11-10 08:36:06,"@vvscode , you need to put 0x to make it work in the console as it is a hex number. Actually, after answered this question, 2 of my interviewers just wanted to know how I would deal with this strange question, they didn't expect me to anwser it right so they accepted it as a good solution :smile: 
",thovo,vvscode
368,2016-09-24 19:29:52,"@leeoniya  You're right. But you can use something and don't know how other people call that patterns/solution. And if it's the case - the only thing that you know - that gut didn't met the term. But it **doesn't mean** that he doesn't know that pattern. 

Finally - both of this functions ( and many others ) - just common solutions for common tasks. And you can solve  the same tasks with the same ( or other ) methods even have no idea that someone already done it - just cause you need it here and know.

My position - ask about terms show you knowledge of that terms. Not knowledge of the salt/base or terms meaning
",vvscode,leeoniya
361,2016-07-12 09:26:03,"@theaemarie I met some teams in last month where guys asked this question. But there they talk about projects with old codebase and enterprise applications ( which still work on IE7 - I don't know why )
",vvscode,theaemarie
351,2016-03-28 08:57:21,"@yanni4night Thanks
",appleboy,yanni4night
348,2016-09-24 19:35:21,"@schwolf  for me that are two different questions. 

And asking about `bubbling` - I'll be glad to hear  both about bubbling/capturing. Difference in last param for adding event handler ( which show which phase should we use to catch event). Knowledge about the fact that not all event bubble up (Non-bubbling events )
",vvscode,schwolf
348,2016-11-15 23:10:32,"@vvscode can you elaborate on why those two questions are  different for you?

In my opinion your expectations of what a candidate should know are all in scope of ""Explain event delegation"" question and the ""Describe event bubbling"" does not include anything new. I am curious about your point of view. 
",DzikowskiW,vvscode
348,2016-11-16 05:55:23,"@DzikowskiW I suppose that I already discover that )) When I read question `Explain event delegation` - I wait talk about the fact, that events can bubble up, and as it follows we can capture events on some parent element, which difference it means etc. And sure it's related to events bubbling.

But if you ask me about `event bubbling/capturing` - I'll say you about two phases of event processing ( capturing - down / bubbling - up ), how it allow to manipulate with order of handlers, what is good practice/ what is not ( what we shouldn't use capturing phases without special reasons ), about fact, that not all events bubble up , etc. And delegation is only the special case of usage of bubbling, so you or listen about in the end, or I just miss that fact, cause it's not what about you ask. 

Out of scope, but another example of such pair: - You can ask me `what is closure?` and `How to save context on creating callbacks ( meaning something like`var that = this;`and usage of`that` in callback ) - there are two different questions ( related - yes, but not similar )
",vvscode,DzikowskiW
348,2016-11-16 08:04:36,"@vvscode thank you for clearing this up, I can see your point now and you convinced me 
",DzikowskiW,vvscode
346,2016-02-24 20:21:51,"@jacopotarantino Thanks for the PR! 
I'm a bit on the fence about it personally - we don't have any questions related to syntax errors currently, but at the same time I suspect this might be interpreted as a bit of a trick question in the context of an interview. Thoughts @darcyclarke @appleboy?
",richgilbank,jacopotarantino
346,2016-02-24 23:11:21,"@richgilbank no worries :). I wasn't 100% sure it fit the theme of the list but it felt worth submitting. If I may, here's a little backstory:

It suddenly hit me the other day that I had no idea what that would do because I'd never tried it(an empty `if` statement would be pretty strange). I tried it out to check what would happen and then asked a few coworkers what they thought. The varied responses I got from them made me think this is a good interview question.

The point of asking the question in an interview is more to see how much detail a person can give in response and how they might justify their response. So while someone more astute like yourself might know/assume that it's a syntax error they will hopefully be able to describe why it's a syntax error and one can ask a followup question about what happens to the process/execution flow. Or someone less thoughtful like myself might assume that it is valid JavaScript (because why not) and describe to the interviewer how the content(lack thereof) of the parens is evaluated and what happens with the final value. Maybe dig into type coercion a bit as a followup.

There's probably another dimension to this but I haven't thought of it yet. Anyway, that's the process that lead to the PR.
",jacopotarantino,richgilbank
343,2016-02-09 08:16:01,"@tgfjt Thanks
",appleboy,tgfjt
342,2016-03-16 19:39:12,"@RattanPriya Maybe you should add a separate question specifically around _async_ and _defer_ instead of removing a fairly well-rounded question on best practices. Furthermore, the last part of that question actually allows a candidate to talk about _async_ and _defer_ if they know about those (ie. _""Do you know any exceptions?""_)
",darcyclarke,RattanPriya
338,2016-03-13 07:43:15,"@hongbinc  Please see http://www.w3fools.com/
",odv,hongbinc
338,2016-08-25 12:31:34,"@igregson I still recommend _The Good Parts_ to beginners in addition to more recent resources including most mentioned above since it is somewhat dated info. It still provides some well-thought-out information about why and why not to do certain things with JavaScript.
",silkster,igregson
337,2015-12-14 07:11:25,"@zushenyan Thanks.
",appleboy,zushenyan
