issue_num,datetime,body,login,mention_login
372,2017-02-08 04:17:14,@karmeljuk Welcome PR to improve translations and speak in English.,appleboy,karmeljuk
351,2016-03-28 08:57:21,"@yanni4night Thanks
",appleboy,yanni4night
346,2016-02-24 20:21:51,"@jacopotarantino Thanks for the PR! 
I'm a bit on the fence about it personally - we don't have any questions related to syntax errors currently, but at the same time I suspect this might be interpreted as a bit of a trick question in the context of an interview. Thoughts @darcyclarke @appleboy?
",richgilbank,jacopotarantino
346,2016-02-24 23:11:21,"@richgilbank no worries :). I wasn't 100% sure it fit the theme of the list but it felt worth submitting. If I may, here's a little backstory:

It suddenly hit me the other day that I had no idea what that would do because I'd never tried it(an empty `if` statement would be pretty strange). I tried it out to check what would happen and then asked a few coworkers what they thought. The varied responses I got from them made me think this is a good interview question.

The point of asking the question in an interview is more to see how much detail a person can give in response and how they might justify their response. So while someone more astute like yourself might know/assume that it's a syntax error they will hopefully be able to describe why it's a syntax error and one can ask a followup question about what happens to the process/execution flow. Or someone less thoughtful like myself might assume that it is valid JavaScript (because why not) and describe to the interviewer how the content(lack thereof) of the parens is evaluated and what happens with the final value. Maybe dig into type coercion a bit as a followup.

There's probably another dimension to this but I haven't thought of it yet. Anyway, that's the process that lead to the PR.
",jacopotarantino,richgilbank
343,2016-02-09 08:16:01,"@tgfjt Thanks
",appleboy,tgfjt
337,2015-12-14 07:11:25,"@zushenyan Thanks.
",appleboy,zushenyan
334,2016-03-16 19:34:28,"@diogosilvaferreira  I'm starting to feel like this question, and it's topic, in general, is becoming legacy. It's great to understand what the doctype does but the nuances of legacy browser modes and legacy markup standards is fairly irrelevant these days. I appreciate the attention to detail here so I probably will merge this in, but I'm just making a note that we may want do a pass at some of these questions at some point and put them into a new category (ie. `legacy` or similar)
",darcyclarke,diogosilvaferreira
324,2015-10-05 12:47:18,"@pacMakaveli Thanks.
",appleboy,pacMakaveli
322,2015-09-11 15:05:32,"@carlosliu Thanks.
",appleboy,carlosliu
318,2015-08-15 16:24:53,"@dermatobia Thanks.
",appleboy,dermatobia
313,2016-03-16 19:14:38,"@strugee Sorry for the wait on this PR, can you rebase?
",darcyclarke,strugee
311,2015-07-16 18:02:32,"@darcyclarke Nah. Bad translations reflect bad on the project. Maybe we should try to get reviewers that know the language before merging PRs.
",arthurvr,darcyclarke
311,2015-07-16 18:05:58,"@arthurvr Nah? o_O 
",darcyclarke,arthurvr
306,2015-06-03 13:19:01,"@zeitiger Thanks.
",appleboy,zeitiger
298,2015-05-22 03:41:49,"Looks good @zeitiger! Can you update your branch so we can merge? There's been changes to master since you made your initial pull request. A pull/merge should fix that up.
",darcyclarke,zeitiger
298,2015-05-22 03:57:16,"@zeitiger rebase master on your current branch.


",appleboy,zeitiger
298,2015-06-03 11:55:26,"@zeitiger Thanks for picking this up! Though you can just make the edit to this PR, in fact.
",arthurvr,zeitiger
295,2015-05-14 19:17:19,":+1:, Thanks @syymza!
",richgilbank,syymza
