issue_num,datetime,body,login,mention_login
2825,2017-03-23 22:25:52,Hi @charles-dyfis-net thanks for opening a PR. I don't think this code should be in use any more once @sean- merges his pending change to switch over to https://github.com/hashicorp/go-sockaddr.,slackpad,charles-dyfis-net
2822,2017-03-23 19:31:14,Hi @rileyje thanks for opening an issue. It seems like we should be able to use the bind address so we don't need to introduce any additional configuration.,slackpad,rileyje
2820,2017-03-23 17:09:51,"Hi @notuscloud that error is coming from these two lines, which should be deleted:



Consul doesn't know how to parse those, but setting `CONSUL_BIND_INTERFACE=eno33557248` should be sufficient (there's also `CONSUL_CLIENT_INTERFACE=eno33557248` you can set as well for the client socket). Hope that helps!",slackpad,notuscloud
2820,2017-03-23 17:29:22,"Hi @slackpad 

I tried with `CONSUL_CLIENT_INTERFACE=eno33557248` and I followed your advice, deleting the two lines `-client` and `-bind`.



I may be missing something...

Regards,
Thomas",notuscloud,slackpad
2820,2017-03-24 15:54:59,Thanks for the follow up @notuscloud! Consul 0.7.2 also added support for https://godoc.org/github.com/hashicorp/go-sockaddr/template syntax for these addresses so you can skip these environment variables altogether and have Consul look up the address for an interface as well.,slackpad,notuscloud
2818,2017-03-23 16:34:16,"Hi @r0p0s3c thanks for opening this issue. I think for this case since the service token was used for the registration it should also be used for the delete, so this sounds like a bug. Will take a deeper look here shortly.",slackpad,r0p0s3c
2818,2017-03-25 00:49:50,Hi @r0p0s3c if you can give master a try and see if that's working for you now we'd appreciate it!,slackpad,r0p0s3c
2817,2017-03-23 16:03:39,"Hi @ThatJames you are correct that the operator commands only work if you have a leader. If not, the peers.json recovery method is still available - it's documented here:

https://www.consul.io/docs/guides/outage.html#manual-recovery-using-peers-json",slackpad,ThatJames
2814,2017-03-22 18:11:58,"Hi @plorenz thanks for opening an issue. I tried to repro this locally and can't seem to get it to fail in this way. If you can try 0.7.5 I'd appreciate it as the fix there was related to the blocking mechanism, though it doesn't _seem_ related to what you are seeing. Also, does it get stuck every time, or sporadically?",slackpad,plorenz
2814,2017-03-22 19:07:44,"@slackpad I'll try it with 0.7.5. It doesn't happen every time. It seems to take several cycles of register/unregister before it fails on an unregister. It also seems to mostly happen on a specific service which takes a few minutes to come up and also registers two services (one for SSL, one for non-SSL). I tried it on a different service which comes up quickly, hoping for a faster repro cycle, but no luck. 

I think once it happens it seems to happen more consistently. I'll try to verify that and see if it happens on each unregister after the first failure. ",plorenz,slackpad
2814,2017-03-23 20:05:22,"@slackpad I was unable to reproduce the issue with 0.7.5, which is great. Because it was so hard to reproduce, we'll keep an eye for similar behavior in future. If does recur, we'll try to come up with more easily reproducible test case :)",plorenz,slackpad
2814,2017-03-23 20:08:55,"Hey @plorenz thank you for the follow up! That bug fix in 0.7.5 was pretty deep down, and could result in the wakeup accounting getting off, so it's definitely possible that was it. Thanks again!",slackpad,plorenz
2795,2017-03-10 15:52:33,Hi @rmb938 this looks like a recursor loop. Can you share some details about your Consul server configuration as well as what it shows for `/v1/catalog/service/vault?pretty`,slackpad,rmb938
2794,2017-03-09 19:10:27,"@dweomer sorry about that - this interface is deprecated and will be going away in Consul 0.8, but I added the page back with a deprecation notice for now.",slackpad,dweomer
