issue_num,datetime,body,login,close_date
163,2017-03-14 21:05:37,,diego-vieira,
162,2017-03-07 23:30:01,,mhumeSF,2017-03-09 17:00:48
162,2017-03-09 16:11:41,"Thank you very much for your submission.

Please format your entry according to the rules specified in [contributing.md](https://github.com/herrbischoff/awesome-osx-command-line/blob/master/contributing.md), especially with regard to capitalization.",herrbischoff,2017-03-09 17:00:48
162,2017-03-09 17:08:21,"Thanks, I had to clean it up a bit to merge it.",herrbischoff,2017-03-09 17:00:48
162,2017-03-09 17:10:00,"Gah, yea sorry. I did see that, but you beat me to it.",mhumeSF,2017-03-09 17:00:48
162,2017-03-09 17:16:30,I really would have liked to give you proper credit but resolving merge conflicts on the command line apparently won't honor the original authors' id.,herrbischoff,2017-03-09 17:00:48
161,2017-03-04 14:59:28,The Apple Remote Desktop ARDAgent can be configured using the  Kickstart command to set Apple Remote Desktop preferences using terminal.,gclaeys,
161,2017-03-04 16:20:00,"Basically a nice addition, thank you, however the Markdown headline hierarchy is wrong.",herrbischoff,
161,2017-03-04 17:34:16,"Thanks for the quick feedback. 
The headline hierarchy should now be correct. ",gclaeys,
160,2017-03-02 23:04:11,"sorin-iconescu/prezto is abandoned, see https://github.com/sorin-ionescu/prezto/issues/1239 the project moved to https://github.com/zsh-users/prezto",dritter,2017-03-10 19:45:31
160,2017-03-03 15:32:50,"I see recent commits in the original repo from February and March, so this does not seem to be abandoned. Given the popularity of the source, I don't see a reason to link to a very young fork.

Maybe @sorin-ionescu himself can shed some light on this. If he's on board with the new community fork, I will merge this.",herrbischoff,2017-03-10 19:45:31
160,2017-03-03 17:29:35,"> I see recent commits in the original repo from February and March, so this does not seem to be abandoned. Given the popularity of the source, I don't see a reason to link to a very young fork.

Yep. 2016.. Anyway. Your decision. Just wanted to let you know.

And I don't think Sorin will answer here or join there. He didn't answer on the thread I mentioned (and which is about moving Prezto to the more official ""zsh-users"").",dritter,2017-03-10 19:45:31
160,2017-03-07 03:39:43,Would like to see this get merged.,paulmelnikow,2017-03-10 19:45:31
160,2017-03-09 17:13:11,"I'm going to give @sorin-ionescu until the end of the month to reply with a short comment on the current state of his project. If there is no word from him, the community fork will will added in its place. Should I forget this, please feel free to remind me in April.",herrbischoff,2017-03-10 19:45:31
160,2017-03-09 18:35:53,You could list both in the meantime. Would you be open to that?,paulmelnikow,2017-03-10 19:45:31
160,2017-03-10 08:33:05,"@paulmelnikow why would that be relevant? Does any external project depend on that link being updated?

The author responded to the thread mentioned earlier, let's see if he wants to continue maintaining the project or not. ",antoineco,2017-03-10 19:45:31
160,2017-03-10 15:09:22,"Exactly. Especially his mentioning of not even having received an email is worrying. Is the social media notification craze already at a point where people can't be bothered to write a single email any more? Real life interferes with the best of plans.

I'm just going to wait until the situation resolves itself. I bet they will all just merge everything back into the original repo and continue from there with several contributors. ",herrbischoff,2017-03-10 19:45:31
160,2017-03-10 15:53:06,"Prezto is not abandoned, but it has been neglected publically for a year. I want to give write access to several volunteers. There are several forks, which need to be reconciled.

A GitHub notification subject line starts with `[user/repository]`, which often does not even fit in the threads column row of an email client, for example `Re: [herrbischoff/awesome-osx-command-li...`, let alone the issue title. I have hundreds of notification threads on Prezto alone. So, using GitHub notifications to get a hold of someone's attention is not effective. I wish @facastagnini or someone else that commented in https://github.com/sorin-ionescu/prezto/issues/1239 had sent me an email.",sorin-ionescu,2017-03-10 19:45:31
160,2017-03-10 19:45:30,"Thanks for your comment, @sorin-ionescu. That's what I figured. The sheer amount of notifications the sole maintainer of a popular open source project gets is staggering. If Real Life™ issues of any kind take the focus away for some time, getting back on top is an almost impossible task.

I view this as resolved and will leave the original repo in place as in all likelihood the changes made in other forks will be merged back into it with the help of additional volunteers.",herrbischoff,2017-03-10 19:45:31
160,2017-03-10 20:02:40,"Chapeau to your gut feeling @herrbischoff 

And good to see you around again @sorin-ionescu ",dritter,2017-03-10 19:45:31
159,2017-02-27 11:57:06,fix broken path: remove erroneous space between `Launch` and `Daemons`,clarketm,2017-03-09 17:19:17
159,2017-03-09 17:18:57,This is entirely correct. Merging. Thanks!,herrbischoff,2017-03-09 17:19:17
157,2017-02-25 02:13:12,"call the menu: 
<S_CODE_TOKEN>
screen:
![default](https://cloud.githubusercontent.com/assets/5896784/23327162/380cf4be-fb42-11e6-93c0-c571dfb5e3ce.png)

A menuItem with a star means it's execuable, others are parent menu.
The menu is defined in msh.etc, and the corresponding function is defined in msh.fun.
Adding new menu or changing is very easy.",qihaiyan,2017-03-09 17:25:16
157,2017-02-25 03:09:43,"This is intriguing, thank you! :)

In the spirit of DRY: how about a function that is updating the script's content automatically? This is probably not possible in plain shell script as you would need to convert from Markdown to plain text. I don't see manually updating for every change happening. This would effectively be duplicating data and amounts to tedious work.",herrbischoff,2017-03-09 17:25:16
157,2017-02-25 03:11:07,Although: https://github.com/chadbraunduin/markdown.bash,herrbischoff,2017-03-09 17:25:16
157,2017-02-25 05:53:41,"1. Gennerate shell script from Markdown.
It's not easy because the README.md is not that structured.
2. Generate Markdown from the shell content.
It's possible, if you agree with it, i'll give it a try with https://github.com/chadbraunduin/markdown.bash.",qihaiyan,2017-03-09 17:25:16
157,2017-03-09 17:25:16,"As I don't see this as feasible to support in the long run, I'm going to close the pull request. I don't want to discourage you, however the added maintenance and additional barrier of contributing will almost certainly not be worth it. This appears to be one of those ideas that sound neat in theory until you think through the long-term implications.",herrbischoff,2017-03-09 17:25:16
156,2017-02-21 09:35:31,"The `nettop` program displays a list of sockets or routes. The counts for network structures are updated periodically.

Very useful if you want to know which program uses what socket.",caillou,
156,2017-03-09 17:28:27,"Thank you very much for your submission.

Please format your entry according to the rules specified in [contributing.md](https://github.com/herrbischoff/awesome-osx-command-line/blob/master/contributing.md), especially with regard to capitalization.",herrbischoff,
156,2017-03-16 13:29:11,@herrbischoff Title has been capitalized.,caillou,
155,2017-02-20 16:45:52,"Symlink instructions moved to it's own section, on the second line. `airport` is now used in place of the long form directory to the framework. 

MAC address spoofing instructions added.",lkwatson,
154,2017-02-19 18:14:19,"<S_CODE_TOKEN>

System Info:

<S_CODE_TOKEN>",dklesev,
153,2017-02-19 17:10:52,"Hi, Added Image Capture stop auto opening when a new device is connected.",ogzolmz,2017-02-19 17:43:07
153,2017-02-19 17:43:07,Please submit your changes on a completely new fork as I have recently rebased the repo. This here is a mess. Thanks!,herrbischoff,2017-02-19 17:43:07
152,2017-02-19 15:48:35,,mtklr,
151,2017-02-18 18:22:14,"Hi,
I added ""Full Keyboard Access"" to Keyboard section.
best regards.",ogzolmz,2017-02-18 18:55:13
151,2017-02-18 18:23:58,"Nice! Please sort alphabetically inside the section and I will merge this. Please also add `(Default)` to the heading of the default OS setting. The descriptions should be more succinct and in line with the other entries: `Enable`, `Disable`, `Status`, ...",herrbischoff,2017-02-18 18:55:13
151,2017-02-18 18:55:13,"Sorry, this was not formatted very well, so I went ahead and added the two relevant settings manually. Thanks again for suggesting it!",herrbischoff,2017-02-18 18:55:13
151,2017-02-18 19:00:28,You are welcome,ogzolmz,2017-02-18 18:55:13
151,2017-02-18 19:11:07,"For good measure, I have amended the commit to reflect you being the author: https://github.com/herrbischoff/awesome-osx-command-line/commit/80c5b9d7fbd29f698c183fa7881eb028728b549b",herrbischoff,2017-02-18 18:55:13
150,2017-02-18 11:23:57,"Monoid is Customisable coding font with alternates, ligatures and contextual positioning. Crazy crisp at 12px/9pt.  https://github.com/larsenwork/monoid",alimoeeny,2017-03-09 17:27:34
150,2017-02-18 17:58:43,"I don't like this one, it looks weird and not balanced at all. I will put this on the back burner for now. It needs endorsements from people that like and use it.",herrbischoff,2017-03-09 17:27:34
150,2017-03-09 17:27:34,Closing for lack of endorsement.,herrbischoff,2017-03-09 17:27:34
149,2017-02-18 10:30:41,,gorkem-cetin,2017-02-18 18:00:33
149,2017-02-18 18:00:33,"As you have been able to figure this out, I'm going to leave this in place.",herrbischoff,2017-02-18 18:00:33
148,2017-02-18 10:04:05,"This is important for contexts in which images can't be rendered — screen readers, search engines, etc.",alyssais,2017-02-18 19:25:37
148,2017-02-18 16:41:25,I'd also recommend wrapping the image in an `<h1>` to apply the semantics of a heading to it.,alyssais,2017-02-18 19:25:37
148,2017-02-18 18:04:11,Good idea. Please add the h1 tags and I will merge.,herrbischoff,2017-02-18 19:25:37
148,2017-02-18 19:26:24,Thanks! I will add the h1's myself.,herrbischoff,2017-02-18 19:25:37
147,2017-02-18 01:49:34,"This will now work with Sierra machines with the change of the DB location to V4.

Also changed the string for the San Francisco font being inputed into the main font library of the machine.",qu1gl3s,2017-02-18 18:20:21
147,2017-02-18 13:56:45,"Was about to propose the same changes, good fixes! 👍 ",lumaxis,2017-02-18 18:20:21
147,2017-02-18 17:56:15,Please split this. As per contribution guidelines there needs to be only one change per pull request.,herrbischoff,2017-02-18 18:20:21
147,2017-02-18 18:20:21,"Closing this in favor of #140, which came earlier.",herrbischoff,2017-02-18 18:20:21
146,2017-02-17 22:24:12,,emlai,2017-02-18 18:02:23
146,2017-02-18 18:02:23,"As this needs to be installed via Homebrew before usage, it is not applicable to this list.",herrbischoff,2017-02-18 18:02:23
146,2017-02-18 18:09:08,"If that is the case, what are macvim, neovim, bash, fish, and zsh doing in the list? Thanks for the clarification.

P.S. You could add that to `contributing.md` to avoid future misunderstandings. Currently there's no indication anywhere that Homebrew should be avoided.",emlai,2017-02-18 18:02:23
