issue_num,datetime,body,login,mention_login
160,2017-03-10 08:33:05,"@paulmelnikow why would that be relevant? Does any external project depend on that link being updated?

The author responded to the thread mentioned earlier, let's see if he wants to continue maintaining the project or not. ",antoineco,paulmelnikow
160,2017-03-10 19:45:30,"Thanks for your comment, @sorin-ionescu. That's what I figured. The sheer amount of notifications the sole maintainer of a popular open source project gets is staggering. If Real Life™ issues of any kind take the focus away for some time, getting back on top is an almost impossible task.

I view this as resolved and will leave the original repo in place as in all likelihood the changes made in other forks will be merged back into it with the help of additional volunteers.",herrbischoff,sorin-ionescu
160,2017-03-10 20:02:40,"Chapeau to your gut feeling @herrbischoff 

And good to see you around again @sorin-ionescu ",dritter,herrbischoff
160,2017-03-10 20:02:40,"Chapeau to your gut feeling @herrbischoff 

And good to see you around again @sorin-ionescu ",dritter,sorin-ionescu
156,2017-03-16 13:29:11,@herrbischoff Title has been capitalized.,caillou,herrbischoff
142,2017-02-18 06:07:04,@herrbischoff Can I ask why you're against Electron-based apps? ,sifex,herrbischoff
117,2016-10-28 02:57:28,"@herrbischoff it's released;)
",napcae,herrbischoff
117,2016-11-02 16:21:57,"@jdickey: A valid and interesting point. I am not particularly partial to jumping on any new development. Long term however, this makes sense as Apple has officially renamed Mac OS X to macOS, for better or worse.
",herrbischoff,jdickey
117,2016-11-02 18:36:45,"@jdickey Almost a [third on Sierra, 40% on El Capitan](https://www.gosquared.com/global/mac/sierra/#beta). I think it's safe to say that we can ignore Yosemite, since command line users are power users and have updated systems.
",napcae,jdickey
117,2016-11-03 11:46:52,"@napcae. Right. We're an El Capitan shop and have no expectation to even touch Sierra until 10.12.2+ reduces the support panic to normal levels _and_ all our critical tools support it. Neither of those conditions yet apply. Did they change the name of El Capitan and we just didn't notice? _That_ was my point.
",jdickey,napcae
116,2016-11-10 12:38:39,"@bmalynovytch: Any luck?
",herrbischoff,bmalynovytch
114,2016-06-27 19:50:26,"@herrbischoff Seems good now.
",kutsan,herrbischoff
110,2016-11-20 01:37:57,"@herrbischoff, are there any other changes you'd like me to make?
",unixorn,herrbischoff
97,2016-02-29 19:27:50,"@herrbischoff how about now? I made changes (squashed).
",alundiak,herrbischoff
83,2015-12-04 01:14:49,"@herrbischoff NP about the late reply. I added a few more Finder control functions in #87. Let me know if you want any changes in the TOC format I used.
",unixorn,herrbischoff
