issue_num,datetime,body,login,close_date
497,2017-03-22 17:57:39,"Are you still maintaining this project?
I've found a fork https://github.com/mattr-/slate that seems to be more up-to-date, if you don't maintain this anymore can you update the README.md file stating that this is no longer maintained?",luisdavim,
497,2017-03-27 14:00:00,Relates to #488 and #437,luisdavim,
496,2017-03-20 14:11:07,Just a quick README update,slinkp,2017-03-20 14:17:07
496,2017-03-20 14:17:07,"Closing this. I just now saw that jigish's Slate is dead, and the maintained fork at mattr/slate already has the relevant doc updates.",slinkp,2017-03-20 14:17:07
495,2017-03-13 16:08:04,"I am new to Slate and I am still figuring out. I am using mac and I have sublime text & chrome in full screen mode together in a split view in a desktop. ST in in the left while chrome in the right. I want to insert iterm below chrome on the right side.

How do I do it? I am following the tutorial at Thume but I am lost.

I am trying for : http://thume.ca/assets/postassets/slate/windowhints.jpg

Also, how do I get the grid viewed: http://thume.ca/assets/postassets/slate/grid.png. Cmd + G does not respond.",bythckr,
494,2017-03-10 21:59:10,"I was not able to build Slate without these changes (suggested by Xcode).

macOS 10.12.3
Xcode 8.2.1",yn5,
493,2017-03-07 10:46:03,"When using Remote Desktop, I would like to forward as many key combinations to my remote workstation instead of having Slate do all my configured fun things. Is there a way to disable Slate when certain applications are in focus?",Ralle,
492,2017-02-02 13:22:55,"just checking if there is someone who could help me.
If not this project is not live anymore ...and thats a pitty",OWClocal,
491,2017-01-18 09:48:24,"Hey there, 

New to slate, I am trying to arrange windows of the same application in different screens. See example below, I want Kiwi for Gmail lite in one screen (2-full) and Calendar in another(1-full). Tried to google and read the documentation but could not find the correct solution. 

<S_CODE_TOKEN>
<S_CODE_TOKEN>

Thanks for your help in advance",muzammilrehman,
490,2017-01-03 07:02:03,"I noticed there is no default binding for grid behavior. Even though it was not hard to configure, seeing as this is intended as a replacement application for Divvy, it would be ideal for users with less programming experience to have a default binding for the grid.",kevinchau321,
489,2016-12-19 22:15:34,"After upgrading to sierra, when I launch slate it asks me the access question. I click enable, it doesn't prompt me for my admin password, and the slate icon disappears from my menubar.",sameerparekh,2017-01-03 17:21:59
489,2017-01-03 07:05:52,"I was able to set up slate for macOS Sierra 10.12.

You may have to go to System Preferences>Security & Privacy>Accessibility

Then check the box next to Slate.app

After doing this slate should have access, and should run smoothly. Let me know if you're still having issues.",kevinchau321,2017-01-03 17:21:59
489,2017-01-03 17:21:59,"That did it, thanks!",sameerparekh,2017-01-03 17:21:59
488,2016-12-17 01:42:18,"Guys, refer this post: https://github.com/jigish/slate/issues/437

`jigish/slate` is not maintained anymore


Please use and contribute to: 

# [mattr-/slate](https://github.com/mattr-/slate)",shobhitg,
487,2016-12-01 10:14:43,"Hi all!

I've created a localized version of the slate keyboard layout for [qwertz_de keyboards here](https://raw.githubusercontent.com/the-holger/slate_qwertz_de/master/ASCIIToCode_Qwertz_de.plist).

As ""dumb"" testing (i.e. replacing the ASCIIToCode.plist with my file) worked fine I wanted to fork the slate repo and create a proper ""enhancement"" to contribute to slate, I'm running into problems however:

- Cloned repo and opened project file in XCode
- Dragged and dropped my plist to Slate/Common and copying it there
- Added new layout to Common/Constants.[m|h] and Config/Binding.m
- (Fixed two deprecations in JSONkit.m automatically)
- Built & ran Slate => 
  - ""Unrecognized Key"" for my additions
  - My plist is missing from the Contents/Resources folder (even though it's included in ""Copy Bundle Resources"").

Anyway, hope the keyboard layout is of use. If anybody has a hint what I am missing here I'd be happy to learn!

Cheers!
Holger
",the-holger,
486,2016-11-23 19:29:35,"default.slate should not bind ⌘←, ⌘→, ⌘↓, and ⌘↑ as these are used for navigation in text areas. The keys used here should be something else.",mdznr,
486,2017-01-24 08:30:41,"It took about 8 awful hours to detect the problem. 
Sad, but I had to delete Slate because I can't code with the tool running.",alexanderisora,
486,2017-01-24 08:33:03,This issue is tracking not having these on by default. The default.slate file can still be modified by you to workaround this issue.,mdznr,
485,2016-11-23 08:32:27,"When activating the grid, it doesn't seem to be dismissible without resizing a window. You should be able to cancel the grid using the modalEscapeKey.",mdznr,
