issue_num,datetime,body,login,mention_login
484,2016-11-23 19:26:05,"Thanks @mdznr, changed the color of the active state!

Typically, status bar icons don't change visually between active and default state, they just get a different color treatment, so I didn't make that change.",maxvoltar,mdznr
455,2016-04-17 20:29:03,"@cyberixae What am I supposed to do with that link? In my original post I said that I can't find the file in my home directory (see screenshot in my previous post). 
",project-guru,cyberixae
455,2016-04-17 20:35:28,"Create it @project-guru

> On Apr 17, 2016, at 22:29, project-guru notifications@github.com wrote:
> 
> @cyberixae What am I supposed to do with that link? In my original post I said that I can't find the file in my home directory (see screenshot in my previous post).
> 
> ―
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly or view it on GitHub
",jneubrand,project-guru
455,2016-04-17 20:35:28,"Create it @project-guru

> On Apr 17, 2016, at 22:29, project-guru notifications@github.com wrote:
> 
> @cyberixae What am I supposed to do with that link? In my original post I said that I can't find the file in my home directory (see screenshot in my previous post).
> 
> ―
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly or view it on GitHub
",jneubrand,cyberixae
455,2016-04-18 17:03:36,"@project-guru save it with that name from your preferred text editor.

> On Apr 18, 2016, at 18:57, project-guru notifications@github.com wrote:
> 
> I don't know how. Please advise. As far as I have research, Finder won't let you create a file with a dot preceding it's name.
> 
> ―
> You are receiving this because you commented.
> Reply to this email directly or view it on GitHub
",jneubrand,project-guru
455,2016-04-18 18:09:20,"@project-guru you can also create an alias with the command `ln -s`, for example `ln -s .original .hidden`.
",jneubrand,project-guru
437,2014-12-17 23:49:01,"I'd like to be a contributor if possible.

@mattr- the advantage of keeping the repo here is that there are so many people following it and it has many issues already submitted. Hopefully @jigish will allow several of us write access to the repo so your fork can be merged back here.
",asethwright,mattr-
437,2014-12-22 19:04:10,"@MoOx Meh. For all we know, he's had a terrible tragedy or something which put Github projects into perspective of being relatively unimportant. Who knows. We don't know the whole story, maybe he has a great reason. All I know is that it is what it is, and it's not likely to change.
",sdegutis,MoOx
437,2015-01-06 19:24:31,"The one of @mattr- (https://github.com/mattr-/slate) seems to be the most active one according to https://github.com/jigish/slate/network.
",troxler,mattr-
437,2015-01-14 15:29:35,"@MoOx The unicode heart isn't visible on Github, only in my browser's (Chrome's) tab.
",sdegutis,MoOx
