issue_num,datetime,body,login,mention_login
437,2015-06-02 23:05:31,"@jigish
- +1 for the Yosemite+ requirement.
- Is your upcoming rewrite in Swift?
- Are you going to use the `JSContext` class instead of a hidden WebView?
- You might wanna ask for some volunteer contributors who can help clean up the Github Issues that have accumulated and maybe help with the readme.
",sdegutis,jigish
437,2015-06-02 23:07:32,"@jigish Also, feel free to use https://github.com/sdegutis/WindowManager as a baseline for your rewrite if you choose Swift.
",sdegutis,jigish
437,2015-06-03 00:52:16,"@jigish Also, one approach that might be worth considering is to use Lua instead of JS. Lua is very similar to JS semantically, but much easier to integrate with than JSContext. Plus, Apple's rules around converting structures to/from JS are not super well defined, and there are times it will do a different thing than expected. Plus, the ObjC API for it does not integrate with Swift classes, you have to write NSObject-based classes with them. Since Lua has a C API, I wrote a Swift wrapper as https://github.com/sdegutis/lua4swift which you can use if you want. Just throwing it out there as a possibility.
",sdegutis,jigish
437,2015-06-04 01:41:31,"@jigish I'm happy to continue maintaining this version of Slate, so however you want to handle the rewrite, whether in this repo or in a separate repo, it doesn't really matter to me. :smiley:
",mattr-,jigish
437,2015-06-04 01:43:50,"@jigish If you do end up using the separate repo, I think it makes sense for me to have access to this repo. Another option is to create an organization and move this repo and the new repo for Slate2 into repos under the organization. I know GitHub support is generally happy to do those sorts of things for us.
",mattr-,jigish
437,2015-06-05 15:04:48,"@sdegutis If you (or anyone) is wanting to go the Lua route, I would recommend just checking out [Hammerspoon](http://www.hammerspoon.org/) and building from there. I've actually already started a pseudo slate rewrite (similar config principles) and would be happy to work with you in going that route. Lmk if your interested and I can push up my project to GitHub.

:+1: @jigish for resurfacing. Looking forward to the rewrite.
",rjhilgefort,jigish
437,2015-08-16 20:54:25,"hey @jigish 

I have no issues or feature/improvement suggestions for Slate, and that has been the case for the past 3 years or so. Just wanted to to thank you for this amazing work that has become such an important part of my workflow.

Nice to hear that you've managed to find a healthy life/work balance and are willing to return to the oss community. Take as much time as you need ;)
",arturhoo,jigish
437,2015-12-15 12:38:25,"@sdegutis the link to https://github.com/sdegutis/WindowManager seems broken. Is it moved?

@jigish were izz the goodies ;-) aka slate2 located?
",clemens-tolboom,jigish
437,2016-01-04 14:18:01,"Via https://github.com/sdegutis/mjolnir I ended up choosing https://github.com/Hammerspoon/hammerspoon as my replacement for slate.

@jigish thanks for the past years
",clemens-tolboom,jigish
409,2014-07-03 08:13:37,"@trishume Thanks a lot!
",p0deje,trishume
