issue_num,datetime,body,login,mention_login
8546,2017-02-14 05:02:57,"I second what @fgarzonhz has said. The jQuery Mobile project needs some kind of blog update or announcement . Otherwise people will continue to assume that jQuery Mobile is dead or very close to it.

We love jQuery Mobile and want to see it continue to thrive! Thank you all for your efforts! @arschmitz @jaspermdegroot ",ElliotNB,arschmitz
8546,2017-02-16 19:25:04,Hey folks. I'm not @arschmitz or @jaspermdegroot (obviously) but I'm a member of the team.  We have done a ton of work over the last year or so for 1.5. Lately with everyone's day jobs it has been hard to even coordinate a weekly meeting to update everyone on the status of the project so we know how to move forward with the release. This happens with a volunteer workforce that is distributed around the planet. Hopefully we can have more info and a blog post soon.  ,cgack,arschmitz
8546,2017-03-27 17:50:23,How are things coming along @arschmitz ?,ElliotNB,arschmitz
8538,2016-11-15 16:15:14,"@arschmitz I don't have an jsbin account. This is my project: ---. It works in the browser, but when exporting is to iOS using Phonegap Build I'm getting the error. I can send you a zip with all the files so you can build
",vespino,arschmitz
8538,2016-11-15 16:20:03,"@arschmitz I'm using Phonegap Build which is the same as Cordova/Phonegap only easier. I can send you a simplefied example, but you need to convert it to an iOS app using Phonegap Build. Can/will you do that?
",vespino,arschmitz
8538,2016-11-15 16:31:09,"@arschmitz does this work? https://jsbin.com/jumajer/7/edit?html,output

I'm using jQuery Mobile 1.4.5 and jQuery 1.11.1 btw.
",vespino,arschmitz
8530,2016-10-13 14:51:40,"**@arschmitz** 
The issue contains 2 parts:
1) Expand than collapse in the demo from [jQuery Mobile API Documentation](http://api.jquerymobile.com/collapsibleset/) cause different look for the first, second, etc., and the last in **FF/Chrome on desktop Win7**:
**First (""partial"" blue glow):**
![ff1](https://cloud.githubusercontent.com/assets/22796143/19352794/d6efce0a-9169-11e6-8bd7-ca9bb22b2bbd.jpg)
**Last (""full"" blue glow):**
![ff2](https://cloud.githubusercontent.com/assets/22796143/19352823/f1c1a398-9169-11e6-80a4-4511678b0dbe.jpg)
2) The output looks **totally** different on different platforms:
 **FF/Chrome on desktop Win7 (""full"" blue glow):**
![ff2](https://cloud.githubusercontent.com/assets/22796143/19353319/9cd73e9a-916b-11e6-87e7-32e3a26aaf3d.jpg)
**Safari on smartphone iOS (grey background):**
![img_0451](https://cloud.githubusercontent.com/assets/22796143/19353136/04885ac0-916b-11e6-9627-0f6ef7aba4c2.PNG)

P.S. As the 1st part looks like a bug, then the 2nd part looks like a wrong way at all.
",duselguy,arschmitz
8529,2016-10-10 23:17:58,"@apsdehal I created a JSBin (http://jsbin.com/juvizupofu/edit?html,output) and the issue appears solved.

Can I clarify though that https://code.jquery.com/mobile/git/jquery.mobile-git.js is V1.4.5?

To be clearer about the issue, I am opening the popup via the 'Open the Dialog' link and trying to select the 'Test Checkbox' at the bottom of the popup. In V1.4.4 this worked fine, but in V1.4.5 it doesn't
",asdfrog,apsdehal
8529,2016-10-10 23:26:48,"OK, thanks @apsdehal I've updated the JSBin (http://jsbin.com/wevekayaji/1/edit?html,output) to use jQuery mobile 1.4.5, and the issue does exist in this example.
",asdfrog,apsdehal
8512,2016-09-09 01:15:02,"@apsdehal  What's your code for?  The outlook of yours is not what I want.
",vrbvillor,apsdehal
8509,2016-08-31 12:41:32,"@arschmitz is right.
",jaspermdegroot,arschmitz
8509,2016-08-31 13:25:20,"@jaspermdegroot we should be able to totally drop that rule now we should never define a background on ui-dialog, thats only there to negate `ui-page-theme-*` which will move down a level where it should be
",arschmitz,jaspermdegroot
8507,2016-09-24 22:05:56,"@jaspermdegroot Any particular reason [these](https://github.com/jquery/jquery-mobile/blob/3d7eaceff3292058833a110283695ed8cd9f8464/css/themes/default/jquery.mobile.theme.css#L182) were removed in https://github.com/jquery/jquery-mobile/commit/bf6bb09d40d6cd1da5df07dc338f5ea9cf2c522c 
",apsdehal,jaspermdegroot
8507,2016-09-24 22:14:02,"@apsdehal - That was because we are switching from `::after` pseudo element to `span`s for icons.
",jaspermdegroot,apsdehal
8507,2016-09-25 05:09:46,"@apsdehal - Yeah, that's correct.
",jaspermdegroot,apsdehal
8506,2016-08-31 12:13:32,"@jaspermdegroot Did you mean #8439?
",apsdehal,jaspermdegroot
8506,2016-08-31 12:31:55,"@apsdehal 

Yes! Thanks!!
We have to make the same CSS changes (padding) in the selectmenu CSS.
Do you remember if there was a specific reason to keep using position absolute for the count bubble, and not make it float? Now it can mask the button text, if we make it float it won't.
",jaspermdegroot,apsdehal
8502,2016-08-29 10:44:42,"@jaspermdegroot 

I tested on Safari of iphone 6, Android 5.1.1 and Emulator on Chrome 52

Example:
- At step-2, you open ""No transition"" popup
- At step-3, you close ""No transition"" popup by click on ""**Flow**""
- At step-4, you must open ""**Flow**"" again

Notes: the **popup type** at step-3 and step-4 must **same**
",anhnguyenict,jaspermdegroot
8448,2016-06-22 18:38:36,"@arschmitz Fixed.
",apsdehal,arschmitz
8431,2016-06-12 05:19:44,"@arschmitz Should I merge this one?
",apsdehal,arschmitz
8428,2016-04-28 18:41:09,"@gabrielschulhof is there a specific demo/example where I can see this?
",cgack,gabrielschulhof
8428,2016-04-29 11:17:10,"@cgack I was going to build selectmenu that way to save on DOM manip, but I couldn't, because it was marking all pages as `position: relative`.

Try this:
1. Go to http://jsbin.com/zifoxi/
2. Click ""Go to other page""
3. Click ""Go back""
4. Click ""Create popup""
5. Click ""Go to other page""

At this point the other page will appear below the current page, which is itself `visibility: hidden`-ed, because, upon its creation, the toolbar set all pages to be `position: relative`, so now they appear below one another.

This problem doesn't happen if you attach the toolbar div to the DOM and into a page before instantiating the toolbar on it.
",gabrielschulhof,cgack
8420,2016-04-28 22:15:55,"@agcolom jqm cant nor ever could work with the local file protocol
",arschmitz,agcolom
8420,2016-05-08 23:46:24,"That's  basically because it works on my cell phone in firefox
On Apr 28, 2016 6:16 PM, ""Alexander Schmitz"" notifications@github.com
wrote:

> @agcolom https://github.com/agcolom jqm cant nor ever could work with
> the local file protocol
> 
> —
> You are receiving this because you were mentioned.
> Reply to this email directly or view it on GitHub
> https://github.com/jquery/jquery-mobile/issues/8420#issuecomment-215579149
",yomasa,agcolom
8418,2016-07-05 16:34:28,"@Hywan Are you willing to update your PR according to latest master?
",apsdehal,Hywan
8418,2016-07-08 06:31:05,"@apsdehal Done :smiley:.
",Hywan,apsdehal
8418,2016-07-08 09:01:29,"@Hywan This has landed into master 2f00774. Thanks a lot.
",apsdehal,Hywan
8417,2016-04-01 10:47:25,"Landed in https://github.com/jquery/jquery-mobile/commit/fe366ad30a0a51f968d8a240c575bcfa26137746

@cogwurx - See http://contribute.jquery.org/commits-and-pull-requests/#commit-guidelines for guidelines about commit messages. We use a tool ""commitplease"" to prevent incorrect messages, but it looks like this isn't working for you since you were able to commit with a message that doesn't match the guideline.
",jaspermdegroot,cogwurx
8414,2016-03-22 20:07:03,"@jaspermdegroot I sent a draft about jQuery Mobile husting bugs but I did not receive any feedback :(
",marti1125,jaspermdegroot
8413,2016-03-29 00:59:23,"@apsdehal Did you check the fiddle, do you see the bug?
",wwy94621,apsdehal
8407,2016-03-21 08:22:41,"@apsdehal - Your last comment sounds right to me.
",jaspermdegroot,apsdehal
8406,2016-03-21 08:07:37,"Thanks for fixing this @apsdehal !

@cogwurx has been tweaking the menu styles. I think the background color you set in this PR has to be adjusted to match his style and @cogwurx probably has to fix selectors in his PR to match your changes. See https://github.com/jquery/jquery-mobile/pull/8389/files#diff-ccdaf42db1312d7cb7e21a8bb76543d6R976.
",jaspermdegroot,apsdehal
8406,2016-03-21 08:45:39,"@jaspermdegroot I will fix my change, that is why I was waiting for your comment before merging it. :)
",apsdehal,jaspermdegroot
8399,2016-03-16 19:08:24,"@marti1125 you could but I don't if it has same issue. It is working on chrome, since refresh action is always triggered; but there won't be any effect on safari.
",dotku,marti1125
8392,2016-03-03 13:29:42,"@marti1125 Do you mean the track being over the input field? If this is the case, there is a ticket for it with all the details https://github.com/jquery/jquery-mobile/issues/7991 and I believe this is fixed in master.
",agcolom,marti1125
8389,2016-02-25 13:46:50,"@cogwurx 

The changes look good. I noticed one problem. When an accordion is being expanded it gets the green active style, but this style is not removed after the accordion is being collapsed. It remains green until another button gets focus. In the current situation the active style isn't really clear, but it does get removed as soon as the accordion is collapsed (http://view.jquerymobile.com/1.5-demos-issues/demos/). Can you give this a look?

Besides that there are a few minor style guide issues. See my comments in the diff.

Thanks!
",jaspermdegroot,cogwurx
8389,2016-03-09 20:40:13,"@jaspermdegroot 

Just pushed the updates.Fixed the style guide spacing and the accordion focus.Let me know if there is anything else.
",cogwurx,jaspermdegroot
8389,2016-03-10 19:18:05,"@cogwurx 

Thanks. See my two comments on the diff. After that it's good to land.
",jaspermdegroot,cogwurx
8387,2016-02-19 16:41:16,"@cogwurx will create a new PR using the right branch. Closing.
",jaspermdegroot,cogwurx
8385,2016-03-16 16:37:27,"@marti1125 the fix isn't passing the test. You may try it yourself, if you feel like it :)
",Palestinian,marti1125
