issue_num,datetime,body,login,mention_login
882,2017-03-26 09:15:20,"@junegunn How far can I go for handling the filepaths on Windows?
I need to add `fzf#fnamemodify()` and `fzf#getcwd()` for `s:shortpath()` since `shellslash` affects both the shellquoting (which depends on the slash) and the filepath slashes (forward or back). I'll need to use batch file because backslashes are shellescaped via double-quotes which breaks `:!` in Vim.

I'm defaulting to `set noshellslash`  with backslash filepaths for Vim.
Paths with spaces still break on Neovim though.

@justinmk I'm using this build currently. Should I get the latest?
`nvim --version`
NVIM v0.2.0-828-g11b08bb0
Build type: Release
Compilation: C:/msys64/mingw64/bin/gcc.exe -Wconversion -O2 -DNDEBUG -DDISABLE_LOG -Wall -Wextra -pedantic -Wno-unused-parameter -Wstrict-prototypes -std=gnu99 -D__USE_MINGW_ANSI_STDIO -D_WIN32_WINNT=0x0600 -Wvla -fdiagnostics-color=auto -DINCLUDE_GENERATED_DECLARATIONS -DHAVE_CONFIG_H -IC:/projects/neovim/build/config -IC:/projects/neovim/src -IC:/projects/neovim/.deps/usr/include -IC:/projects/neovim/.deps/usr/include -IC:/projects/neovim/.deps/usr/include -IC:/msys64/mingw64/include -IC:/msys64/mingw64/include -IC:/projects/neovim/build/src/nvim/auto -IC:/projects/neovim/build/include
Compiled by appveyor@APPVYR-WIN
",janlazo,junegunn
882,2017-03-26 09:15:20,"@junegunn How far can I go for handling the filepaths on Windows?
I need to add `fzf#fnamemodify()` and `fzf#getcwd()` for `s:shortpath()` since `shellslash` affects both the shellquoting (which depends on the slash) and the filepath slashes (forward or back). I'll need to use batch file because backslashes are shellescaped via double-quotes which breaks `:!` in Vim.

I'm defaulting to `set noshellslash`  with backslash filepaths for Vim.
Paths with spaces still break on Neovim though.

@justinmk I'm using this build currently. Should I get the latest?
`nvim --version`
NVIM v0.2.0-828-g11b08bb0
Build type: Release
Compilation: C:/msys64/mingw64/bin/gcc.exe -Wconversion -O2 -DNDEBUG -DDISABLE_LOG -Wall -Wextra -pedantic -Wno-unused-parameter -Wstrict-prototypes -std=gnu99 -D__USE_MINGW_ANSI_STDIO -D_WIN32_WINNT=0x0600 -Wvla -fdiagnostics-color=auto -DINCLUDE_GENERATED_DECLARATIONS -DHAVE_CONFIG_H -IC:/projects/neovim/build/config -IC:/projects/neovim/src -IC:/projects/neovim/.deps/usr/include -IC:/projects/neovim/.deps/usr/include -IC:/projects/neovim/.deps/usr/include -IC:/msys64/mingw64/include -IC:/msys64/mingw64/include -IC:/projects/neovim/build/src/nvim/auto -IC:/projects/neovim/build/include
Compiled by appveyor@APPVYR-WIN
",janlazo,justinmk
882,2017-03-26 11:07:50,@janlazo try https://github.com/neovim/neovim/pull/6359 or just wait for it to be merged.,justinmk,janlazo
882,2017-03-28 01:57:52,"@junegunn This PR has a mixture of commits meant for Vim but is compatible with Neovim via powershell. I can make a separate PR for using backslashes in Windows filepaths such that, with `set noshellslash`, the finalized command passed to `:!` should  use backslash for all filepaths.",janlazo,junegunn
882,2017-03-28 02:47:07,"Thanks for your work @janlazo. To be honest, it's a little hard for me to follow this thread; what are the exact problems we are trying to solve? What are the steps to reproduce each problem and how do we validate the correctness of the fixes? Are we talking about Vim, Neovim, or both? Is this the right time for us to make changes for unannounced Neovim? Is it okay for us to proceed with the Neovim issues mentioned above unresolved? Do we have to fix the code for `:FZF` command? Because then we also have to fix some commands in fzf.vim repository.

So basically what I'm saying is that I'd like to see this PR broken down into smaller ones each tackling a single problem.",junegunn,janlazo
872,2017-03-14 01:47:04,@dqgthb  yes that's exactly what I meant. It is very strange to me too.,tnguyen14,dqgthb
870,2017-03-20 15:22:15,"@junegunn I'm affraid I made a mistake. With this commit, I broke support for hostnames containing a hyphen (e.g. my-host-name). This is because for the grep command, in bracket expressions, the hyphen acts as a range expression, unless it's located as the last character where it's interpreted as a literal.
So, for this patch to be correct, the colon should be placed in front of the hyphen. What do you suggest I should do?",S4mw1s3,junegunn
860,2017-02-28 14:05:45,"This must be an issue with my system then.  I'm going to go ahead and close the issue, but I'll report back if I find a solution.  Thank you for trying to reproduce this, @junegunn!",KibaFox,junegunn
851,2017-02-23 06:44:30,"Hi. I have same issue as @rburgst. Don't know what happed (maybe something broke after updating Fedora). 



[Here is some info ](https://gist.github.com/jmayday/09962fb456d415976d03e29310ee514b)about my last update. 

Unfortunately I can't undo this update because I didn't have _keepcache_ turned on in DNF and one of the packages is gone from repo. ",jmayday,rburgst
851,2017-03-03 11:55:18,@rburgst could you pls repost on omf github? https://github.com/oh-my-fish/oh-my-fish/issues,jmayday,rburgst
851,2017-03-19 07:00:35,@cmrn this works! Thanks a lot!,rburgst,cmrn
850,2017-02-22 03:54:31,"@ikariwing Whoops, my bad, thanks for the clarification :)",junegunn,ikariwing
849,2017-02-20 23:32:23,@hahuang65 I can confirm that reverting to 0.16.4 works for me.,alotofnoodles,hahuang65
849,2017-02-22 23:16:44,Thanks for troubleshooting @junegunn. I am reverting back to Go 1.7 until I figure out how to by pass the Cylance AV. Will post the update once I have the solution,alotofnoodles,junegunn
849,2017-02-22 23:19:06,"Yeah, thank you @junegunn for taking the time to troubleshoot. I really appreciate your help and LOVE a TON of your projects :), Keep up the good work.

@alotofnoodles Cylance blows. I have it for work too :p",hahuang65,junegunn
849,2017-02-22 23:19:06,"Yeah, thank you @junegunn for taking the time to troubleshoot. I really appreciate your help and LOVE a TON of your projects :), Keep up the good work.

@alotofnoodles Cylance blows. I have it for work too :p",hahuang65,alotofnoodles
849,2017-02-23 00:33:59,"So I managed to solve this problem by asking the IT support (Cylance is centrally controlled) to change the Cylance policy to (MAC - BG). 

@hahuang65 It's time to buy coffees for the support guys ☕️ ",alotofnoodles,hahuang65
849,2017-03-05 17:56:33,@alotofnoodles can you provide more details what policy had to get changed? I am running into a similar issue,udangel-r7,alotofnoodles
849,2017-03-05 23:27:02,"@udangel-r7, our support team changed the policy to (MAC - BG). Hope this helps.

![cylance_causes__fatal_error__runtime__bsdthread_register_error__ _issue__849_ _junegunn_fzf](https://cloud.githubusercontent.com/assets/432081/23592590/5e2a31b8-0257-11e7-80c0-f78c63288bc5.jpg)
",alotofnoodles,udangel-r7
833,2017-02-06 16:36:04,@junegunn thanks a lot. Perfect as always.,yevhen-m,junegunn
821,2017-01-26 09:24:02,@junegunn thanks. Waiting for fzf 0.16.3.,yevhen-m,junegunn
820,2017-01-23 16:00:39,"@danr May I ask you to record a gif or something similar to show how it looks like? I'm interested, maybe I would do the same.",balta2ar,danr
820,2017-01-24 09:11:52,"@junegunn thanks for the quick fix and for your efforts in making fzf!

@balta2ar I recorded a video and put it here: https://vimeo.com/200792397",danr,junegunn
820,2017-01-24 09:11:52,"@junegunn thanks for the quick fix and for your efforts in making fzf!

@balta2ar I recorded a video and put it here: https://vimeo.com/200792397",danr,balta2ar
820,2017-01-27 08:55:45,@danr Thanks for the interesting video. Inspired me to come up with #823.,junegunn,danr
817,2017-01-20 05:22:24,"Hi, thanks for the suggestion, but I'm pretty much with @acornejo on this, for a number of reasons.

1. We'll have to implement the logic for 3 different shells (bash, zsh, and fish) and I'll have to maintain the code forever. Supporting 3 shells has been the number one pain point for me, because all I use and know well is bash. Let's delegate the role to the tools that are obviously better at it (unix philosophy) and keep it simple.
2. I know `.gitignore`, but `.ignore` is new to me. But I'll just assume that it's similar to `.gitignore`. The complexity of `.gitignore` is monstrous (see `man gitignore`). It is obvious that the suggested solution won't be able to fully address the specification and it is not clear to the user what is supported and what is not. This can lead to unnecessary confusions.
",junegunn,acornejo
