issue_num,datetime,body,login,close_date
55,2017-03-09 12:55:23,The opencv face detector creates quite a bit of trouble. It might be possible to create or port a better solution based on histograms of oriented gradients and support vector machines.,jwagner,
54,2017-01-24 14:30:09,I ported to [Java](https://github.com/QuadFlask/smartcrop-java) and [Android](https://github.com/QuadFlask/smartcrop-android),QuadFlask,2017-02-19 16:21:55
54,2017-02-19 16:21:55,"Cool, I added it to the README to make it easier for people to find! :)",jwagner,2017-02-19 16:21:55
53,2016-12-23 23:33:21,Great Library! Does anyone know already a PHP port or has a desire to develop? GD or Imagick.,FlipZoomMedia,2017-03-19 21:19:27
53,2017-03-19 21:19:27,"https://github.com/xymak/php-smartcrop-extension seems to be one, and another one from the same author https://github.com/xymak/smartcrop.php",jwagner,2017-03-19 21:19:27
52,2016-11-08 09:01:45,"Hello

Thank you for your great component
how is it possible to record the picture cropped to a folder

Meric in advance for your help",xavierlille,2016-11-11 21:42:28
52,2016-11-11 21:42:28,"Please have a look at https://github.com/jwagner/smartcrop-cli
",jwagner,2016-11-11 21:42:28
51,2016-10-24 00:13:54,"Hello,

From the README:

> <S_CODE_TOKEN>
> 
> Output:
> 
> <S_CODE_TOKEN>

In terms of documentation and the above example, I think it would be nice to have a little explanation as to why the output's width/height values (200x200) are larger than the desired input's width/hieght (100x100 values).

Here's an example of desired input widths and heights and smartcrop's output widths and heights:

| User-specified input WxH | Smartcrop output WxH | Output scaled to input width |
| :-: | :-: | :-: |
| 2622x2660 | 1528x1550 | 2622x2660 |
| 2622x2660 | 1986x2014 | 2622x2659 |
| 2622x2660 | 2022x2051 | 2622x2660 |
| 2622x2660 | 2525x2561 | 2622x2659 |
| 2622x2660 | 3026x3072 | 2622x2662 |
| 2622x2660 | 3405x3454 | 2622x2660 |

I guess it just took me some exploration time to discover the correlation between the input and output dimensions. Clearly, and correct me if I am wrong, smartcrop is saying:

> Based on your input image size, and desired crop area, the resulting **relative** crop area is (width) and (height) at coordinates (x) and (y). You must crop your image using smartcrop's output width, height, x, y, and then scale up or down to your desired width and height (using tool of choice, like ImageMagick or GraphicsMagick).

With that said, one issue I am running into is that the output numbers are not exact (as you can see above); maybe it should also be mentioned in the docs that if one wants an exact crop, they will have to account for rounding errors and use something like [ImageMagick's `^`](http://www.imagemagick.org/Usage/resize/#fill):

<S_CODE_TOKEN>
",mhulse,
51,2016-11-11 21:44:55,"> Based on your input image size, and desired crop area, the resulting relative crop area is (width) and (height) at coordinates (x) and (y). You must crop your image using smartcrop's output width, height, x, y, and then scale up or down to your desired width and height (using tool of choice, like ImageMagick or GraphicsMagick).

This is correct. It seemed obvious to me but I guess it's not. I'll try to add some clarification in the next release. Thanks for sharing this.
",jwagner,
50,2016-10-10 15:45:56,"Hi,

Thank you for your great component, but i need to do it in server side, and server side technology is asp.net MVC,  i wonder is there any solution for it ?
",elhampour,2016-11-11 21:46:11
50,2016-11-11 21:46:11,"I haven't done .net in many years so I can't tell you. The easiest solution is probably to just launch smartcrop-cli in a sub process but there might be fancier ways of integrating node.js and .net as well.
",jwagner,2016-11-11 21:46:11
49,2016-09-17 04:48:48,"https://docs.npmjs.com/files/package.json#files
",bfred-it,2016-09-17 08:49:00
49,2016-09-17 08:48:05,"Cool, didn't know about that, but it looks like it's been there since a long time. :+1: Thank you!
",jwagner,2016-09-17 08:49:00
48,2016-09-16 17:20:19,"While [the main smartcrop.js file](https://github.com/jwagner/smartcrop.js/blob/master/smartcrop.js) itself is only 15.7 KB, a local install of `smartcrop` consumes 31MB of disk space, as can be confirmed by running.

<S_CODE_TOKEN>

outputs

<S_CODE_TOKEN>

This is due to several inclusions which probably don't need to be shipped to npm, including:

| directory | size |
| --- | --- |
| /dist | 25 MB |
| /release | 3.9 MB |
| /.git_ | 1.9 MB |

Any chance you could pull some of these out?
",jed,2016-09-16 19:49:25
48,2016-09-16 19:49:25,"That's both scary and messy. I switched to white listing files in .npmignore and released, 1.1.1. 44k looks a lot better than 31M. Thanks a lot for letting me know.
",jwagner,2016-09-16 19:49:25
48,2016-09-16 19:52:27,":bow:
",jed,2016-09-16 19:49:25
47,2016-08-23 04:49:57,"Could you add canvas as a peer dependency (as described here: https://docs.npmjs.com/files/package.json#peerdependencies ). If you do so, then it will work on tonic (https://tonicdev.com/npm/smartcrop-node) automatically.

Thanks!

Francisco
",tolmasky,2016-08-23 15:02:46
47,2016-08-23 10:52:00,"Why should I add a dependency to this module it doesn't depend on because some module built on top of it requires it?

IMO if you want to use smartcrop with node you should use either [smartcrop-sharp](https://github.com/jwagner/smartcrop-sharp) or [smartcrop-gm](https://github.com/jwagner/smartcrop-gm).
Node-canvas has been a pain to build & deploy (at least for my setups). 

Cheers,
Jonas
",jwagner,2016-08-23 15:02:46
47,2016-08-23 15:02:46,"Hi @jwagner, I apologize, I did mean to file this on smartcrop-node and instead filed it here. Oops!
",tolmasky,2016-08-23 15:02:46
46,2016-08-20 21:49:38,"I am generating a square crop (500x500) for a large image (about 3000x3000px). When minScale is at 1 this process is done in a second or two (max) on my machine - when decreasing minScale to 0.7 it takes a good few seconds longer and when decreasing minScale to 0.5 it takes almost a minute (similar results when running on Heroku)!

Is there something I am doing wrong or some way around this?
",abagshaw,
46,2016-08-21 04:03:21,"I've been doing a little more tinkering and it appears that the two main ways to speed things up are changing `scoreDownSample` to a larger value and  `step` to a larger value. Just wondering, is there a reason why these values are not relative to the size of the image? Just an idea - but I think it would make much more sense to make them relative (or at least have an option to make them relative) to the size of the image so a small image will take around the same time to process as a massive image.
",abagshaw,
