issue_num,datetime,body,login,close_date
82,2017-02-24 06:11:37,Anybody manage to implement A3C using convnetjs ?,gitricko,
81,2017-01-15 07:45:36,"It seems like there are two bugs in the master branch:
1) unlike the other training parameters, the training method, `method`, is not exported when executing `reset_all() `(line 616);
2) the bound on the number of popping images in the ""Example predictions on Test set"" section does not work: images keep popping until Chrome eats all the memory (lines 452-453).",ychervonyi,
80,2016-11-23 02:38:14,Fix usage of document.getElementById,Larry850806,2016-11-25 00:57:14
80,2016-11-25 00:57:17,ty,karpathy,2016-11-25 00:57:14
79,2016-10-31 12:18:48,"I feel it's a really stupid node question to ask, but really can't figure it out after a few hours. So here is the code that embarrasses me:
>
var convnetjs = require(""convnetjs"");
var net = new convnetjs.Net();
var brain = new convnetjs.deepqlearn.Brain(3, 2);


Basically it couldn't find Brain function:

>
weiwe-macbookpro:test weiwe$ node index.js
/Users/weiwe/test/index.js:5
var brain = new convnetjs.deepqlearn.Brain(3, 2);
                                    ^

>
TypeError: Cannot read property 'Brain' of undefined
    at Object.<anonymous> (/Users/weiwe/test/index.js:5:37)
    at Module._compile (module.js:556:32)
    at Object.Module._extensions..js (module.js:565:10)
    at Module.load (module.js:473:32)
    at tryModuleLoad (module.js:432:12)
    at Function.Module._load (module.js:424:3)
    at Module.runMain (module.js:590:10)
    at run (bootstrap_node.js:394:7)
    at startup (bootstrap_node.js:149:9)
    at bootstrap_node.js:509:3


I'm pretty sure the NPM module is installed correctly because I can use functions (e.g., Net()) in convnet.js just fine. Scratching my head on why this doesn't work .....
",windmaple,
78,2016-10-24 22:04:36,"I was wondering if there is a missing sqrt call on this line https://github.com/karpathy/convnetjs/blob/master/src/convnet_trainers.js#L117

According to this article (links to adadelta paper)http://sebastianruder.com/optimizing-gradient-descent/index.html#adadelta it would suggest that:

<S_CODE_TOKEN>

should be:

<S_CODE_TOKEN>

Would be great if someone could correct my understanding if not.
",SundeepK,2016-10-24 22:05:39
78,2016-10-24 22:05:39,"Ah looks like I miss read the parenthesis! Looks fine. 
",SundeepK,2016-10-24 22:05:39
77,2016-10-03 10:52:40,"This is a javascript project and it's better to use javascript/bash/commandline tools to build it. **Objective is:** To remove Java dependencies. A simple bash/commandline script can do what's there inside `compile/` folder. 

For utmost cross platform compatibility, we can use `node` directly. Or, to not need a dependency for node too, a cross platform script might do the work. But, I prefer node (cross platform + javascript).

What do you think about this?
",inancgumus,
76,2016-09-26 17:23:28,"Hello,
the automatic.html demo refers to importTrainData() but I cannot find where it is defined. 
Can you help?
Thanks. Guido
",gbugmann,2016-09-27 16:05:24
76,2016-09-27 16:05:24,"I got a bit confused with the two versions of automatic.html (one in the master -needing automatic.js- and one in the release version where ImportTrainData is defined in the html file).  All clear now. Note also that Chrome is blocking the loading of local data. IE and Firefox are ok.
",gbugmann,2016-09-27 16:05:24
75,2016-09-26 16:34:32,"Apple are green and poison are red !
",Pascal66,
74,2016-09-26 09:32:45,"this.actions = [];
      this.actions.push([1,1]);
      this.actions.push([0.8,1]);
      this.actions.push([1,0.8]);
      this.actions.push([0.5,0]);
      this.actions.push([0,0.5]);
",Pascal66,
74,2016-12-31 05:14:38,"I am slowly working through the rldemo and this is what I have:
<S_CODE_TOKEN>
This should help a bit. Sorry that the distance ahead is vague. I am not familiar with the calculations used for moving (two inputs that combine rotation and distance).",rajshah4,
73,2016-09-23 16:55:52,"Since i've successfully adapted and trained my network.

How can i use it to predict a result ?

say i've 4 entry and 3 output to make on choice

i want to give 4 new entry to the trained network and get back 1 of the 3 possible  choice.
and certainly retrain with the new value if it appear that the result is wrong ?
thank you
",Pascal66,
72,2016-09-19 17:31:19,"Hello, I'm a new comer to deep learning.
And I'm just curious about why you use javascript to implement convnet that need
expensive computation ? Why not just use python, or c++ ? Is there any specific reason ?
",YuChunLOL,
72,2016-09-19 19:53:57,"I believe this was just meant as a demo, it's not a framework to be used for production applications. The datasets are modest and the use of JavaScript makes it more simple to do the beautiful presentations without a lot dependencies and glue code complicating everything. 
",davidparks21,
72,2016-09-21 17:47:28,"I think that JavaScript is perfectly fine for AI and in some cases there is no other option, such as running in a web browser or a (hybrid) mobile APP .

Performance-wise there is no reason to believe that JavaScript would perform significantly slower than Python. The reason why Python is used over C++ is not performance, it is the ecosystem.

For fast execution Python or C++ might not even be the best for neural networks as GPGPU computing could be the ultimate solution for fast parallel computing of lots of artificial neurons. In that case JavaScript would yield roughly the same performances as Python of C++.

Because it is about the ecosystem it is important to build one, this is what's missing for JavaScript, not fast computation as so far the cleat winner would be Python.
",uiteoi,
72,2016-10-01 17:04:36,"JS is the best solution and everyone should go for it. It is faster then everything else because it is distributed. It is not necessary the main idea of this framework, although, should be. Consider using only 10% of computer power on every visitor of a popular website and you can easily get hundreds/thousands computing hours a day.  The best part, you get it for free.
",MariasStory,
72,2016-10-28 15:42:11,"Personally, I think Javascript is not exactly a good idea, despite my own interest in this. Some of the bigger deep networks are too big to fit into the browser. For example, VGG 19 layers, which is around 500MB+, something that size would be difficult to handle in browsers.

If you're looking to seriously train and play with deep learning, I'd suggest going with Caffe. Also, for beginners, Caffe is a lot friendly (more tutorials and various places to ask.) 
",LimeCookies,
72,2016-11-15 22:32:49,"there is port for c# https://github.com/cbovar/ConvNetSharp and behold it **isn't** worthless piece of garbage, it actually compiles! I guess you can convert it to c++ for turbo needs.
",radioman,
