issue_num,datetime,body,login,mention_login
72,2016-11-16 10:01:20,"@YuChunLOL  **convnetjs**  is an excellent library for in-browser visualizations / interactive demos. However, given numerical performance of V8 (JavaScript) and derivates, it is far from being optimal for production use (read it number crunching and analysis). As @uiteoi suggested you might want to have a look on **TensorFlow** or **Caffe**.

@MariasStory 

> JS is the best solution and everyone should go for it. It is faster then everything else because it is distributed.

It seems you got confused here; a bit.
",ktamiola,MariasStory
72,2016-11-16 10:01:20,"@YuChunLOL  **convnetjs**  is an excellent library for in-browser visualizations / interactive demos. However, given numerical performance of V8 (JavaScript) and derivates, it is far from being optimal for production use (read it number crunching and analysis). As @uiteoi suggested you might want to have a look on **TensorFlow** or **Caffe**.

@MariasStory 

> JS is the best solution and everyone should go for it. It is faster then everything else because it is distributed.

It seems you got confused here; a bit.
",ktamiola,uiteoi
72,2016-11-16 10:01:20,"@YuChunLOL  **convnetjs**  is an excellent library for in-browser visualizations / interactive demos. However, given numerical performance of V8 (JavaScript) and derivates, it is far from being optimal for production use (read it number crunching and analysis). As @uiteoi suggested you might want to have a look on **TensorFlow** or **Caffe**.

@MariasStory 

> JS is the best solution and everyone should go for it. It is faster then everything else because it is distributed.

It seems you got confused here; a bit.
",ktamiola,YuChunLOL
64,2016-06-06 10:37:25,"@wfidditch cut each letter in image to separate image, then determine each separate letter and combine back to word
",axvm,wfidditch
64,2016-06-07 07:56:19,"@wfidditch did you have in mind here generating matrix of classes as opposed to a binary vector?
",ktamiola,wfidditch
61,2016-01-24 17:23:51,"E[weight] = drop_prob_0 + (1-drop_prob)_w[i] = (1-drop_prob)*w[i], so I agree with @avdmitry
",jruales,avdmitry
61,2016-01-24 17:44:18,"@avdmitry 's solution agrees with Figure 2 in the third page of the dropout paper: http://www.cs.toronto.edu/~rsalakhu/papers/srivastava14a.pdf

The Keras library takes a different approach (but still somewhat equivalent): it divides by the retain probability during training time so that during testing the dropout layer is just an identity function
https://github.com/fchollet/keras/blob/master/keras/layers/core.py#L621
https://github.com/fchollet/keras/blob/master/keras/backend/theano_backend.py#L555
",jruales,avdmitry
54,2015-12-06 22:28:26,"@craigmcmillan01 If you using node.js I guess you should try use readFileSync instead. cause as understand your code working asynchronously, which probably mean that in the moment you call for brain.forward(state); brain is still empty.

I used something like that.


",libraua,craigmcmillan01
54,2015-12-06 22:45:53,"@libraua Thanks! that was exactly the issue. 
",craigmcmillan01,libraua
53,2016-01-24 01:40:30,"@salamanders – were you able to solve this issue?
",nemo,salamanders
53,2016-01-27 02:55:36,"I'm also experiencing this. @salamanders, @nemo - did you figure this out?
I note that the comment for ""RegressionLayer"" in convnet.js says that:



so it seems to me that warning might be out-of-date, as y can either be an Array or a structure (like this) for the regression layer?
",DrGlennn,nemo
53,2016-01-27 02:55:36,"I'm also experiencing this. @salamanders, @nemo - did you figure this out?
I note that the comment for ""RegressionLayer"" in convnet.js says that:



so it seems to me that warning might be out-of-date, as y can either be an Array or a structure (like this) for the regression layer?
",DrGlennn,salamanders
