issue_num,datetime,body,login,mention_login
3942,2017-03-27 21:27:30,"Hey @colekas-csc, this is intended functionality in Requests 2.13.0. When Requests receives a redirect, it strips the payload to prevent unintentional transfer of information to the wrong server. We're a tad overzealous with this right now which is why this behavior will be modified in 3.0.0, but for now we must maintain this for backwards compatibility.

Thanks for taking the time to check in on this though!",nateprewitt,colekas-csc
3940,2017-03-26 18:39:39,"@Lukasa Thanks for your comments!

I was able to resolve this by explicitly specifying the certificate like below:
os.environ[""REQUESTS_CA_BUNDLE""] = ""F:/emulator_certificate.cer""

I wanted to avoid checking-in this certificate in my file system for running my automated tests. Is there a way in which Python can look into my Windows Certification Manager store to see if this certificate is installed and use it rather than me having to explicitly export it and provide it as above?
",rnagpal,Lukasa
3940,2017-03-27 04:24:40,"@Lukasa Thanks for the suggestion!
I went ahead and used wincertstore and it works without me having to extract and specify the certificate.",rnagpal,Lukasa
3939,2017-03-24 10:49:09,"Thanks @Lukasa here is the code that failing

",a-sharma11,Lukasa
3939,2017-03-24 11:01:17,"@Lukasa Yes it should be the same in this case(hardcoded shown below). Also I made one simple request using postman which should have only triggered this once and got the same error.
`self.url = base_url + ""/api/platform/v1/session""`

and `base_url` is const and in this case name of the other linked container",a-sharma11,Lukasa
3935,2017-03-23 08:29:52,"@MonsterDeveloper If you have an issue like #2955, have you tried examining the solution provided there? Can you tell me what server you're having trouble with? Can you tell us what version of Python and OpenSSL you're using? The reason is that Requests *does* trust LE certificates.",Lukasa,MonsterDeveloper
3935,2017-03-23 11:37:58,"@MonsterDeveloper I also cannot reproduce this, but there's also too many versions of Python, OpenSSL, and Requests to try to guess at your current problematic configuration. Please supply as much information as possible.",sigmavirus24,MonsterDeveloper
3928,2017-03-23 16:55:33,@kennethreitz perfectly reasonable to do it with 3.0,sigmavirus24,kennethreitz
3924,2017-03-15 08:37:08,"@Lukasa 
Python version: 
Requests version:
Other packages:


Here is my relative code: , and I also use gevent in my app.
",i2it,Lukasa
3924,2017-03-15 08:39:49,"@Lukasa Ok, I'll have a try.",i2it,Lukasa
