issue_num,datetime,body,login,mention_login
3940,2017-03-26 18:39:39,"@Lukasa Thanks for your comments!

I was able to resolve this by explicitly specifying the certificate like below:
os.environ[""REQUESTS_CA_BUNDLE""] = ""F:/emulator_certificate.cer""

I wanted to avoid checking-in this certificate in my file system for running my automated tests. Is there a way in which Python can look into my Windows Certification Manager store to see if this certificate is installed and use it rather than me having to explicitly export it and provide it as above?
",rnagpal,Lukasa
3940,2017-03-27 04:24:40,"@Lukasa Thanks for the suggestion!
I went ahead and used wincertstore and it works without me having to extract and specify the certificate.",rnagpal,Lukasa
3939,2017-03-24 10:49:09,"Thanks @Lukasa here is the code that failing

",a-sharma11,Lukasa
3939,2017-03-24 11:01:17,"@Lukasa Yes it should be the same in this case(hardcoded shown below). Also I made one simple request using postman which should have only triggered this once and got the same error.
`self.url = base_url + ""/api/platform/v1/session""`

and `base_url` is const and in this case name of the other linked container",a-sharma11,Lukasa
3928,2017-03-23 16:55:33,@kennethreitz perfectly reasonable to do it with 3.0,sigmavirus24,kennethreitz
3924,2017-03-15 08:37:08,"@Lukasa 
Python version: 
Requests version:
Other packages:


Here is my relative code: , and I also use gevent in my app.
",i2it,Lukasa
3924,2017-03-15 08:39:49,"@Lukasa Ok, I'll have a try.",i2it,Lukasa
3922,2017-03-14 15:42:26,"Yep, this is a bug in the last release of pipenv. There's a patch underway, thanks @Lukasa!",nateprewitt,Lukasa
3919,2017-03-08 17:03:16,"@Lukasa, are you sure this is fixed in 3.6? The redirect URL being passed back is encoded as utf-8 but we're decoding it as ISO-8859-1 which is what's causing the issues. I'm getting a `TooManyRedirect` exception when trying to use Python3.6 but the request works if I pass the properly decoded Location header: `http://uae.souq.com/ae-ar/ابل-ايفون-7-مع-فيس-تايم-32-جيجا-الجيل-الرابع-ال-تي-اي-ذهبي-11526690/i/`.",nateprewitt,Lukasa
3913,2017-03-07 09:35:52,"Cool, this looks good. I'll wait for the build to go green and merge. Thanks so much @StyXman! :sparkles:",Lukasa,StyXman
3908,2017-03-04 20:56:49,"@Lukasa: Interesting—I'd have thought it's using the system's but apparently it's bundled one.



Would that be the cause?  FWIW, the calls to https://localhost:8080 validate successfully when using `REQUESTS_CA_BUNDLE=cert.pem`, it's everything else that fails.",dbazile,Lukasa
3908,2017-03-04 21:04:50,"@sigmavirus24: They're not in `cert.pem`.

But it's not the same behavior that I saw in Python 3.5 (which checked `REQUESTS_CA_BUNDLE` first and fell back on the system's trust store for everything else).

Is there a way to configure this previous behavior without `cat`ing the entire system's trust chain into cert.pem?",dbazile,sigmavirus24
3908,2017-03-04 21:12:13,"I think you're right; Python 3.5 didn't bundle OpenSSL but 3.6 does:



I think my solution is to grab and concat all the certs my code will be using into an actual bundle and use that instead.

Thank you much, @Lukasa @sigmavirus24!",dbazile,Lukasa
3908,2017-03-04 21:12:13,"I think you're right; Python 3.5 didn't bundle OpenSSL but 3.6 does:



I think my solution is to grab and concat all the certs my code will be using into an actual bundle and use that instead.

Thank you much, @Lukasa @sigmavirus24!",dbazile,sigmavirus24
3906,2017-03-04 13:47:22,"@Lukasa, while I think this should be closed (since it's not a Requests bug), I also wonder if the selectors code in urllib3 should attempt to fallback to less efficient methods in cases like this and only then let the OS error bubble up. Thoughts?",sigmavirus24,Lukasa
