issue_num,datetime,body,login,mention_login
86,2016-02-10 21:18:02,"@romuald: No, it isn’t.


",charmander,romuald
81,2015-10-29 06:00:24,"@minimaxir Note that when the list changes, cd to naughtystrings and run ""go generate"", then commit the changes to the generated file in naughtystrings/internal. (Must have go installed to use ""go generate"" unfortunately; hopefully that won't be much of a burden. Or I guess Go users can periodically run it for you and send a PR; in that case, it would be good to add a note in the README about it.
",willfaught,minimaxir
81,2015-10-29 07:30:59,"My pleasure! Thanks again for the feedback @matrixik.
",willfaught,matrixik
81,2015-10-29 07:46:28,"@minimaxir I should also add that the generate command at the top of naughtystrings/naughtystrings.go is this: `go-bindata -ignore \.git\S* -ignore LICENSE -ignore README\.md -ignore blns\.base64\.txt -ignore blns\.txt -ignore package\.json -o internal/resource.go -nocompress -pkg internal ..`. Note that the command has to explicitly list all the files you _don't_ want added as a resource to the binary from the big-list-of-naughty-strings directory. If you add any new files to the big-list-of-naughty-strings directory (that's the `..` part), you'll have to exclude them in that command too. It's very unfortunate, but the `go-bindata` command only supports exclusion right now. Hopefully I or someone else can add inclusion flags to it some time so the generate command doesn't have to be as brittle as this.
",willfaught,minimaxir
70,2015-09-10 13:54:56,"I came here to say the same thing.

@minimaxir It's quite easy:


",eins78,minimaxir
59,2015-08-20 07:26:21,"@stuartpb I though it over, but I'd rather have the 502 which has greater impact because:
- Google `cirosantilli` leads directly to my website page which contains all my projects
- the front page is notoriously useless, with only 5 projects
",cirosantilli,stuartpb
46,2015-08-19 19:37:07,"@stuartpb To quote the link you just cited (emphasis mine):

> **The Unicode Standard permits the BOM in UTF-8**,[2] but does not require or recommend its use.[3] Byte order has no meaning in UTF-8,[4] so its only use in UTF-8 is to signal at the start that the text stream is encoded in UTF-8. **The BOM may also appear when UTF-8 data is converted from other encodings that use a BOM. The standard also does not recommend removing a BOM when it is there**, so that round-tripping between encodings does not lose information, and so that code that relies on it continues to work.[5][6]
",ssokolow,stuartpb
46,2015-08-19 20:16:46,"@stuartpb However, that does not apply to many web applications because they accept ""plaintext"" generated by Microsoft applications or Google Docs.

> Even so, Microsoft compilers[9] and interpreters, and many pieces of software on Microsoft Windows such as Notepad will not correctly read UTF-8 text unless it has only ASCII characters or it starts with the BOM, and will add a BOM to the start when saving text as UTF-8. Google Docs will add a BOM when a Microsoft Word document is downloaded as a plain text file.
",ssokolow,stuartpb
46,2015-08-19 20:35:15,"@stuartpb My point was that, ""The presence of a BOM anywhere in UTF-8 is a bug."" sounded like you might have been misinterpreting the way this case should be tested and, when you clarified, it still felt like you might have been misinterpreting... just in how the standard applied to the applications in question rather than what the standard said... something I no longer think.
",ssokolow,stuartpb
146,2017-02-20 10:00:02,Shout out to @davbo for starting this with #127,buckett,davbo
144,2017-02-16 10:34:39,"@ChipWolf To be honest, we shouldn't need the copyright date in the first place since it's not bound to US law in any states if @minimaxir is American, so we could just remove it all together",Phineas,minimaxir
81,2015-10-27 19:04:18,"Thanks for the feedback, @matrixik!
",willfaught,matrixik
81,2015-10-27 22:59:06,"@minimaxlr I'm waiting for @matrixik to reply.
",willfaught,matrixik
81,2015-10-28 23:23:20,"Addressed @matrixik's feedback.
",willfaught,matrixik
70,2015-09-08 17:11:50,"@minimaxir I saw that there is a `package.json`, but there isn't actually a NPM package attached to it. Would you mind publishing it to NPM?
",DaAwesomeP,minimaxir
