issue_num,datetime,body,login,mention_login
8196,2017-03-26 12:58:45,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_preview** from @timvandermeij received. Current queue size: 0

Live output at: http://107.21.233.14:8877/6d3698c2b747ebf/output.txt",pdfjsbot,timvandermeij
8196,2017-03-26 13:01:09,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_test** from @timvandermeij received. Current queue size: 0

Live output at: http://107.21.233.14:8877/b9f3673308103a1/output.txt",pdfjsbot,timvandermeij
8196,2017-03-26 13:01:10,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_test** from @timvandermeij received. Current queue size: 0

Live output at: http://54.215.176.217:8877/6ba928d6dc63677/output.txt",pdfjsbot,timvandermeij
8194,2017-03-25 17:02:20,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_test** from @Snuffleupagus received. Current queue size: 0

Live output at: http://107.21.233.14:8877/767a7afa6a98489/output.txt",pdfjsbot,Snuffleupagus
8194,2017-03-25 17:02:21,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_test** from @Snuffleupagus received. Current queue size: 0

Live output at: http://54.215.176.217:8877/5c640bf6c539948/output.txt",pdfjsbot,Snuffleupagus
8192,2017-03-24 15:12:52,"@yurydelendik For me this is analogous to the situation where a couple of Web APIs had to change their names because MooTools was applying partial polyfills and code on the Web started depending on it.

Polyfilling is risky, IMO it should be done only with complete polyfills and only in final apps, not in libraries. If libraries need a particular API that's not available everywhere, they should wrap the native API in an utility function and use that function; that removes the whole class of possible bugs like this one.

In short: library code shouldn't modify objects it doesn't own, e.g. native browser globals.",mgol,yurydelendik
8192,2017-03-24 15:18:25,"> Polyfilling is risky

@mgol oh, I agree. Entire PDF.js viewer application must reside in its own sandbox (I recommend iframe), but people keep using it within bigger apps. So we have to react accordingly.",yurydelendik,mgol
8190,2017-03-23 20:42:44,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_test** from @Snuffleupagus received. Current queue size: 0

Live output at: http://107.21.233.14:8877/f457c2d562dd976/output.txt",pdfjsbot,Snuffleupagus
8190,2017-03-23 21:47:51,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_test** from @Snuffleupagus received. Current queue size: 0

Live output at: http://54.215.176.217:8877/5facc8340bbd646/output.txt",pdfjsbot,Snuffleupagus
8190,2017-03-27 14:12:55,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_test** from @Snuffleupagus received. Current queue size: 0

Live output at: http://54.215.176.217:8877/e393cc08072fb15/output.txt",pdfjsbot,Snuffleupagus
8190,2017-03-27 14:47:08,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_makeref** from @Snuffleupagus received. Current queue size: 0

Live output at: http://107.21.233.14:8877/2db836b3910d485/output.txt",pdfjsbot,Snuffleupagus
8190,2017-03-27 14:47:09,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_makeref** from @Snuffleupagus received. Current queue size: 0

Live output at: http://54.215.176.217:8877/8532b7c299aaaa8/output.txt",pdfjsbot,Snuffleupagus
8184,2017-03-22 14:02:16,"#### From: Bot.io (Linux)

----

# Received

Command **cmd_unittest** from @Rob--W received. Current queue size: 0

Live output at: http://107.21.233.14:8877/675be5f607b525c/output.txt",pdfjsbot,Rob--W
8184,2017-03-22 14:02:17,"#### From: Bot.io (Windows)

----

# Received

Command **cmd_unittest** from @Rob--W received. Current queue size: 0

Live output at: http://54.215.176.217:8877/5e940bf99215363/output.txt",pdfjsbot,Rob--W
