issue_num,datetime,body,login,mention_login
3410,2017-03-26 04:55:47,"@mperham - Yes,  and I was following along https://github.com/mperham/sidekiq/wiki/Batches.

I hope hope's it helpful but here's the error log I received:

    {
    context: Job raised exception, 
    job: {
    args: [
    complete, 
    gq8vqsqi6PGezw, 
    default
    ], 
    class: Sidekiq::Batch::Callback, 
    created_at: 1490499153.6902235, 
    enqueued_at: 1490499328.2866085, 
    error_class: NameError, 
    error_message: wrong constant name , 
    failed_at: 1490499153.6977885, 
    jid: 4eb294b68fa801de808828b4, 
    queue: default, 
    retried_at: 1490499328.2948356, 
    retry: True, 
    retry_count: 3
    }, 
    jobstr: {""class"":""Sidekiq::Batch::Callback"",""queue"":""default"",""args"":[""complete"",""gq8vqsqi6PGezw"",""default""],""retry"":true,""jid"":""4eb294b68fa801de808828b4"",""created_at"":1490499153.6902235,""enqueued_at"":1490499328.2866085,""error_message"":""wrong constant name "",""error_class"":""NameError"",""failed_at"":1490499153.6977885,""retry_count"":2,""retried_at"":1490499231.4071321}
    }",ACPK,mperham
3410,2017-03-26 05:00:10,"@mperham  - I've removed the complete line and edited the code to include ""self.step2"" but receive the error:

    {
    context: Job raised exception, 
    job: {
    args: [
    success, 
    u_KxxOWaFiuKrQ, 
    default
    ], 
    class: Sidekiq::Batch::Callback, 
    created_at: 1490503659.5103257, 
    enqueued_at: 1490503678.3210003, 
    error_class: NameError, 
    error_message: wrong constant name DailyWorkflowJob.step2, 
    failed_at: 1490503659.5157926, 
    jid: 8976694c6a4ee7b2fc0e340f, 
    queue: default, 
    retried_at: 1490503678.3260722, 
    retry: True, 
    retry_count: 1
    }, 
    jobstr: {""class"":""Sidekiq::Batch::Callback"",""queue"":""default"",""args"":[""success"",""u_KxxOWaFiuKrQ"",""default""],""retry"":true,""jid"":""8976694c6a4ee7b2fc0e340f"",""created_at"":1490503659.5103257,""enqueued_at"":1490503678.3210003,""error_message"":""wrong constant name DailyWorkflowJob.step2"",""error_class"":""NameError"",""failed_at"":1490503659.5157926,""retry_count"":0}
    }
",ACPK,mperham
3410,2017-03-26 06:21:26,"@mperham When I removed the .self, I still get ""wrong constant name DailyWorkflowJob.step2"".",ACPK,mperham
3410,2017-03-27 01:52:20,"@mperham @myfitment - I got it working by changing "".on(:complete, self)"" to "".on(:complete, self.class)"". Let me know if that works for you @myfitment.",ACPK,mperham
3409,2017-03-27 16:23:32,"Thanks @myfitment @mperham for sharing sample code.

While implementing the same we found an issue with the queue of jobs.

Let's say  `ChildWorker` has `base` queue and `ProductWorker` has `notifications` queue. 
But using above sample code, jobs of `ProductWorker` use `default` queue instead of `notifications`.
",ronakjangir47,mperham
3399,2017-03-22 15:31:13,@mperham done!,novito,mperham
3399,2017-03-23 08:29:28,"@mperham thanks for feedback. I will see if I can reproduce with update, but is hard because I've not even been able to reproduce with my current versions. It happens unexpectedly.",novito,mperham
3393,2017-03-19 08:25:55,"Thanks so much for the speedy response, @mperham !

Ah! Of course!! It now seems so obvious, no clue how I didn't think of it...

So there was a ""lost"" sidekiq process that obviously didn't get the USR2 signal ...

We're on 14.04, so I think systemd isn't available yet, but I've had some not-so-great experience with upstart (although it was a few years ago now), and the next upgrade we'll probably be on systemd. I'll meanwhile just make sure we don't lose any sidekiq processes with a temporary hack or some manual check in the init.d script.

Thanks so much again Mike!",gingerlime,mperham
3392,2017-03-18 15:51:15,💥 thanks for the quick turn-around @mperham!,agrobbin,mperham
3390,2017-03-16 18:16:43,Thanks @mperham ! <3,bobber205,mperham
