issue_num,datetime,body,login,close_date
992,2017-03-27 04:02:35,"trojan$ sudo npm install node-inspector -g
Password:
npm WARN lifecycle v8-debug@0.7.7preinstall: cannot run in wd %s %s (wd=%s) v8-debug@0.7.7 node -e 'process.exit(0)' /Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/.staging/v8-debug-89dbfbca
npm WARN lifecycle v8-profiler@5.6.5preinstall: cannot run in wd %s %s (wd=%s) v8-profiler@5.6.5 node -e 'process.exit(0)' /Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/.staging/v8-profiler-64c78e35
/Users/trojan/.nvm/versions/node/v7.7.4/bin/node-inspector -> /Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/node-inspector/bin/inspector.js
/Users/trojan/.nvm/versions/node/v7.7.4/bin/node-debug -> /Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/node-inspector/bin/node-debug.js

v8-debug@0.7.7 install /Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/node-inspector/node_modules/v8-debug
node-pre-gyp install --fallback-to-build
node-pre-gyp ERR! Tried to download(404): https://node-inspector.s3.amazonaws.com/debug/v0.7.7/node-v51-darwin-x64.tar.gz
node-pre-gyp ERR! Pre-built binaries not found for v8-debug@0.7.7 and node@7.7.4 (node-v51 ABI) (falling back to source compile with node-gyp)
xcode-select: error: tool 'xcodebuild' requires Xcode, but active developer directory '/Library/Developer/CommandLineTools' is a command line tools instance

xcode-select: error: tool 'xcodebuild' requires Xcode, but active developer directory '/Library/Developer/CommandLineTools' is a command line tools instance

CXX(target) Release/obj.target/debug/src/debug.o
../src/debug.cc:38:27: error: too few arguments to function call, expected at least 2, have 1
v8::Debug::Call(fn);
~~~~~~~~~~~~~~~ ^
/Users/trojan/.node-gyp/7.7.4/include/node/v8-debug.h:198:3: note: 'Call' declared here
static MaybeLocal Call(Local context,
^
../src/debug.cc:46:61: error: too few arguments to function call, single argument 'isolate' was not specified
Isolate* debug_isolate = v8::Debug::GetDebugContext()->GetIsolate();
~~~~~~~~~~~~~~~~~~~~~~~~~~ ^
/Users/trojan/.node-gyp/7.7.4/include/node/v8-debug.h:248:3: note: 'GetDebugContext' declared here
static Local GetDebugContext(Isolate* isolate);
^
../src/debug.cc:61:67: error: too few arguments to function call, single argument 'isolate' was not specified
Local debug_context = v8::Debug::GetDebugContext();
~~~~~~~~~~~~~~~~~~~~~~~~~~ ^
/Users/trojan/.node-gyp/7.7.4/include/node/v8-debug.h:248:3: note: 'GetDebugContext' declared here
static Local GetDebugContext(Isolate* isolate);
^
../src/debug.cc:66:54: error: too few arguments to function call, single argument 'isolate' was not specified
debug_context = v8::Debug::GetDebugContext();
~~~~~~~~~~~~~~~~~~~~~~~~~~ ^
/Users/trojan/.node-gyp/7.7.4/include/node/v8-debug.h:248:3: note: 'GetDebugContext' declared here
static Local GetDebugContext(Isolate* isolate);
^
4 errors generated.
make: *** [Release/obj.target/debug/src/debug.o] Error 1
gyp ERR! build error
gyp ERR! stack Error: make failed with exit code: 2
gyp ERR! stack at ChildProcess.onExit (/Users/trojan/.nvm/versions/node/v7.7.4/lib/node_modules/npm/node_modules/node-gyp/lib/build.js:276:23)
gyp ERR! stack at emitTwo (events.js:106:13)
gyp ERR! stack at ChildProcess.emit (events.js:194:7)
gyp ERR! stack at Process.ChildProcess._handle.onexit (internal/child_process.js:215:12)
gyp ERR! System Darwin 16.4.0",trojanliu,
992,2017-03-28 02:27:32,I'm also getting this error for node v7.6.0 and npm v4.1.2,dwicao,
991,2017-03-23 12:25:06,,hustxiaoc,
990,2017-03-21 08:24:36,make it work on node6.x,hustxiaoc,2017-03-22 09:47:51
989,2017-03-21 03:22:03,"I execute the command ""node --debug-brk src/middleware/permissionHandler.js &"", and the command ""node-inspector &"", then I access it using ""http://101.37.36.41:8080/?port=5858"". Then, I can find the ""permissionHandler.js"" file.
Next, I open another tab and access formio ""http://101.37.36.41:3005/"". But, when I debug the permissionHandler.js, the cursor always skip the code ""module.exports = function(router) {}"".
So, when the code ""module.exports = function(router) {}"" in permissionHandler.js file will be called
 and how to debug it? Could you pls give me some suggestions? Thanks!
![d7c875f4-0e3f-11e7-8c0a-2ce54e004bd1](https://cloud.githubusercontent.com/assets/25890017/24138035/8fc9e0e6-0e51-11e7-90c7-d44fe5335e0c.png)
",JenifferWuUCLA,
989,2017-03-21 12:07:23,"The code `module.exports = function(router) {}`  is an assignment expression and the `function`  is not called at the frame, so there is nothing to step into.",hustxiaoc,
988,2017-03-20 08:45:55,,bajtos,2017-03-20 08:46:12
987,2017-03-13 07:40:04,,chrisdamba,2017-03-13 07:40:17
986,2017-03-12 08:55:09,<S_CODE_TOKEN>,shaunstanislaus,
986,2017-03-12 17:47:27,same issue here.,system65,
