issue_num,datetime,body,login,mention_login
986,2017-03-16 07:57:00,"@elchado 

> Make sure guys you are not running the app in another tab. close the terminal and also read the documentation of the app. first install node-inspector running in terminal : node-inspector

wat? This commment has nothing to do with the problem at hand. You must be confusing something.",buschtoens,elchado
986,2017-03-17 07:46:19,"@cyc115 Your error is a bit different. You're running `npm` as root and get file permission errors, weirdly enough. Try installing `babel-node-debug` as a non-root user or switch to a complete root shell with `sudo -s` and then `cd`.

You'll then get the same error as everybody else in this issue.

There's no suitable pre-built binary:


That's why `node-gyp` attempts to build them itself. But it fails accessing the desired temporary working directory, so it attempts to switch to a different one:


This one's missing `node-gyp` configuration files though:



---

By the way: running npm as a root user is a huge threat to your system's security.",buschtoens,cyc115
977,2017-02-28 10:55:47,"@marcbachmann Since most of the smart TV providers are using this tool for their browsers and they won't update their node versions (so we won´t be able to use `node --inspect`), this is the only way that people who develop with TVs can debug properly (the alternative is weinre, which is a really old-fashioned tool in these times).

For these reasons, I think that this project is still relevant.
",frankcortes,marcbachmann
970,2017-02-01 18:38:02,@JeffML this is a duplicate of #903.,gabmontes,JeffML
963,2017-02-06 16:40:47,"Hello @adamzerner 

I`m getting the same problem here.

Run on the terminal: 
**$ sudo lsof -i:5858**

You`ll find the process that is using the port.

And the, kill the process by running:
**$ sudo kill 0000**

Where the 0000 is the number of the process that is using the :5858 port.

Just warning: For me , also running Mac , it solved half of the problem, because I `m still unable to run node-debug without getting an error.",thePedroPaulino,adamzerner
960,2017-02-12 07:52:16,"Same env as @AlexPoirier1 

npm -- version
4.2.0
node --version
v7.4.0

Reverted back to node v6.9.5 and the install worked.",jnwu,AlexPoirier1
956,2016-12-27 01:27:06,@bajtos Thanks and wish you happiness in the year to come. :),sparkleholic,bajtos
950,2016-12-06 22:12:11,@virtualadrian This worked for me. I am using nvm and ran `nvm install 6.9.1` and then `nvm use 6.9.1` and it installed just fine. Thank you.,msholty-fd,virtualadrian
950,2016-12-08 06:54:15,@virtualadrian it installed just fine but it just not works ,lostcodder,virtualadrian
950,2017-02-13 17:32:53,"Won't install on Node 7.5.0 (npm 4.1.2, OSX 10.10.5). 

Same issues/output as @DealPete 

Unfortunately downgrading is not an option for me.
",sandro-pasquali,DealPete
950,2017-03-14 15:01:17,@virtualadrian 's solution work for me.,jimmyko,virtualadrian
947,2016-11-27 21:22:36,"@leegee i'm seeing the same thing! have you found a workaround?

(i'm on node `v5.10.1` btw)",brandly,leegee
947,2017-01-17 08:15:56,"@brandly — Sorry, no, but next time I need this module, I'll take Steve's advice.",leegee,brandly
942,2016-11-02 21:57:03,"@ryanspillsbury90 , just to prevent you from wasting time. This one is unlikely to be merged, repo doesn't look maintained.
",iamfrontender,ryanspillsbury90
942,2016-11-08 20:07:58,"@iamfrontender I saw that your workaround solves the problem of the Enter not working in the console, however, if I assign something new to an already existing variable the value does not get reflected. Do you know why that might happen?

This same thing does not happens if you define the variable in the console, but it does happens for existing ones:

**Variables defined in console**

<pre>
var aVar = 2
undefined
aVar
2
aVar = 3
3
aVar
3
</pre>

_versus_

**Variables already defined in the code** and trying to overwrite its value during a breakpoint:

<pre>
ip
""1.1.1.1""
ip='Hello'
""Hello""
ip
""1.1.1.1""
</pre>
",cgadam,iamfrontender
940,2016-11-09 18:25:27,"@brandonpsmith Yep. `node --inspect`. See it [in action](http://www.mattzeunert.com/2016/06/01/node-v8-inspector-inspect.html).
",nfantone,brandonpsmith
932,2016-11-15 06:37:17,"@samuelcastro @pospi do you guys run into the issue where it opens a new window for the inspector whenever your server reloads? kind of a pain in the but using the --inspect flag for me
",grantgeorge,samuelcastro
932,2016-11-15 06:37:17,"@samuelcastro @pospi do you guys run into the issue where it opens a new window for the inspector whenever your server reloads? kind of a pain in the but using the --inspect flag for me
",grantgeorge,pospi
932,2017-03-12 01:03:55,"@samuelcastro thanks for the tip!

The `--inspect` flag on the Node.js runtime is a great alternative!",Zignd,samuelcastro
930,2016-09-26 23:46:31,"@bajtos Thanks for replying.
Yes you're right. I'm also noticed that the recent node v6.4 is supporting `inspect` option. It's really good news. 
But in my case, I'm using the node in the embedded device which is pretty old version(v0.12.0). So unfortunately I can't use `inspect` option there. :(
",sparkleholic,bajtos
930,2016-11-16 09:31:11,"@naholyr node 7 --inspect supports the profiles tab
",graingert,naholyr
930,2016-12-07 02:01:15,"I'd like to use this node-inspector to debug node.js remotely, But the latest code looks it needs to run node-inspector on the same machine running on the local machine.
Even though I submitted a PR (https://github.com/node-inspector/node-inspector/pull/919) regarding this but it just supports only source viewing and break point.
In order to support other tabs like console, profile and etc, it seems like it should inject some modules to the running nodejs process via getting console object.

@bajtos 
In the case that the running nodejs process doesn't have console object because it substitutes for the other, node-inspect cannot inject modules into.
If injection is not available, the node-inspector cannot support forwarding console output, tabs functions like profile/console/etc.
But I'd like to use this project only for view source and setting break-point except other features.
So may I distribute this as another project name ? (maybe `node-inspector-remote` ?)
I just want to do this through forking the old node-inspect branch.
Please take a look at this (https://github.com/sparkleholic/node-inspector/commit/ef554d8ac26826d74e1113ba7cbe14c47ee4fe65)
",sparkleholic,bajtos
930,2016-12-07 12:22:25,"> @sparkleholic  But I'd like to use this project only for view source and setting break-point except other features. So may I distribute this as another project name ? (maybe node-inspector-remote ?)

Of course! Just make sure to give credit to the original project, this is usually done via `NOTICE` file in project root. See e.g. https://github.com/strongloop/loopback-datasource-juggler/blob/80d2264bc940e764bb8eb0aa3fa12f4ac770fb0d/NOTICE. (Just keep in mind that node-inspector has a different license than the projects mentioned by loopback-datasource-juggler.)

> I just want to do this through forking the old node-inspect branch. Please take a look at this (sparkleholic@ef554d8)

What branch would you like to target? [0.7.4](https://github.com/node-inspector/node-inspector/commit/6b147d968bb7dfd0967665b1d85ee2b64559e999) is the last version I am familiar with. If you like, I can create a long-lived branch `0.7.x` from `v0.7.4` and release `v0.7.5` with your patch. That way you don't have to fork.",bajtos,sparkleholic
930,2016-12-07 16:48:50,"Thanks @bajtos for the fast response.

> What branch would you like to target? 0.7.4 is the last version I am familiar with. If you like, I can create a long-lived branch 0.7.x from v0.7.4 and release v0.7.5 with your patch. That way you don't have to fork.

`0.7.x branch` would be nice :) 
If you do so, I don't have to fork as you mentioned.
Would you let me know when 0.7.x branch is made so that I can make a PR into it. :)
Thanks for your kind feedback.
",sparkleholic,bajtos
930,2016-12-07 18:01:16,"@sparkleholic excellent, here is the branch: https://github.com/node-inspector/node-inspector/tree/0.7.x",bajtos,sparkleholic
930,2016-12-09 02:47:18,"@bajtos I've just made a PR(https://github.com/node-inspector/node-inspector/pull/956) into `0.7.x branch`.
I'll be appreciated if you review it. 
Thanks. ",sparkleholic,bajtos
929,2017-03-21 22:35:51,"@bochen2014 I ran into the same issue, I think it's because bin/mocha spawns a sub-process which executes bin/_mocha

I found that out from this comment at the top of the bin/mocha file:


I was successful running it like so:
",MagicDuck,bochen2014
929,2017-03-22 05:45:55,I see... thanks @MagicDuck ,bochen2014,MagicDuck
928,2016-09-27 08:06:00,"@vird yes,it's work,but breakpoints can't work
",15920353089,vird
928,2016-10-27 09:22:08,"@RocketRooster this is going off-topic for this repository. Try the Node.JS mailing list?
",mightyiam,RocketRooster
918,2016-09-27 07:42:06,"@amelon how can i do this error?
",15920353089,amelon
914,2017-01-07 17:16:13,"@Kreozot I think we need to check if NM.length==0.
`cb(error, NM.length==0 ? null : NM[0].ref);`

This bug prevents me from debugging React Native project. Hope it will be merged soon and all react native developers will benefit.",vinceyuan,Kreozot
914,2017-01-17 03:57:15,@Kreozot Please take a look at my previous comment.,vinceyuan,Kreozot
914,2017-01-17 10:18:39,"@vinceyuan I don't see any difference between checking `error` (which defines when NM.length equals zero) and checking `NM.length` itself. Do you think that checking `NM.length` is more clear way?
",Kreozot,vinceyuan
914,2017-01-17 10:26:26,@Kreozot Yes. I think so. But you are right. Actually there is no difference in this context.,vinceyuan,Kreozot
911,2016-08-27 13:32:46,"@shri3k Thx so much.
I use Express MVC library.The view engine of Express is EJS.
I try to add node.js built-in debugger statement to EJS template.At this  moment,i can break on this breakpoint,but i can not add other breakpoints by clicking siderbar in mouse's left key.
Do you understand what i say?Can you help me?Thx.
",pei-han,shri3k
911,2016-09-02 16:38:52,"Sorry @pei-han. Didn't see this reply. I wouldn't call it Express as an MVC library but rather an http framework. Also, you can pick whichever view engine in express, totally up to you. Like I was saying in my previous reply, you're more likely to see [`response.render('your_view_name' , {some:'data'})`](http://expressjs.com/en/advanced/developing-template-engines.html) rendering on your server-side. You could technically put a breakpoint there and `step in` via `node-inspector` to see what's going on but other than that I haven't seen a clearer way to debug templates (which is possibly why you see people recommend you to not put your app logic in templates if at all possible).
",shri3k,pei-han
907,2016-08-25 01:23:41,"@InfinitiesLoop Right you are, thanks for that!
",bdanmo,InfinitiesLoop
907,2016-08-25 13:34:32,"@bertolo1988 As stated above, this is a duplicate of #905
",superclarkk,bertolo1988
907,2016-08-27 11:17:54,"@przemuh Downgrading to 6.3.1 worked for me on Ubuntu 14.04
",olavk,przemuh
907,2016-10-29 15:10:50,"@ZinLeo send pull request please!
",bertolo1988,ZinLeo
907,2016-11-14 12:18:56,"@ccqgithub @errord 

Maybe node with higher version(6.9.1) built in inspect, and `node-inspect` don't update longer..
**solution**:use `node --inspect yourapp` replace `node-inspect & node --debug yourapp`
It worked for me.
",wujunchuan,errord
907,2016-11-14 12:18:56,"@ccqgithub @errord 

Maybe node with higher version(6.9.1) built in inspect, and `node-inspect` don't update longer..
**solution**:use `node --inspect yourapp` replace `node-inspect & node --debug yourapp`
It worked for me.
",wujunchuan,ccqgithub
907,2016-11-14 13:01:08,"@wujunchuan that's true, very thanks ……
",ccqgithub,wujunchuan
907,2016-11-14 16:37:44,"@ccqgithub Use `node --inspect --debug-brk yourapp` to force the app to pause and wait so you have time to copy the chrome link.
",bertolo1988,ccqgithub
907,2016-11-28 09:33:43,"@wujunchuan worked for me, on node 6.9.1. great


",Vlandmist,wujunchuan
907,2016-11-29 11:35:04,@wujunchuan Worked like a charm! Thanks!!!,ppalladino,wujunchuan
907,2016-12-17 09:31:00,@wujunchuan node --inspect app.js works well! Thanks!,jonchenn,wujunchuan
907,2016-12-19 23:15:45,"@scniro 

Sorry its been a while. I had trouble using the node-inspect module, so I updated node to use the built-in v8 debugger released in [6.3.0](https://github.com/nodejs/node/blob/master/doc/changelogs/CHANGELOG_V6.md#2016-07-06-version-630-current-fishrock123).

Using the v8 debugger, I then ran into an issue where the dev-tools were loading but no code was loading. This was because I had my hosts files mapping localhost to a different address than default. I changed this mapping and then `--inspect` or `--inspect --debug-brk` worked.

Further, it seems that there has been an update to node in [6.9.2](https://github.com/nodejs/node/blob/master/doc/changelogs/CHANGELOG_V6.md#2016-12-06-version-692-boron-lts-thealphanerd) to resolve that problem I had with inspector by having inspector now prompt user to use 127.0.0.1 rather than localhost.",Elliot128,scniro
907,2017-02-12 18:28:21,"I have set up the debugging after @Pierre-LoanJ description or I just use node --inspect app.js. Everything looks good so far. I can debug the first start in the app.js. But if I want to debug an endpoint with POSTMAN, I get the error ""Cannot POST /api/trainingsWeek"". The endpoint works if I don't debug.

Do I have to take another address? Or anoter tool than POSTMAN?

![first](https://cloud.githubusercontent.com/assets/25726457/22864836/f128370e-f158-11e6-827f-5e4f73e5e232.JPG)
![second](https://cloud.githubusercontent.com/assets/25726457/22864837/f12ae2a6-f158-11e6-90aa-de0a5ecb13c9.JPG)
![third](https://cloud.githubusercontent.com/assets/25726457/22864838/f141e42e-f158-11e6-8a03-b9acebd07d7a.JPG)",ddg86,Pierre-LoanJ
907,2017-02-13 20:23:09,"+1 for @ddg86 got the same issue and need to solve this....
",BigPun86,ddg86
907,2017-02-17 10:57:53,"It is running. Maybe someone did the same stupid mistake. @BigPun86  @suhailgupta03  @juanlet 

I just used the wrong file and after some research my launch.json was buggy. I am working with Express now and the server set up and the Express set up is devided in two files app.js and www.js. You need to use the www.js as the starting point for debugging.

I use VS Code to debug. To get it running, open your project and the debug view. There should be no configuration available. Click on the little wheel -> choose node.js as the environment

![image](https://cloud.githubusercontent.com/assets/25726457/23062745/4eb9e032-f507-11e6-88dd-2d3af193f070.png)

After that the standard json will be created and looks like this.

![image](https://cloud.githubusercontent.com/assets/25726457/23062809/9930c98c-f507-11e6-86ab-ab0205d4b88e.png)

And then click on the play button with the selection start programm. With that the debugging should run. Now you can use POSTMAN with the same url when you just run your server and the debugger from VS Code should hit your breakpoint.
",ddg86,suhailgupta03
907,2017-02-17 10:57:53,"It is running. Maybe someone did the same stupid mistake. @BigPun86  @suhailgupta03  @juanlet 

I just used the wrong file and after some research my launch.json was buggy. I am working with Express now and the server set up and the Express set up is devided in two files app.js and www.js. You need to use the www.js as the starting point for debugging.

I use VS Code to debug. To get it running, open your project and the debug view. There should be no configuration available. Click on the little wheel -> choose node.js as the environment

![image](https://cloud.githubusercontent.com/assets/25726457/23062745/4eb9e032-f507-11e6-88dd-2d3af193f070.png)

After that the standard json will be created and looks like this.

![image](https://cloud.githubusercontent.com/assets/25726457/23062809/9930c98c-f507-11e6-86ab-ab0205d4b88e.png)

And then click on the play button with the selection start programm. With that the debugging should run. Now you can use POSTMAN with the same url when you just run your server and the debugger from VS Code should hit your breakpoint.
",ddg86,BigPun86
907,2017-02-17 10:57:53,"It is running. Maybe someone did the same stupid mistake. @BigPun86  @suhailgupta03  @juanlet 

I just used the wrong file and after some research my launch.json was buggy. I am working with Express now and the server set up and the Express set up is devided in two files app.js and www.js. You need to use the www.js as the starting point for debugging.

I use VS Code to debug. To get it running, open your project and the debug view. There should be no configuration available. Click on the little wheel -> choose node.js as the environment

![image](https://cloud.githubusercontent.com/assets/25726457/23062745/4eb9e032-f507-11e6-88dd-2d3af193f070.png)

After that the standard json will be created and looks like this.

![image](https://cloud.githubusercontent.com/assets/25726457/23062809/9930c98c-f507-11e6-86ab-ab0205d4b88e.png)

And then click on the play button with the selection start programm. With that the debugging should run. Now you can use POSTMAN with the same url when you just run your server and the debugger from VS Code should hit your breakpoint.
",ddg86,juanlet
907,2017-03-04 04:37:07,"It was not working on Node v.7.6.0.
I did edit that @dacuotecuo recommended in the comments and it works now.",majd-kho,dacuotecuo
906,2016-11-18 10:08:49,"@lynx1983 this only partially fix the problem. Because all my http requests to the node server will hang until timeout. Like i put a breakpoint somewhere, but i didnt.
",tsm91,lynx1983
905,2016-09-07 22:33:46,"Thanks @kmkr but --inspect appears broken if you use the cluster API to fork workers, beware...
",gae123,kmkr
905,2016-09-08 07:32:24,"@kmkr

No they can't. `node --inspect` doesn't work on Windows 64 yet
",wzup,kmkr
905,2016-09-09 19:21:18,"@wzup solution: stop using windows.
",timothyerwin,wzup
905,2016-09-10 00:01:32,"Same issue.
OS: Ubuntu 15.10



Also using node 6.5.0 & npm 3.10.3 with linux brew. My colleague is using Ubuntu as well but nvm with same node/npm releases as mine.  Same issue.

The hack @brannon suggested works for me for now.
",odnarb,brannon
905,2016-09-20 12:51:55,"@LeandroFavero The problem is that hype on Node.js is over, and a lot of temporary solutions became permanent due to the lack of professional developers. Unfortunately `--inspect` is unstable and doesn't work for most of the interested users. I would expect `node-inspector` to disappear the same time as `node-gyp` would get Unicode support and drop Python from dependencies.

For the future commenters: consider using emoji reactions if you have the same setup as previous reporters. There're 2 messages a day with the same content, and it's annoying.
",polkovnikov-ph,LeandroFavero
905,2016-09-20 15:22:35,"@polkovnikov-ph why are you saying stuff like that? lack of professional developers? what is that based on? `--inspect` is new so they still need to patch it up. yes, it sucks that debugging isn't working out right now but they'll get it straightened out. it's unstable because the hype is real.
",timothyerwin,polkovnikov-ph
905,2016-09-22 03:03:58,"@fignuts but what version of node.js are you using?
",polkovnikov-ph,fignuts
905,2016-09-23 08:13:11,"@hgwood, nope, it doesn't fix the real problem. It just fix the uncatch error to output it properly. If you apply the fix, node-inspector will throw another error(`No NativeModule in target scope`)
",e-cloud,hgwood
905,2016-10-19 09:02:04,"@WebReflection It's a bit strange to agree with you, but you're totally correct. It was at least 2 months without a word from a maintainer. The last commit was in April. Looks like native Node's support is anticipated for a long time.
",polkovnikov-ph,WebReflection
905,2016-11-17 12:11:23,"@miroslawmajka FYI `6.3.1` should work too. It's the latest version of node 6 that wasn't instantly crashing.
",WebReflection,miroslawmajka
899,2016-08-03 20:25:07,"Thanks for filing this issue @justin-hackin -- `babel-node-debug` is exactly what I needed.
",uhoh-itsmaciek,justin-hackin
897,2016-07-27 16:35:50,"@cksachdev In my project I type in ""node-inspector --debug-port=5858"" to attach the debugger and host node-services on port 8080. It might be possible that you are typing in a command that exits prematurely. I say that because I get that error every time I close out the node-inspector process.

I'm new to this project and I would normally let an expert respond, but since I noticed no one responded to you in 15 days, I figure my novice answer is better than nothing. Hope that helps.
",wizarrc,cksachdev
873,2016-05-19 00:53:54,"@superclarkk switch to devtool https://mattdesl.svbtle.com/debugging-nodejs-in-chrome-devtools 

node-inspector is not ready for primetime.
",rayfoss,superclarkk
873,2016-06-20 13:27:13,"@LeandroFavero 
Fixed it already, without having to resort to such drastic measures as a full re-install.

On Windows, it seems you **must** issue the `npm install node-inspector -g` command from a shell that has the Node.js installation folder (in `Program Files` by default) as the current working directory, or the installation does not correctly detect which version of Node is installed and thus which version of the debugger to install. (At which point it falls back on a downright _ancient_ version of the v8 debugger, iirc; 0.15.&ndash;something...)
",rjgotten,LeandroFavero
