issue_num,datetime,body,login,mention_login
956,2016-12-27 01:27:06,@bajtos Thanks and wish you happiness in the year to come. :),sparkleholic,bajtos
930,2016-09-26 23:46:31,"@bajtos Thanks for replying.
Yes you're right. I'm also noticed that the recent node v6.4 is supporting `inspect` option. It's really good news. 
But in my case, I'm using the node in the embedded device which is pretty old version(v0.12.0). So unfortunately I can't use `inspect` option there. :(
",sparkleholic,bajtos
930,2016-12-07 02:01:15,"I'd like to use this node-inspector to debug node.js remotely, But the latest code looks it needs to run node-inspector on the same machine running on the local machine.
Even though I submitted a PR (https://github.com/node-inspector/node-inspector/pull/919) regarding this but it just supports only source viewing and break point.
In order to support other tabs like console, profile and etc, it seems like it should inject some modules to the running nodejs process via getting console object.

@bajtos 
In the case that the running nodejs process doesn't have console object because it substitutes for the other, node-inspect cannot inject modules into.
If injection is not available, the node-inspector cannot support forwarding console output, tabs functions like profile/console/etc.
But I'd like to use this project only for view source and setting break-point except other features.
So may I distribute this as another project name ? (maybe `node-inspector-remote` ?)
I just want to do this through forking the old node-inspect branch.
Please take a look at this (https://github.com/sparkleholic/node-inspector/commit/ef554d8ac26826d74e1113ba7cbe14c47ee4fe65)
",sparkleholic,bajtos
930,2016-12-07 16:48:50,"Thanks @bajtos for the fast response.

> What branch would you like to target? 0.7.4 is the last version I am familiar with. If you like, I can create a long-lived branch 0.7.x from v0.7.4 and release v0.7.5 with your patch. That way you don't have to fork.

`0.7.x branch` would be nice :) 
If you do so, I don't have to fork as you mentioned.
Would you let me know when 0.7.x branch is made so that I can make a PR into it. :)
Thanks for your kind feedback.
",sparkleholic,bajtos
930,2016-12-09 02:47:18,"@bajtos I've just made a PR(https://github.com/node-inspector/node-inspector/pull/956) into `0.7.x branch`.
I'll be appreciated if you review it. 
Thanks. ",sparkleholic,bajtos
914,2017-01-07 17:16:13,"@Kreozot I think we need to check if NM.length==0.
`cb(error, NM.length==0 ? null : NM[0].ref);`

This bug prevents me from debugging React Native project. Hope it will be merged soon and all react native developers will benefit.",vinceyuan,Kreozot
914,2017-01-17 03:57:15,@Kreozot Please take a look at my previous comment.,vinceyuan,Kreozot
914,2017-01-17 10:26:26,@Kreozot Yes. I think so. But you are right. Actually there is no difference in this context.,vinceyuan,Kreozot
767,2016-03-11 22:29:55,"@asselin , yes, pr will be acceptable.
",3y3,asselin
729,2015-08-28 18:33:00,"@michae1 , thank you for contribution.
There is one indentation case to fix. All other LGTM.
Please fix minor bugs and squash all changes to single commit.
",3y3,michae1
705,2015-07-28 07:41:25,"@ackalker , thank you for contribution.
PR is ready to merge, but I need @auchenberg feedback.

@auchenberg , is this change sensible for you?
",3y3,ackalker
694,2015-07-23 11:32:36,"https://github.com/benderjs/browser-launcher2/blob/master/lib/config.js

FYI Here is how the config file name is evaluated

On Thursday, 23 July 2015, Yury Puzynya notifications@github.com wrote:

> @jakub-g https://github.com/jakub-g , any thoughts?
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/node-inspector/node-inspector/issues/694#issuecomment-123895474
> .
",jakub-g,jakub-g
684,2015-06-23 22:36:18,"I'm :+1 here.

@auchenberg , are you ready to implement it?
",3y3,auchenberg
681,2015-06-16 23:51:34,"@zertosh , thank you for contribution. I'll merge it soon.

I see that you are `babel` organisation member. How about fix this issues also in `babel` itself?
I can target you to previous discussion about sourcemap problems.
",3y3,zertosh
677,2015-06-18 23:43:21,"@bajtos , I fixed targetted issues. Unfortunately changes history was vwry dirty, so I prefer to squash all fixups.

What happened here:
- added `debug.convert`
- `response.push` used to handle `dataReceived` and `finishLoading` events.

@bajtos , @jkrems all your issues are fixed. It's ready to next round of review. First round was very useful.
",3y3,bajtos
677,2015-06-25 12:38:37,"Ok. I partially fixed issues from last @jkrems comments. I switched to new entry point for wrapper, and now I have some questions for discussion - look at code below.

From `_http_client.js` with my comments



@jkrems , about your gist example. 



There you target me to situation when socket will be never initialised.
I think that current realisation (where we send `requestWillBeSent` after socket initialisation) is correct, otherwise we can't say what request really will be sent =)
All other cases from your gist are handled in new commits.

@bajtos , I fixed tests and squashed all changes to three commits:
- implementation
- backported changes
- tests

Please review `squash!` changes. There I fixed a completely missed `responseFailure` and checked behavior changing when we listen on `error` and `response` events.
",3y3,bajtos
654,2015-06-10 11:38:22,"@marcominetti , I made some changes before merging:
- removed `Click here to inspect.` from message
- removed `title = 'Debugger paused';`
- added `tag` option to prevent messages duplication.

Landed as ca58013de3579665812dbeef403aae461ce7c08b

Great thanks for contribution!
",3y3,marcominetti
648,2015-05-19 14:06:04,"Ok. At current step I like my changes in `ScriptFileStorage` and your changes in `front-end`.
Next step - discussion about renaming files...
I think that all renamings is out of scope of node-inspector.
We can't solve existed situation correctly (this is an issue for babel), but we also can't to add dirty fix.

If we leave only changes in `ScriptFileStorage` and in `front-end` this would work for correct sourcemaps. @marcominetti , are you agree?



One other thing. There are inlined sources. So at current time we prevent requiring of inline sourcemap, but we can also prevent requiring of inline sources which stored in inline sourcemap (or it already works?).

[Source Map Revision 3 Proposal](https://docs.google.com/document/d/1U1RGAehQwRypUTovF1KRlpiOFze0b-_2gc6fAH0KY0k/edit#heading=h.hval2vfopveu)
",3y3,marcominetti
648,2015-05-19 14:20:17,"`If we leave only changes in ScriptFileStorage and in front-end this would work for correct sourcemaps. @marcominetti , are you agree?`

I do agree. ;)

`One other thing. There are inlined sources. So at current time we prevent requiring of inline sourcemap, but we can also prevent requiring of inline sources which stored in inline sourcemap (or it already works?).`

I've not tested specifically but it should already work... I use babel and uglify to build an app boot pack for node and front-end resource tree correctly lists original (virtual) source code... with not-inlined sourcemap the code is read from sourcemap sourcesContent property...
",marcominetti,marcominetti
648,2015-05-23 17:24:04,"@marcominetti , read also https://github.com/babel/babel/pull/1587
",3y3,marcominetti
648,2015-06-02 13:52:59,"@marcominetti , sorry for pending this. I don't have a time to work on source maps on this week, but I follow the work.
We also discussed about this bug with Bajtos in gitter chat, so I need to fix and extend my part of commits.

Don't worry about this now. I'll rebase and merge all important parts and I'll present it for your review.
",3y3,marcominetti
648,2015-06-14 20:25:48,"@marcominetti , I landed it as be64d801ea8bbf418ba316a23610b16ad1a4f1cb with some minor changes.

Thank you for contribution!
",3y3,marcominetti
634,2015-05-05 20:59:40,"@adambiggs , thanks for bug report and pr.
Now my turn to lose some time trying to override this using `front-end-node` folder =)
Anyway solution will be very hackly...
I'll return to review from some time.
",3y3,adambiggs
634,2015-05-06 20:22:54,"@adambiggs , great thanks for contribution. :beers: 
",3y3,adambiggs
