issue_num,datetime,body,login,close_date
1155,2017-03-25 04:51:36,"hello. I wanna redirect ws connection.
like this (I know to redirect, Server A would response 301, so I said logically)

1. request(logically) 
Client[Ca] ----(ws)----> Server A(Sa) redirects ----(ws)----> Server B(Sb)
2. response(logically)
Server B[Sb] ----(ws)----> Client[Ca]

but the problem is... Server A consumes network bandwidth.
I wanna entirely consume network bandwidth for only Server B
my source is below.

<S_CODE_TOKEN>

client requests websocket(ws://) with 7654 port.
because client desn't request http, server can't catch 'request' event.

do you have any idea except changing client request as http?? (I can't be sure that exactly work)",khackskjs,
1154,2017-03-17 23:27:49,"This ensures the incoming request does not timeout before the target's timeout configured with `options.proxyTimeout`.

As I'm not familiar to the code base, I struggled seeing the best entry to write a test for this. Any thoughts would be appreciated.

Fixes https://github.com/nodejitsu/node-http-proxy/issues/1113

~~**Edit:** I'm looking into the existing timeout test failing~~",phillipj,
1154,2017-03-17 23:55:57,"Looking at the test that fails with these changes added, I wonder if that test is wrong.

It doesn't expect the client request being made to throw an error if an error occurs. At first glance that seems weird, cause a timeout is also an error to the client initiating the request, right?

Additionally there is two very similar tests, whereas the latter succeeds cause it expects timeouts to raise client error:
- failing: [it('should proxy the request and handle timeout error (proxyTimeout)', ..)](https://github.com/nodejitsu/node-http-proxy/blob/master/test/lib-http-proxy-passes-web-incoming-test.js#L209)
- similar: [it('should proxy the request and handle timeout error', ..)](https://github.com/nodejitsu/node-http-proxy/blob/master/test/lib-http-proxy-passes-web-incoming-test.js#L243)",phillipj,
1153,2017-03-16 12:39:15,"I see that the proxy server sends `if-none-match` HTTP header, which my API server handles as a key to check, was the data changed or not. Which is totally fine. But there is a problem: the proxy server receives 304 HTTP status code and empty body which makes sense. But, in that case, my browser doesn't get the data from the proxy server at all. 
Is there any way to fix that? except this one
<S_CODE_TOKEN>",nnnikolay,
1152,2017-03-14 11:48:52,"I am suffering from anything proxied via node being incredibly slow compared to direct and I cannot work out why!  The code is incredibly simple... but as you will see from these apache bench tests they are MUCH MUCH slower in real life. 

The idea of the ab tests is to show that the upstream servers in the round robin don't have any issues at all with the tests running from the server that the node code is running on.

This seems to happen for POST and GET requests.

The runtime of ab for the same request goes from 5 seconds to 105 seconds!

<S_CODE_TOKEN>


<S_CODE_TOKEN>",leearmstrong,
1152,2017-03-14 11:51:18,"Even a simpler script exhibits the same issue...

<S_CODE_TOKEN>",leearmstrong,
1152,2017-03-14 14:58:02,@leearmstrong try using something like `wrk` rather than apache bench. apache bench doesnt support http 1.1. See if that makes a difference in your benchmarks. I would also suggest using an [`Agent`](https://nodejs.org/api/http.html#http_class_http_agent) for this case so there is better socket reuse. ,jcrugzz,
1152,2017-03-14 14:58:34,Node version would also be interesting to know,jcrugzz,
1152,2017-03-14 14:59:44,"Never used wrk before so will give it a go.  All of the client connecting into the nginx server direct (before the proxy I want to implement) are only HTTP 1.0 capable anyway so ab may be a better test.

This is Node 6.10.0",leearmstrong,
1152,2017-03-14 15:15:38,"So I added a keep alive agent to it with a timeout of 30000msec and it made a bit of a difference, the test now completes in 75 seconds and not 103 seconds.  This is no where near the direct connections from ab to the upstream of closer to 5 seconds.  

I can accept there will be some overhead for proxying via node but this seems excessive?  Or is this to be expected?",leearmstrong,
1152,2017-03-14 15:29:57,"Stats using `wrk` and using a keepAlive config

<S_CODE_TOKEN>",leearmstrong,
1152,2017-03-14 15:47:45,I'm honestly not sure if we are comparing apples to apples if your backend is an nginx that can spawn workers. I would run your node process and do some profiling to get some more information. https://nodejs.org/en/docs/guides/simple-profiling/,jcrugzz,
1151,2017-03-13 09:44:09,"The proxy should be able in addition to keep headers case keep headers duplication.

#1150",thochra,
1151,2017-03-13 10:23:27,"For others who need to have the fix directly this is how I used it in my project (with a v1.16.2):
<S_CODE_TOKEN>

Edit: code update with last PR's commit",thochra,
1150,2017-03-13 09:15:49,"Hello, I needed the server repsonse headers to not be touched by node js so I've added a missing option ""preserveHeaderDuplications"".",thochra,
1149,2017-03-06 09:23:17,"Is it possible to measure the outgoing (ssl) connections? I can get the incoming connections, but we really want to measure the outgoing connections as well.",cyanic-webdesign,
1148,2017-03-04 20:38:03,"I bet someone has done this before...

I would want to be able to to do a generic authentication and authorization prior to proxying a downstream URL using node-http-proxy, and for that means I'd like to use a session inside my proxy application, which in turns authenticates, authorizes (if necessary) and then starts to proxy for a certain amount of time.

This works fine if I don't have a downstream session, which though is the case most of the time. So I need to start intercepting the `Cookie` and `Set-Cookie` headers and rewrite them...

This works, but it's tedious. Have I missed some setting which lets me do that ""out of the box"", or can somebody point me to some other project which has already implemented such functionality? Either on top of node-http-proxy (which works awesome otherwise!), or using some other library? Because I bet I am missing a ton of corner cases somebody else has found before me.

Best regards,
Martin",DonMartin76,
1147,2017-03-04 10:12:38,Updates options documentation for location rewrite to include 201 responses. See #1024,smh,
1146,2017-03-03 16:06:09,"I would like to know what, if any, protections node-http-proxy has against circular redirects? In particular, if my origin is outside of my purview and is a CNAME which can be altered later on, a malicious user could update that CNAME to point back to the proxy, thus creating an infinite loop. Are there any builtin protections against this or prescriptions for mitigating this issue?",maxcountryman,
1145,2017-03-01 19:54:50,"Hi I wonder if there is any chance to do selective caching, let me explain. I need to cache some specific pages on the proxy lets say /about-us, /contact and skip caching for others like /admin and I have all the logic that designates if a page is cacheable or not. Is there any way to when in the proxyReq event to cancel the request if the page exists on cache and to set the response to a cached version of the page that lays in the filesystem and return it to the user immediately?",asolenzal,
1144,2017-02-27 11:15:20,Added support for server listen callback #1143 .,barto-,
1143,2017-02-27 11:10:43,"I would like a callback when the server is listening. This is possible with <S_CODE_TOKEN> but it doesn't work with <S_CODE_TOKEN>.

Example:

<S_CODE_TOKEN>",barto-,
1142,2017-02-21 12:29:24,Cannot forward Post and PUT request using proxy.web method. can you help me how to fix this issue ,tamilvjm,
1142,2017-02-22 07:52:12,It's not responding while forwarding put request,tamilvjm,
1142,2017-02-27 18:42:54,"The problem seems like a *stream* ""issue"".  Are you using something  before sending the proxy request? 

For example:
<S_CODE_TOKEN>

That works like a charm for NON BODY requests, like GET, HEAD or DELETE.  But POST, for example, has lost its data stream before sending  to *proxy.web*. The upstream server will get the data, but no response will be received.

### UPDATE
worked after:
<S_CODE_TOKEN>",zanaca,
1142,2017-03-12 07:57:30,"when I use  proxyReq.write(bodyData), it call like this: throw new Error('Can\'t set headers after they are sent.'); How can I fix it? ",taikongfeizhu,
1141,2017-02-20 06:33:43,How do i get the client IP via this proxy? Is it possible even?,r0hi7,
