issue_num,datetime,body,login,mention_login
1152,2017-03-14 14:58:02,@leearmstrong try using something like `wrk` rather than apache bench. apache bench doesnt support http 1.1. See if that makes a difference in your benchmarks. I would also suggest using an [`Agent`](https://nodejs.org/api/http.html#http_class_http_agent) for this case so there is better socket reuse. ,jcrugzz,leearmstrong
1137,2017-02-02 08:05:07,"@Nw-Fig you can not proxy https in transparent mode. You need SSL certs but if you want to use as a browsing proxy, you have to let https pass directly.",brugnara,Nw-Fig
1137,2017-02-02 12:46:21,"@Nw-Fig recently I was figuring something similar, but there is a different kind of http proxies like this, focused on listen same domain and passing through its requests to another server with some changes like headers or kind of, and another ones catching al http petitions, caching on any domain request like Squid... something where https://www.npmjs.com/package/proxy code could help you better on what you want to reproduce... I just checked with https and worked. The difference on both kinds is described here https://en.wikipedia.org/wiki/Proxy_server#Types",sposmen,Nw-Fig
1126,2016-12-30 15:11:44,"@mbret its because for your `web` proxy requests, you specify your target, you do not do the same for the `ws` proxy requests on the upgrade event. Add a 4th argument to the function that is an object that specifies `{ target: req.app.locals.system.config.sharedApiUrl })`

Your example should look like:

",jcrugzz,mbret
1126,2016-12-30 15:41:22,"Of course I did not -_-

Thanks a lot @jcrugzz. To be honest I'm a bit stupid because some of my socket request pass through http and so inside the req.app.locals.proxy.web. So I naively thought that my app.locals.proxy.ws was okay like this. Don't know if you get what I mean but whatever, thank you :)",mbret,jcrugzz
1122,2016-12-26 18:37:28,@ivannieto can you rebase your changes off `origin/master`? you are still based on your previous git tree before your changes were merged. That is why there are so many extra commits above,jcrugzz,ivannieto
1122,2016-12-27 13:43:59,sure @jcrugzz my bad! ,ivannieto,jcrugzz
1119,2016-12-24 18:27:52,@ivannieto Thanks for adding this!,jcrugzz,ivannieto
1119,2016-12-24 18:28:18,"@ivannieto i realized i merged to fast, would you mind adding a link to this in the README?",jcrugzz,ivannieto
1119,2016-12-24 18:29:45,@jcrugzz do you want to say adding the link to this file in the repo? or to the default Covenant?,ivannieto,jcrugzz
1119,2016-12-24 18:30:52,@ivannieto add a link to the code of conduct file in this repo to our README so people have a direct link. ,jcrugzz,ivannieto
1118,2016-12-24 14:00:56,"@SET001 this technically doesnt have anything to do with `node-http-proxy`. This has to do with handling multiple SSL certs from a single `https` server. You are correct in that using `SNICallback` is the right approach. You should search for more examples and try it out yourself. I found [this](http://blog.sammauldin.com/configuring-https-with-node-js-startssl-and-sni/) blog post and improved their example below.


",jcrugzz,SET001
1118,2016-12-24 16:23:35,"@jcrugzz , thanx for you respond. I think it has to do with `node-http-proxy` because I need to proxy multiple sub-domain calls to multiple servers running each on different ports. Something like this:

https://a.foo.com -> 127.0.0.1:3000
https://b.foo.com -> 127.0.0.1:3001
https://c.foo.com -> 127.0.0.1:3002

also I have a certificates for each of this domain.

`SNICallback` will be called each time new connection to any of this sub-domains appears and I don't get how to proxy that connection to appropriate local server.
Also I'm lucking experience with express and node.js so I may miss something obvious here",SET001,jcrugzz
1118,2016-12-24 18:26:39,"A * based cert would make this easier ;) but doesnt matter either way. @SET001 check out the documentation as it gives examples of this. The proper cert will be handled by the SNICallback. You need to then proxy to a different `target` based on the `req.headers.host`. You can store a them similar to the certs above.



If you have anymore questions please ask on Stackoverflow or somewhere similar. If you find a bug or issue with `http-proxy` please feel free to open a new issue. Have fun :)",jcrugzz,SET001
1110,2017-01-12 23:59:00,@BernhardRode can you provide an example for my case please?,wiliame,BernhardRode
1109,2016-12-16 17:28:47,Thanks @lpinca ,jcrugzz,lpinca
1107,2016-12-16 15:01:04,@mixxen thanks for your PR! I left my comments in the PR 👍 ,pachirel,mixxen
1104,2016-12-06 14:50:59,"@pachirel ill push this out now, submit a follow up PR with any additional changes you wanted to make so we can get this fixed.",jcrugzz,pachirel
1103,2016-12-05 18:25:39,@apalchys could you give some more information on whats not working? what changed in the expectations? I apologize if all the conditions were not covered but the same logic is being run but is the value of the header not what is expected?,jcrugzz,apalchys
1103,2016-12-06 10:40:34,@jcrugzz you can find more details in a PR opened by @pachirel https://github.com/nodejitsu/node-http-proxy/pull/1104,apalchys,jcrugzz
