issue_num,datetime,body,login,close_date
240,2017-03-20 15:26:07,Redo of #190 ,zuik,2017-03-26 19:27:50
240,2017-03-26 19:27:47,Thank you for your contribution 👍 ,prakhar1989,2017-03-26 19:27:50
239,2017-03-18 19:22:22,i fixed it,Hatsuney,2017-03-18 22:18:29
239,2017-03-18 22:18:26,"Thanks a lot, Laura!",prakhar1989,2017-03-18 22:18:29
238,2017-03-15 20:18:33,,yurovant,2017-03-18 16:54:50
238,2017-03-18 16:54:47,Thanks for the update!,prakhar1989,2017-03-18 16:54:50
237,2017-03-10 13:27:11,The assignment link was a 404,mquinson,2017-03-18 16:55:45
237,2017-03-18 16:55:42,Thanks for the updating the link!,prakhar1989,2017-03-18 16:55:45
236,2017-03-04 02:25:14,,cedarz,2017-03-05 18:09:17
236,2017-03-05 18:09:14,Thanks @cedarz!,prakhar1989,2017-03-05 18:09:17
235,2017-02-26 15:16:33,,Devinsuit,2017-02-26 16:10:34
235,2017-02-26 16:10:32,Thanks for the update! 👍 ,prakhar1989,2017-02-26 16:10:34
234,2017-02-19 04:34:42,,kmollee,2017-02-19 19:52:26
234,2017-02-19 19:52:23,Thanks a lot for the fix! 👍 ,prakhar1989,2017-02-19 19:52:26
233,2017-02-06 10:40:54,Updated the link to the new course web,joelowj,2017-02-07 15:45:33
233,2017-02-07 15:45:30,Sweet! Thanks for sending in the fix!,prakhar1989,2017-02-07 15:45:33
232,2017-02-06 01:09:17,"This is the link for convenience http://web.stanford.edu/class/cs108/

They seem to be using a new platform called `canvas` which requires priviledges to access.",elvis-sik,2017-02-20 18:11:22
232,2017-02-19 15:08:22,"Hi @prakhar1989  This issue has been resolve, I suggest this issue to be closed.
Thanks a lot.",joelowj,2017-02-20 18:11:22
232,2017-02-20 18:11:21,Thanks @joelowj 👍 ,prakhar1989,2017-02-20 18:11:22
231,2017-02-02 05:56:12,"This is an introductory-level course in supervised learning, with a
focus on regression and classification methods. The syllabus includes:
linear and polynomial regression, logistic regression and linear
discriminant analysis; cross-validation and the bootstrap, model
selection and regularization methods (ridge and lasso); nonlinear
models, splines and generalized additive models; tree-based methods,
random forests and boosting; support-vector machines. Some unsupervised
learning methods are discussed: principal components and clustering
(k-means and hierarchical).",ababen,2017-03-18 16:57:29
