issue_num,datetime,body,login,mention_login
236,2017-03-05 18:09:14,Thanks @cedarz!,prakhar1989,cedarz
232,2017-02-20 18:11:21,Thanks @joelowj 👍 ,prakhar1989,joelowj
228,2017-01-15 13:35:05,"Thanks Kunal! 👍 

@awelch83 - Hmm, I try to but I don't enforce this strongly in PRs.",prakhar1989,awelch83
192,2016-07-20 17:01:35,"Sorry for Typo. Thanks @awelch83 
",yogeshdarji99,awelch83
166,2016-02-23 06:40:22,"Thanks @mrdrozdov! Looks like a useful course.
",prakhar1989,mrdrozdov
151,2016-01-14 19:51:44,"A course created by students?! Awesome! Looks great @n3xtInc. Thanks for the PR!
",prakhar1989,n3xtInc
151,2016-01-14 20:01:43,"Sure @n3xtInc! Happy learning! :grinning: 
",prakhar1989,n3xtInc
149,2016-01-13 01:17:51,"@prakhar1989 Sorry, I didn't check that. No, really. :) 

I just happened to see your repo and checked the build failures on travis so thought it would be nice to have a build status button. :)

Let me know if you need help maintaining it. 
",bhalothia,prakhar1989
146,2015-12-18 18:29:00,"@prakhar1989 still workin on it, will let you know when ready :smile: 
",awesome-bot,prakhar1989
146,2015-12-18 18:43:28,"@prakhar1989 
Looks like there are now some real issues

The following links are no longer valid

> Links 
> 1. 404 http://patricklam.ca/p4p/notes/
> 2. 404 http://verifiablerobotics.com/courses/mae6740.html
> 3. 404 https://www.classes.cs.uchicago.edu/current/22300-1/Home.html
> 4. 404 https://www.classes.cs.uchicago.edu/current/22300-1/Schedule.html
> 5. 404 https://pl.barzilay.org/homeworks.html
> 6. 404 http://cs61a.org/resources.html
> 7. 404 http://cs61a.org/by_topic.html
> 8. 404 http://cs61a.org/problems/
> 9. 404 http://cs61a.org/by_type.html
> 10. 404 http://www.csce.uark.edu/~jgauch/2014/S14/handouts/syllabus.html
> 11. 404 http://www.csce.uark.edu/~jgauch/2014/S14/index.html
> 12. 404 http://research.microsoft.com/en-us/people/mickens/
> 13. http://am207.org/ getaddrinfo: Temporary failure in name resolution

Should they be removed?

And there are a bunch that are duplicated.. we can either
1. white list each of them
2. allow duplicates..

Let me know if you'd like me to help correct or if you want to do it yourself
",awesome-bot,prakhar1989
146,2015-12-19 07:20:40,"Hi @awesome-bot, you are bot??
",NamPNQ,awesome-bot
146,2016-02-14 00:59:56,"@awesome-bot, you're awesome and I love you 
",robbyoconnor,awesome-bot
