issue_num,datetime,body,login,close_date
154,2017-03-04 08:53:15,"I've tried to run the UIExplorer demo.

When trying to build the project I get the following error:

<S_CODE_TOKEN>

I haven't made any modifications to the code, so I wouldn't know what might be causing this issue.

Would you know if there's any dependencies missing that I need to install?",axsauze,2017-03-06 07:02:07
154,2017-03-04 10:17:38,It looks you have `react-native` folder in UIExplorer (`/Users/USERNAME/Programming/devnull/react-native-macos/Examples/UIExplorer/react-native/`). Can you confirm that? If that's true try to delete it.,ptmt,2017-03-06 07:02:07
154,2017-03-04 10:19:04,"Hey @ptmt I was just about to reply - you are totally correct, I have deleted the folder and it's now working!

I was quite confused as the README.md in Examples/UIEXplorer says to clone and install react-native.

Thank you for your help by the way!",axsauze,2017-03-06 07:02:07
154,2017-03-04 10:32:48,"@axsauze Thanks for pointing out. I see now https://github.com/ptmt/react-native-macos/tree/master/Examples/UIExplorer
 this is an untouched copy from the original Facebook repository. ",ptmt,2017-03-06 07:02:07
154,2017-03-04 10:40:28,"Ah I see! I was a bit confused with those instructions, I was wondering why on earth would I want to run this on Android and IOS haha - Thanks!",axsauze,2017-03-06 07:02:07
153,2017-02-25 05:08:33,"### shame

Figured out it was a JS issue, despite no debugger feedback.

![image](https://cloud.githubusercontent.com/assets/987654/23328382/c1be01ee-faed-11e6-91c1-63316969fd55.png)


<S_CODE_TOKEN>
",ColeTownsend,2017-02-25 06:42:46
153,2017-02-25 06:43:46,"It might be related to various imageLoader bugs in RN, which were fixed in later version. ",ptmt,2017-02-25 06:42:46
153,2017-02-27 18:17:33,"@ptmt could be the case! My logic was faulty, I was rendering an image with an invalid source (because the source was loaded w/ state). 

Any way I can help with upgrading? or is that a relatively massive undertaking",ColeTownsend,2017-02-25 06:42:46
152,2017-02-22 03:03:13,"I was trying to remove borders and setting a transparent background to `<TextInput>` but I'm getting this:

<img src=""https://s31.postimg.org/kf1g9yzaz/Captura_de_pantalla_2017_02_21_a_las_23_59_00.png"">

This is my code:

<S_CODE_TOKEN>

Note that I'm using red here to show the extra space and setting border 13 to show that it's not working.

Any idea why I'm getting this?

Thanks in advance",sanchan,2017-02-24 01:11:07
152,2017-02-24 01:11:07,"I figured this out with the UIExplorer, basically I have to use `bezeled={false}` to remove borders:

https://github.com/ptmt/react-native-macos/blob/master/Examples/UIExplorer/js/TextInputExample.macos.js#L363

Also, from here: https://facebook.github.io/react-native/docs/textinput.html

> Note that some props are only available with multiline={true/false}. Additionally, border styles that apply to only one side of the element (e.g., borderBottomColor, borderLeftWidth, etc.) will not be applied if multiline=false. To achieve the same effect, you can wrap your TextInput in a View

I hope this help somebody else :)",sanchan,2017-02-24 01:11:07
151,2017-02-20 07:59:01,"When running the app i get Blank Screen.

Any suggestions ?",khaledznobani,
151,2017-02-20 18:33:20,"1. Refresh it (cmd+r)
2. Restart it, including packager (a terminal window).
3. Is there something wrong in packager's window? Please, post a screenshot or copy logs here.
4. Is there something wrong in Xcode output panel? Make sure you toggled this tiny icon at the bottom.
![image](https://cloud.githubusercontent.com/assets/1004115/23137620/129a23b4-f7b4-11e6-8af3-3eb4daf21ec2.png)
",ptmt,
151,2017-02-28 20:41:43,"Same here, the only complaint is in the XCode output:

> Unhandled JS Exception: SyntaxError: Strict mode does not allow function declarations in a lexically nested statement.

at each reload.
If I go to port 8081 on the browser, I do see the `React Native packager is running.` page",melMass,
151,2017-03-04 10:30:57,"I have the same problem - the UI appears blank when I try to open it with this error:

 <S_CODE_TOKEN>

However I can make it work if I explicitly select ""Debug JS Remotely"" and I refresh, but it seems there is something that it's stopping it from showing...

I can provide further logs if it helps!",axsauze,
150,2017-02-18 13:35:58,Fix for macOS 10.11 and latest SDK,tectiv3,2017-02-18 19:08:28
149,2017-02-16 03:37:25,"Hi, really enjoying digging into this project.

I noticed you said it isn't possible to use third party plugins that use native modules.

Would it be possible to link libraries like here? https://facebook.github.io/react-native/docs/linking-libraries-ios.html#manual-linking

I can drop a library into XCode but it seems like the Build Phases option isn't present for the project.

Is there some way I can try to help to enable this feature? Thanks!",c-h-,
149,2017-02-16 16:37:42,"Unfortunately, native libraries which developed for iOS can't be linked to macOS without an effort. What's the plugin that you have tried to link? ",ptmt,
149,2017-02-16 18:29:07,"@ptmt Thanks for the fast reply.

I tried to link [React Native I18n](https://github.com/AlexanderZaytsev/react-native-i18n).

Really all I need support for getting the user's language. On the web I'd use something like `navigator.language`.

Would you be able to share how I might approach getting that on macOS?",c-h-,
149,2017-02-17 04:39:48,"This would be pretty easy. It doesn't require a platform-specific code, just need to have a new compile target. I'll fork it and demonstrate. ",ptmt,
